Iter,TotTime,m_block,Alpha,mu,Theta0,Theta_fin,V_theta_fin,V_block_finx,V_block_finy,Wind_x,Wind_y,Windz,Vkitex,Vkitey,Vkitez,Vrelx,Vrely,Vrelz,F_vinc,Tension,Lift,Liftx,Lifty,Liftz,Drag,Dragx,Dragy,Dragz
32850, 3.29, 40.00, -8.00, 0.00, 0.00, 1.57, 0.00, 0.00, 0.00, 1.00,  0.00, 0.00, 0.00, 0.00, 0.00, -1.00, 0.00, 0.00, 583.77, -191.37, -202.12, 201.50, -0.00, 15.81, 6.74, -0.53, 0.00, 6.72
27644, 2.76, 40.00, -8.00, 0.00, 0.00, 1.57, 0.00, 0.00, 0.00, 3.00,  0.00, 0.00, 0.00, 0.00, 0.00, -3.00, 0.00, 0.00, 538.01, -145.61, -155.14, 152.78, 0.00, 26.96, 5.17, -0.90, 0.00, 5.09
24346, 2.43, 40.00, -8.00, 0.00, 0.00, 1.57, 0.00, 0.00, 0.00, 5.00,  0.00, 0.00, 0.00, 0.00, 0.00, -5.00, 0.00, 0.00, 504.08, -111.68, -121.75, 116.58, 0.00, 35.11, 4.06, -1.17, -0.00, 3.89
21947, 2.19, 40.00, -8.00, 0.00, 0.00, 1.57, 0.00, 0.00, 0.00, 7.00,  0.00, 0.00, 0.00, 0.00, 0.00, -7.00, 0.00, 0.00, 479.66, -87.26, -99.86, 90.50, 0.00, 42.22, 3.33, -1.41, -0.00, 3.02
20114, 2.01, 40.00, -8.00, 0.00, 0.00, 1.57, 0.00, 0.00, 0.00, 9.00,  0.00, 0.00, 0.00, 0.00, 0.00, -9.00, 0.00, 0.00, 460.45, -68.05, -85.33, 69.95, 0.00, 48.86, 2.84, -1.63, -0.00, 2.33
18696, 1.87, 40.00, -8.00, 0.00, 0.00, 1.57, 0.00, 0.00, 0.00, 11.00,  0.00, 0.00, 0.00, 0.00, 0.00, -11.00, 0.00, 0.00, 443.05, -50.65, -75.45, 51.35, 0.00, 55.28, 2.52, -1.84, -0.00, 1.71
17662, 1.77, 40.00, -8.00, 0.00, 0.00, 1.57, 0.00, 0.00, 0.00, 13.00,  0.00, 0.00, 0.00, 0.00, 0.00, -13.00, 0.00, 0.00, 423.13, -30.73, -68.43, 30.20, 0.00, 61.41, 2.28, -2.05, -0.00, 1.01
40722, 4.07, 40.00, -8.00, 0.00, 0.00, 1.57, 0.00, 0.00, 0.00, 15.00,  0.00, 0.00, 0.00, 0.00, 0.00, -15.00, 0.00, 0.00, 397.36, -4.96, -5.37, 1.35, 0.00, 5.19, 0.18, -0.17, -0.00, 0.05
45431, 4.54, 40.00, -8.00, 0.00, 0.00, 1.57, 0.00, 0.00, 0.00, 17.00,  0.00, 0.00, 0.00, 0.00, 0.00, -17.00, 0.00, 0.00, 398.34, -5.94, -4.71, 2.35, 0.00, 4.08, 0.16, -0.14, -0.00, 0.08
49324, 4.93, 40.00, -8.00, 0.00, 0.00, 1.57, 0.00, 0.00, 0.00, 19.00,  0.00, 0.00, 0.00, 0.00, 0.00, -19.00, 0.00, 0.00, 398.70, -6.30, -4.71, 2.73, 0.00, 3.83, 0.16, -0.13, -0.00, 0.09
52994, 5.30, 40.00, -8.00, 0.00, 0.00, 1.57, 0.00, 0.00, 0.00, 21.00,  0.00, 0.00, 0.00, 0.00, 0.00, -21.00, 0.00, 0.00, 398.80, -6.40, -4.72, 2.84, 0.00, 3.77, 0.16, -0.13, -0.00, 0.09
56575, 5.66, 40.00, -8.00, 0.00, 0.00, 1.57, 0.00, 0.00, 0.00, 23.00,  0.00, 0.00, 0.00, 0.00, 0.00, -23.00, 0.00, 0.00, 398.75, -6.35, -4.71, 2.79, -0.00, 3.80, 0.16, -0.13, 0.00, 0.09
60111, 6.01, 40.00, -8.00, 0.00, 0.00, 1.57, 0.00, 0.00, 0.00, 25.00,  0.00, 0.00, 0.00, 0.00, 0.00, -25.00, 0.00, 0.00, 398.62, -6.22, -4.70, 2.64, -0.00, 3.88, 0.16, -0.13, 0.00, 0.09
