Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vkitex,Vkitez,Vrelx,Vrelz,F_vinc,Tension,Lift,Drag,Stability
30333, 3.03, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, -1.00, 0.00, 392.40, 218.67, -211.55, 7.05, 0
24507, 2.45, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 3.00, 0.00, 0.00, 0.00, -3.00, 0.00, 392.40, 259.51, -252.93, 8.43, 0
20097, 2.01, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 5.00, 0.00, 0.00, 0.00, -5.00, 0.00, 392.38, 318.78, -313.05, 10.43, 0
16686, 1.67, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 7.00, 0.00, 0.00, 0.00, -7.00, 0.00, 392.38, 396.48, -391.96, 13.07, 0
14043, 1.40, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 9.00, 0.00, 0.00, 0.00, -9.00, 0.00, 392.39, 521.85, -518.40, 17.28, 0
11937, 1.19, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 11.00, 0.00, 0.00, 0.00, -11.00, 0.00, 392.36, 762.08, -758.22, 25.27, 0
10321, 1.03, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 13.00, 0.00, 0.00, 0.00, -13.00, 0.00, 392.37, 1089.01, -1083.73, 36.12, 0
9065, 0.91, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 15.00, 0.00, 0.00, 0.00, -15.00, 0.00, 392.34, 1494.96, -1487.40, 49.58, 0
8069, 0.81, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 17.00, 0.00, 0.00, 0.00, -17.00, 0.00, 392.26, 1975.68, -1965.10, 65.50, 0
7264, 0.73, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 19.00, 0.00, 0.00, 0.00, -19.00, 0.00, 392.37, 2526.67, -2512.44, 83.75, 0
6600, 0.66, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 21.00, 0.00, 0.00, 0.00, -21.00, 0.00, 391.98, 3151.60, -3133.03, 104.43, 0
6046, 0.60, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 23.00, 0.00, 0.00, 0.00, -23.00, 0.00, 392.33, 3839.77, -3816.41, 127.21, 0
5575, 0.56, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 25.00, 0.00, 0.00, 0.00, -25.00, 0.00, 391.77, 4603.25, -4574.37, 152.48, 0
