Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vkitex,Vkitez,Vrelx,Vrelz,F_vinc,Tension,Lift,Drag,Stability
30826, 3.08, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, -1.00, 0.00, 392.40, 176.88, -169.93, 5.66, 0
19402, 1.94, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 3.00, 0.00, 0.00, 0.00, -3.00, 0.00, 392.40, 211.24, -204.89, 6.83, 0
13172, 1.32, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 5.00, 0.00, 0.00, 0.00, -5.00, 0.00, 392.39, 232.70, -229.07, 7.64, 0
9371, 0.94, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 7.00, 0.00, 0.00, 0.00, -7.00, 0.00, 392.39, 251.11, -252.22, 8.41, 0
6945, 0.69, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 9.00, 0.00, 0.00, 0.00, -9.00, 0.00, 392.39, 268.14, -276.07, 9.20, 0
5327, 0.53, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 11.00, 0.00, 0.00, 0.00, -11.00, 0.00, 392.39, 284.65, -301.56, 10.05, 0
4202, 0.42, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 13.00, 0.00, 0.00, 0.00, -13.00, 0.00, 392.39, 300.91, -329.07, 10.97, 0
3391, 0.34, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 15.00, 0.00, 0.00, 0.00, -15.00, 0.00, 392.39, 316.98, -358.77, 11.96, 0
2790, 0.28, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 17.00, 0.00, 0.00, 0.00, -17.00, 0.00, 392.39, 333.80, -391.69, 13.06, 0
2332, 0.23, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 19.00, 0.00, 0.00, 0.00, -19.00, 0.00, 392.39, 350.66, -427.25, 14.24, 0
1976, 0.20, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 21.00, 0.00, 0.00, 0.00, -21.00, 0.00, 392.39, 368.12, -466.09, 15.54, 0
1694, 0.17, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 23.00, 0.00, 0.00, 0.00, -23.00, 0.00, 392.39, 385.95, -508.08, 16.94, 0
1467, 0.15, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 25.00, 0.00, 0.00, 0.00, -25.00, 0.00, 392.39, 404.14, -553.32, 18.44, 0
1282, 0.13, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 27.00, 0.00, 0.00, 0.00, -27.00, 0.00, 392.39, 422.98, -602.13, 20.07, 0
1129, 0.11, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 29.00, 0.00, 0.00, 0.00, -29.00, 0.00, 392.38, 441.96, -654.16, 21.81, 0
1002, 0.10, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 31.00, 0.00, 0.00, 0.00, -31.00, 0.00, 392.39, 462.32, -710.50, 23.68, 0
894, 0.09, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 33.00, 0.00, 0.00, 0.00, -33.00, 0.00, 392.38, 481.56, -769.08, 25.64, 0
803, 0.08, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 35.00, 0.00, 0.00, 0.00, -35.00, 0.00, 392.39, 502.60, -832.43, 27.75, 0
725, 0.07, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 37.00, 0.00, 0.00, 0.00, -37.00, 0.00, 392.39, 523.98, -899.34, 29.98, 0
657, 0.07, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 39.00, 0.00, 0.00, 0.00, -39.00, 0.00, 392.38, 544.14, -968.56, 32.29, 0
