Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vkitex,Vkitez,Vrelx,Vrelz,F_vinc,Tension,Lift,Drag,Stability
30833, 3.08, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, -1.00, 0.00, 392.39, 176.83, -169.88, 5.66, 0
19406, 1.94, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 3.00, 0.00, 0.00, 0.00, -3.00, 0.00, 392.40, 211.22, -204.87, 6.83, 0
13175, 1.32, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 5.00, 0.00, 0.00, 0.00, -5.00, 0.00, 392.40, 232.74, -229.11, 7.64, 0
9372, 0.94, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 7.00, 0.00, 0.00, 0.00, -7.00, 0.00, 392.39, 251.00, -252.11, 8.40, 0
6946, 0.69, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 9.00, 0.00, 0.00, 0.00, -9.00, 0.00, 392.39, 268.15, -276.08, 9.20, 0
5328, 0.53, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 11.00, 0.00, 0.00, 0.00, -11.00, 0.00, 392.40, 284.77, -301.68, 10.06, 0
4202, 0.42, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 13.00, 0.00, 0.00, 0.00, -13.00, 0.00, 392.39, 300.73, -328.89, 10.96, 0
3392, 0.34, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 15.00, 0.00, 0.00, 0.00, -15.00, 0.00, 392.40, 317.26, -359.04, 11.97, 0
2790, 0.28, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 17.00, 0.00, 0.00, 0.00, -17.00, 0.00, 392.39, 333.64, -391.53, 13.05, 0
2332, 0.23, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 19.00, 0.00, 0.00, 0.00, -19.00, 0.00, 392.39, 350.55, -427.13, 14.24, 0
1976, 0.20, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 21.00, 0.00, 0.00, 0.00, -21.00, 0.00, 392.39, 368.02, -465.99, 15.53, 0
1694, 0.17, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 23.00, 0.00, 0.00, 0.00, -23.00, 0.00, 392.39, 385.85, -507.99, 16.93, 0
1467, 0.15, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 25.00, 0.00, 0.00, 0.00, -25.00, 0.00, 392.39, 404.05, -553.24, 18.44, 0
1282, 0.13, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 27.00, 0.00, 0.00, 0.00, -27.00, 0.00, 392.39, 422.89, -602.05, 20.07, 0
1129, 0.11, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 29.00, 0.00, 0.00, 0.00, -29.00, 0.00, 392.38, 441.85, -654.05, 21.80, 0
1002, 0.10, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 31.00, 0.00, 0.00, 0.00, -31.00, 0.00, 392.39, 462.24, -710.43, 23.68, 0
894, 0.09, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 33.00, 0.00, 0.00, 0.00, -33.00, 0.00, 392.38, 481.49, -769.02, 25.63, 0
803, 0.08, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 35.00, 0.00, 0.00, 0.00, -35.00, 0.00, 392.39, 502.53, -832.37, 27.75, 0
725, 0.07, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 37.00, 0.00, 0.00, 0.00, -37.00, 0.00, 392.39, 523.89, -899.24, 29.97, 0
657, 0.07, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 39.00, 0.00, 0.00, 0.00, -39.00, 0.00, 392.38, 544.08, -968.51, 32.28, 0
599, 0.06, 40.00, -8.00, 0.00, 0.00, 0.00, 0.00, 41.00, 0.00, 0.00, 0.00, -41.00, 0.00, 392.40, 567.20, -1043.45, 34.78, 0
38909, 3.89, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, -1.00, 0.00, 392.40, 59.38, -52.35, 5.24, 0
30404, 3.04, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 3.00, 0.00, 0.00, 0.00, -3.00, 0.00, 392.40, 66.63, -58.91, 5.89, 0
24153, 2.42, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 5.00, 0.00, 0.00, 0.00, -5.00, 0.00, 392.40, 72.51, -64.90, 6.49, 0
19294, 1.93, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 7.00, 0.00, 0.00, 0.00, -7.00, 0.00, 392.40, 78.50, -71.65, 7.17, 0
15535, 1.55, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 9.00, 0.00, 0.00, 0.00, -9.00, 0.00, 392.40, 84.93, -79.49, 7.95, 0
12644, 1.26, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 11.00, 0.00, 0.00, 0.00, -11.00, 0.00, 392.40, 91.73, -88.37, 8.84, 0
10416, 1.04, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 13.00, 0.00, 0.00, 0.00, -13.00, 0.00, 392.40, 98.81, -98.24, 9.82, 0
8685, 0.87, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 15.00, 0.00, 0.00, 0.00, -15.00, 0.00, 392.40, 106.12, -109.09, 10.91, 0
7325, 0.73, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 17.00, 0.00, 0.00, 0.00, -17.00, 0.00, 392.40, 113.58, -120.90, 12.09, 0
6243, 0.62, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 19.00, 0.00, 0.00, 0.00, -19.00, 0.00, 392.40, 121.16, -133.63, 13.36, 0
5372, 0.54, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 21.00, 0.00, 0.00, 0.00, -21.00, 0.00, 392.40, 128.84, -147.34, 14.73, 0
4664, 0.47, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 23.00, 0.00, 0.00, 0.00, -23.00, 0.00, 392.40, 136.76, -162.14, 16.21, 0
4081, 0.41, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 25.00, 0.00, 0.00, 0.00, -25.00, 0.00, 392.40, 144.75, -177.93, 17.79, 0
3597, 0.36, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 27.00, 0.00, 0.00, 0.00, -27.00, 0.00, 392.40, 152.94, -194.84, 19.48, 0
3191, 0.32, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 29.00, 0.00, 0.00, 0.00, -29.00, 0.00, 392.40, 161.15, -212.81, 21.28, 0
2848, 0.28, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 31.00, 0.00, 0.00, 0.00, -31.00, 0.00, 392.40, 169.44, -231.91, 23.19, 0
2556, 0.26, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 33.00, 0.00, 0.00, 0.00, -33.00, 0.00, 392.40, 177.93, -252.17, 25.22, 0
2305, 0.23, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 35.00, 0.00, 0.00, 0.00, -35.00, 0.00, 392.39, 186.47, -273.49, 27.35, 0
2089, 0.21, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 37.00, 0.00, 0.00, 0.00, -37.00, 0.00, 392.40, 195.36, -296.11, 29.61, 0
1901, 0.19, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 39.00, 0.00, 0.00, 0.00, -39.00, 0.00, 392.40, 204.32, -319.82, 31.98, 0
1736, 0.17, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 41.00, 0.00, 0.00, 0.00, -41.00, 0.00, 392.39, 213.22, -344.55, 34.46, 0
73798, 7.38, 40.00, -4.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, -1.00, 0.00, 392.40, -66.42, 76.54, 1.53, 0
72351, 7.24, 40.00, -4.00, 0.00, 0.00, 0.00, 0.00, 3.00, 0.00, 0.00, 0.00, -3.00, 0.00, 392.40, 57.76, 52.01, 1.04, 0
62182, 6.22, 40.00, -4.00, 0.00, 0.00, 0.00, 0.00, 5.00, 0.00, 0.00, 0.00, -5.00, 0.00, 392.40, 26.33, 25.67, 0.51, 0
53500, 5.35, 40.00, -4.00, 0.00, 0.00, 0.00, 0.00, 7.00, 0.00, 0.00, 0.00, -7.00, 0.00, 392.40, 13.78, 17.05, 0.34, 0
2000000, 200.00, 40.00, -4.00, 0.00, 1.95, -0.05, -0.00, 9.00, 0.00, 2.30, 0.91, -6.70, 0.91, 395.16, -2.97, 7.00, 0.14, 0
2000000, 200.00, 40.00, -4.00, 0.00, 2.15, 0.13, -0.00, 11.00, 0.00, -5.53, -3.61, -16.53, -3.61, 364.48, 33.35, 43.86, 0.88, 0
2000000, 200.00, 40.00, -4.00, 0.00, 1.51, 0.11, -0.00, 13.00, 0.00, -5.50, 0.34, -18.50, 0.34, 349.22, 43.26, 52.45, 1.05, 0
2000000, 200.00, 40.00, -4.00, 0.00, 1.51, -0.02, -0.00, 15.00, 0.00, 1.10, -0.07, -13.90, -0.07, 372.64, 19.80, 29.60, 0.59, 0
2000000, 200.00, 40.00, -4.00, 0.00, 1.53, 0.01, -0.00, 17.00, 0.00, -0.45, 0.02, -17.45, 0.02, 355.61, 36.82, 46.62, 0.93, 0
2000000, 200.00, 40.00, -4.00, 0.00, 1.54, 0.00, -0.00, 19.00, 0.00, -0.23, 0.01, -19.23, 0.01, 345.59, 46.83, 56.63, 1.13, 0
2000000, 200.00, 40.00, -4.00, 0.00, 1.54, -0.00, -0.00, 21.00, 0.00, 0.01, -0.00, -20.99, -0.00, 334.75, 57.67, 67.46, 1.35, 0
2000000, 200.00, 40.00, -4.00, 0.00, 1.55, -0.00, -0.00, 23.00, 0.00, 0.09, -0.00, -22.91, -0.00, 321.87, 70.55, 80.34, 1.61, 0
2000000, 200.00, 40.00, -4.00, 0.00, 1.55, -0.00, -0.00, 25.00, 0.00, 0.02, -0.00, -24.98, -0.00, 306.67, 85.75, 95.54, 1.91, 0
2000000, 200.00, 40.00, -4.00, 0.00, 1.55, 0.00, 0.00, 27.00, 0.00, -0.03, 0.00, -27.03, 0.00, 290.35, 102.07, 111.86, 2.24, 0
2000000, 200.00, 40.00, -4.00, 0.00, 1.55, -0.00, 0.00, 29.00, 0.00, 0.00, -0.00, -29.00, -0.00, 273.51, 118.91, 128.76, 2.58, 0
