Iter,TotTime,m_block,Alpha,mu,Theta0,Theta_fin,V_theta_fin,V_block_finx,V_block_finy,Wind_x,Wind_y,Windz,Vkitex,Vkitey,Vkitez,Vrelx,Vrely,Vrelz,F_vinc,Tension,Lift,Liftx,Lifty,Liftz,Drag,Dragx,Dragy,Dragz
42318, 4.23, 40.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 1.00,  0.00, 0.00, 0.00, 0.00, 0.00, -1.00, 0.00, 0.00, 476.22, -83.82, -88.07, -87.84, -0.00, 6.36, 2.94, 0.21, -0.00, 2.93
62472, 6.25, 40.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 3.00,  0.00, 0.00, 0.00, 0.00, 0.00, -3.00, 0.00, 0.00, 411.17, -18.77, -22.04, -19.86, -0.00, 9.54, 0.73, 0.32, -0.00, 0.66
814666, 81.47, 40.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 5.00,  0.00, 0.00, 0.00, 0.00, 0.00, -5.00, 0.00, 0.00, 392.02, 0.38, -11.48, -0.00, -0.00, 11.48, 0.38, 0.38, -0.00, 0.00
621512, 62.15, 40.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 7.00,  0.00, 0.00, 0.00, 0.00, 0.00, -7.00, 0.00, 0.00, 391.65, 0.75, -22.51, -0.00, -0.00, -22.51, 0.75, 0.75, -0.00, -0.00
497492, 49.75, 40.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 9.00,  0.00, 0.00, 0.00, 0.00, 0.00, -9.00, 0.00, 0.00, 391.17, 1.23, -37.21, -0.01, -0.00, -37.21, 1.24, 1.24, -0.00, -0.00
416256, 41.63, 40.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 11.00,  0.00, 0.00, 0.00, 0.00, 0.00, -11.00, 0.00, 0.00, 390.55, 1.85, -55.58, -0.00, -0.00, -55.58, 1.85, 1.85, -0.00, -0.00
358685, 35.87, 40.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 13.00,  0.00, 0.00, 0.00, 0.00, 0.00, -13.00, 0.00, 0.00, 389.81, 2.59, -77.63, -0.00, -0.00, -77.63, 2.59, 2.59, -0.00, -0.00
315633, 31.56, 40.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 15.00,  0.00, 0.00, 0.00, 0.00, 0.00, -15.00, 0.00, 0.00, 388.97, 3.43, -103.36, -0.01, -0.00, -103.36, 3.45, 3.45, -0.00, -0.00
282207, 28.22, 40.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 17.00,  0.00, 0.00, 0.00, 0.00, 0.00, -17.00, 0.00, 0.00, 387.98, 4.42, -132.76, -0.01, -0.00, -132.76, 4.43, 4.43, -0.00, -0.00
255371, 25.54, 40.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 19.00,  0.00, 0.00, 0.00, 0.00, 0.00, -19.00, 0.00, 0.00, 386.87, 5.53, -165.83, -0.00, -0.00, -165.83, 5.53, 5.53, -0.00, -0.00
233464, 23.35, 40.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 21.00,  0.00, 0.00, 0.00, 0.00, 0.00, -21.00, 0.00, 0.00, 385.66, 6.74, -202.58, -0.01, -0.00, -202.58, 6.75, 6.75, -0.00, -0.00
215123, 21.51, 40.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 23.00,  0.00, 0.00, 0.00, 0.00, 0.00, -23.00, 0.00, 0.00, 384.31, 8.09, -243.01, -0.01, -0.00, -243.01, 8.10, 8.10, -0.00, -0.00
199707, 19.97, 40.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 25.00,  0.00, 0.00, 0.00, 0.00, 0.00, -25.00, 0.00, 0.00, 382.86, 9.54, -287.11, -0.03, -0.00, -287.11, 9.57, 9.57, -0.00, -0.00
186141, 18.61, 40.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 27.00,  0.00, 0.00, 0.00, 0.00, 0.00, -27.00, 0.00, 0.00, 381.25, 11.15, -334.88, -0.02, -0.00, -334.88, 11.16, 11.16, -0.00, -0.00
174697, 17.47, 40.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 29.00,  0.00, 0.00, 0.00, 0.00, 0.00, -29.00, 0.00, 0.00, 379.54, 12.86, -386.33, -0.01, -0.00, -386.33, 12.88, 12.88, -0.00, -0.00
159341, 15.93, 40.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 31.00,  0.00, 0.00, 0.00, 0.00, 0.00, -31.00, 0.00, 0.00, 377.71, 14.69, -441.46, -0.03, -0.00, -441.46, 14.72, 14.72, -0.00, -0.00
156771, 15.68, 40.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 33.00,  0.00, 0.00, 0.00, 0.00, 0.00, -33.00, 0.00, 0.00, 375.74, 16.66, -500.26, -0.01, -0.00, -500.26, 16.68, 16.68, -0.00, -0.00
147123, 14.71, 40.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 35.00,  0.00, 0.00, 0.00, 0.00, 0.00, -35.00, 0.00, 0.00, 373.66, 18.74, -562.73, -0.02, -0.00, -562.73, 18.76, 18.76, -0.00, -0.00
139929, 13.99, 40.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 37.00,  0.00, 0.00, 0.00, 0.00, 0.00, -37.00, 0.00, 0.00, 371.47, 20.93, -628.88, -0.03, -0.00, -628.88, 20.96, 20.96, -0.00, -0.00
133225, 13.32, 40.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 39.00,  0.00, 0.00, 0.00, 0.00, 0.00, -39.00, 0.00, 0.00, 369.15, 23.25, -698.71, -0.04, -0.00, -698.71, 23.29, 23.29, -0.00, -0.00
37030, 3.70, 40.00, -6.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 1.00,  0.00, 0.00, 0.00, 0.00, 0.00, -1.00, 0.00, 0.00, 435.62, -43.22, -50.10, -50.02, -0.00, 2.77, 5.01, 0.28, -0.00, 5.00
40976, 4.10, 40.00, -6.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 3.00,  0.00, 0.00, 0.00, 0.00, 0.00, -3.00, 0.00, 0.00, 418.43, -26.03, -31.29, -30.60, -0.00, 6.57, 3.13, 0.66, -0.00, 3.06
45710, 4.57, 40.00, -6.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 5.00,  0.00, 0.00, 0.00, 0.00, 0.00, -5.00, 0.00, 0.00, 407.45, -15.05, -20.06, -18.05, -0.00, 8.76, 2.01, 0.88, -0.00, 1.80
55445, 5.54, 40.00, -6.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 7.00,  0.00, 0.00, 0.00, 0.00, 0.00, -7.00, 0.00, 0.00, 399.33, -6.93, -13.19, -8.66, -0.00, 9.95, 1.32, 0.99, -0.00, 0.87
492342, 49.23, 40.00, -6.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 9.00,  0.00, 0.00, 0.00, 0.00, 0.00, -9.00, 0.00, 0.00, 391.16, 1.24, -12.40, -0.00, -0.00, 12.40, 1.24, 1.24, -0.00, 0.00
417330, 41.73, 40.00, -6.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 11.00,  0.00, 0.00, 0.00, 0.00, 0.00, -11.00, 0.00, 0.00, 390.55, 1.85, -18.53, -0.00, -0.00, -18.53, 1.85, 1.85, -0.00, -0.00
359734, 35.97, 40.00, -6.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 13.00,  0.00, 0.00, 0.00, 0.00, 0.00, -13.00, 0.00, 0.00, 389.82, 2.58, -25.88, -0.01, -0.00, 25.88, 2.59, 2.59, -0.00, 0.00
316675, 31.67, 40.00, -6.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 15.00,  0.00, 0.00, 0.00, 0.00, 0.00, -15.00, 0.00, 0.00, 388.96, 3.44, -34.45, -0.01, -0.00, 34.45, 3.45, 3.45, -0.00, 0.00
283166, 28.32, 40.00, -6.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 17.00,  0.00, 0.00, 0.00, 0.00, 0.00, -17.00, 0.00, 0.00, 387.97, 4.43, -44.25, -0.00, -0.00, -44.25, 4.43, 4.43, -0.00, -0.00
256331, 25.63, 40.00, -6.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 19.00,  0.00, 0.00, 0.00, 0.00, 0.00, -19.00, 0.00, 0.00, 386.87, 5.53, -55.28, -0.00, -0.00, -55.28, 5.53, 5.53, -0.00, -0.00
234313, 23.43, 40.00, -6.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 21.00,  0.00, 0.00, 0.00, 0.00, 0.00, -21.00, 0.00, 0.00, 385.65, 6.75, -67.53, -0.00, -0.00, -67.53, 6.75, 6.75, -0.00, -0.00
215955, 21.60, 40.00, -6.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 23.00,  0.00, 0.00, 0.00, 0.00, 0.00, -23.00, 0.00, 0.00, 384.30, 8.10, -81.00, -0.00, -0.00, -81.00, 8.10, 8.10, -0.00, -0.00
200402, 20.04, 40.00, -6.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 25.00,  0.00, 0.00, 0.00, 0.00, 0.00, -25.00, 0.00, 0.00, 382.83, 9.57, -95.70, -0.00, -0.00, -95.70, 9.57, 9.57, -0.00, -0.00
186996, 18.70, 40.00, -6.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 27.00,  0.00, 0.00, 0.00, 0.00, 0.00, -27.00, 0.00, 0.00, 381.25, 11.15, -111.63, -0.01, -0.00, -111.63, 11.16, 11.16, -0.00, -0.00
175323, 17.53, 40.00, -6.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 29.00,  0.00, 0.00, 0.00, 0.00, 0.00, -29.00, 0.00, 0.00, 379.53, 12.87, -128.78, -0.01, -0.00, -128.78, 12.88, 12.88, -0.00, -0.00
163592, 16.36, 40.00, -6.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 31.00,  0.00, 0.00, 0.00, 0.00, 0.00, -31.00, 0.00, 0.00, 377.69, 14.71, -147.15, -0.00, -0.00, -147.15, 14.72, 14.72, -0.00, -0.00
154244, 15.42, 40.00, -6.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 33.00,  0.00, 0.00, 0.00, 0.00, 0.00, -33.00, 0.00, 0.00, 375.72, 16.68, -166.75, -0.00, -0.00, -166.75, 16.68, 16.68, -0.00, -0.00
