Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vrelx,Vrely,F_vinc,Tension,Lift,Drag,Stability
36247, 3.62, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 980.99, 471.83, -462.95, 15.43, 0
31773, 3.18, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 2.00, 0.00, -2.00, 0.00, 980.99, 537.84, -540.84, 18.03, 0
27919, 2.79, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 4.00, 0.00, -4.00, 0.00, 980.99, 655.27, -673.44, 22.45, 0
24396, 2.44, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 6.00, 0.00, -6.00, 0.00, 981.00, 811.66, -848.76, 28.29, 0
21336, 2.13, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 8.00, 0.00, -8.00, 0.00, 980.98, 996.09, -1056.37, 35.21, 0
18765, 1.88, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 10.00, 0.00, -10.00, 0.00, 980.97, 1215.54, -1303.65, 43.46, 0
16521, 1.65, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 12.00, 0.00, -12.00, 0.00, 981.00, 1602.25, -1722.85, 57.43, 0
14655, 1.47, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 14.00, 0.00, -14.00, 0.00, 980.99, 2131.83, -2289.26, 76.31, 0
13119, 1.31, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 16.00, 0.00, -16.00, 0.00, 980.87, 2789.82, -2988.59, 99.62, 0
11849, 1.18, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 18.00, 0.00, -18.00, 0.00, 980.89, 3567.69, -3812.58, 127.09, 0
10787, 1.08, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 20.00, 0.00, -20.00, 0.00, 980.81, 4464.01, -4759.97, 158.67, 0
9890, 0.99, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 22.00, 0.00, -22.00, 0.00, 980.68, 5475.11, -5827.25, 194.24, 0
9124, 0.91, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 24.00, 0.00, -24.00, 0.00, 980.41, 6600.14, -7013.68, 233.79, 0
8464, 0.85, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 26.00, 0.00, -26.00, 0.00, 980.75, 7832.75, -8313.13, 277.10, 0
7889, 0.79, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 28.00, 0.00, -28.00, 0.00, 980.56, 9179.66, -9732.13, 324.40, 0
7384, 0.74, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 30.00, 0.00, -30.00, 0.00, 979.87, 10640.04, -11269.95, 375.67, 0
6938, 0.69, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 32.00, 0.00, -32.00, 0.00, 979.76, 12205.21, -12918.10, 430.60, 0
6541, 0.65, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 34.00, 0.00, -34.00, 0.00, 979.44, 13880.55, -14681.87, 489.40, 0
6186, 0.62, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 36.00, 0.00, -36.00, 0.00, 979.72, 15659.06, -16554.40, 551.81, 0
5866, 0.59, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 38.00, 0.00, -38.00, 0.00, 978.25, 17557.09, -18551.63, 618.39, 0
5578, 0.56, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 40.00, 0.00, -40.00, 0.00, 980.89, 19532.56, -20632.51, 687.75, 0
33546, 3.35, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 981.00, 496.76, -402.54, 40.25, 0
31492, 3.15, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 2.00, 0.00, -2.00, 0.00, 981.00, 626.49, -514.06, 51.41, 0
29680, 2.97, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 4.00, 0.00, -4.00, 0.00, 980.98, 771.52, -640.37, 64.04, 0
27805, 2.78, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 6.00, 0.00, -6.00, 0.00, 980.96, 937.12, -785.92, 78.59, 0
25852, 2.59, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 8.00, 0.00, -8.00, 0.00, 980.98, 1127.87, -954.51, 95.45, 0
23906, 2.39, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 10.00, 0.00, -10.00, 0.00, 980.92, 1346.91, -1148.71, 114.87, 0
22054, 2.21, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 12.00, 0.00, -12.00, 0.00, 980.98, 1596.54, -1370.35, 137.03, 0
20345, 2.03, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 14.00, 0.00, -14.00, 0.00, 980.90, 1877.50, -1619.96, 162.00, 0
18800, 1.88, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 16.00, 0.00, -16.00, 0.00, 980.79, 2190.61, -1898.20, 189.82, 0
17419, 1.74, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 18.00, 0.00, -18.00, 0.00, 980.84, 2536.63, -2205.67, 220.57, 0
16190, 1.62, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 20.00, 0.00, -20.00, 0.00, 980.81, 2915.30, -2542.12, 254.21, 0
15098, 1.51, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 22.00, 0.00, -22.00, 0.00, 980.90, 3327.35, -2908.22, 290.82, 0
14126, 1.41, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 24.00, 0.00, -24.00, 0.00, 980.77, 3772.45, -3303.65, 330.36, 0
13259, 1.33, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 26.00, 0.00, -26.00, 0.00, 980.56, 4250.97, -3728.75, 372.87, 0
12484, 1.25, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 28.00, 0.00, -28.00, 0.00, 980.82, 4764.04, -4184.49, 418.45, 0
11787, 1.18, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 30.00, 0.00, -30.00, 0.00, 980.33, 5309.98, -4669.46, 466.95, 0
11159, 1.12, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 32.00, 0.00, -32.00, 0.00, 980.12, 5890.78, -5185.35, 518.53, 0
10591, 1.06, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 34.00, 0.00, -34.00, 0.00, 980.27, 6506.65, -5732.35, 573.23, 0
10075, 1.01, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 36.00, 0.00, -36.00, 0.00, 980.49, 7160.10, -6312.82, 631.28, 0
9603, 0.96, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 38.00, 0.00, -38.00, 0.00, 980.35, 7864.81, -6939.42, 693.94, 0
9171, 0.92, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 40.00, 0.00, -40.00, 0.00, 980.86, 8616.34, -7607.92, 760.79, 0
32339, 3.23, 100.00, -4.00, 0.79, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 981.00, -370.92, 502.07, 10.04, 0
34309, 3.43, 100.00, -4.00, 0.79, 0.00, 0.00, 0.00, 2.00, 0.00, -2.00, 0.00, 981.01, -284.28, 386.72, 7.73, 0
36590, 3.66, 100.00, -4.00, 0.79, 0.00, 0.00, 0.00, 4.00, 0.00, -4.00, 0.00, 981.00, -219.36, 302.62, 6.05, 0
39902, 3.99, 100.00, -4.00, 0.79, 0.00, 0.00, 0.00, 6.00, 0.00, -6.00, 0.00, 981.00, -168.27, 239.44, 4.79, 0
45780, 4.58, 100.00, -4.00, 0.79, 0.00, 0.00, 0.00, 8.00, 0.00, -8.00, 0.00, 981.00, -124.58, 189.54, 3.79, 0
60477, 6.05, 100.00, -4.00, 0.79, 0.00, 0.00, 0.00, 10.00, 0.00, -10.00, 0.00, 981.00, -80.84, 146.51, 2.93, 0
433543, 43.35, 100.00, -4.00, 0.79, 0.00, 0.00, 0.00, 12.00, 0.00, -12.00, 0.00, 981.00, -33.11, 122.44, 2.45, 0
1000000, 100.00, 100.00, -4.00, 0.79, 2.36, 0.00, 0.00, 14.00, 0.00, -17.76, -3.81, 878.87, 145.30, 252.63, 5.05, 1
1000000, 100.00, 100.00, -4.00, 0.79, 2.03, 0.00, 0.00, 16.00, 0.00, -12.93, 1.53, 961.63, 21.64, 129.71, 2.59, 1
1000000, 100.00, 100.00, -4.00, 0.79, 1.74, 0.00, -0.00, 18.00, 0.00, -27.13, -1.52, 510.92, 476.52, 565.34, 11.31, 1
1000000, 100.00, 100.00, -4.00, 0.79, 1.31, 0.00, 0.00, 20.00, 0.00, -18.88, -0.30, 816.83, 169.80, 273.09, 5.46, 1
1000000, 100.00, 100.00, -4.00, 0.79, 1.68, 0.00, -0.00, 22.00, 0.00, -19.12, 0.32, 801.02, 181.13, 279.98, 5.60, 1
1000000, 100.00, 100.00, -4.00, 0.79, 1.43, 0.00, 0.00, 24.00, 0.00, -25.50, 0.20, 590.54, 394.23, 497.89, 9.96, 1
1000000, 100.00, 100.00, -4.00, 0.79, 1.63, 0.00, -0.00, 26.00, 0.00, -25.66, 0.01, 578.65, 403.13, 504.25, 10.08, 1
1000000, 100.00, 100.00, -4.00, 0.79, 1.49, 0.00, 0.00, 28.00, 0.00, -26.26, -0.14, 554.55, 427.73, 527.82, 10.56, 1
1000000, 100.00, 100.00, -4.00, 0.79, 1.56, 0.00, 0.00, 30.00, 0.00, -32.55, 0.01, 266.55, 714.47, 811.26, 16.23, 1
1000000, 100.00, 100.00, -4.00, 0.79, 1.56, 0.00, -0.00, 32.00, 0.00, -30.12, -0.02, 383.64, 597.38, 694.55, 13.89, 1
1000000, 100.00, 100.00, -4.00, 0.79, 1.53, 0.00, 0.00, 34.00, 0.00, -34.97, 0.04, 144.00, 837.84, 936.16, 18.72, 1
1000000, 100.00, 100.00, -4.00, 0.79, 1.56, 0.00, 0.00, 36.00, 0.00, -34.01, -0.02, 192.56, 788.48, 885.73, 17.71, 1
1000000, 100.00, 100.00, -4.00, 0.79, 1.52, 0.00, 0.53, 38.00, 0.00, -36.87, -0.03, 39.56, 942.43, 1040.64, 20.81, 1
1000000, 100.00, 100.00, -4.00, 0.79, 1.54, 0.00, 0.00, 40.00, 0.00, -39.69, -0.01, -126.65, 1108.05, 1206.10, 24.12, 1
35568, 3.56, 100.00, -2.00, 0.79, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 981.01, -518.36, 592.99, 14.82, 0
43341, 4.33, 100.00, -2.00, 0.79, 0.00, 0.00, 0.00, 2.00, 0.00, -2.00, 0.00, 981.01, -483.64, 537.24, 13.43, 0
59668, 5.97, 100.00, -2.00, 0.79, 0.00, 0.00, 0.00, 4.00, 0.00, -4.00, 0.00, 981.00, -164.06, 202.79, 5.07, 0
1000000, 100.00, 100.00, -2.00, 0.79, 0.87, 0.00, 7.45, 6.00, 0.00, -7.60, 7.67, 741.00, 314.56, 357.35, 8.93, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.86, 0.00, 4.70, 8.00, 0.00, -17.44, -4.26, 94.87, 925.52, 987.33, 24.68, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.48, 0.00, 0.00, 10.00, 0.00, -10.03, -0.00, 772.18, 209.63, 307.87, 7.70, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.53, 0.00, 0.00, 12.00, 0.00, -12.19, 0.00, 625.04, 356.30, 455.39, 11.38, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.54, 0.00, -0.00, 14.00, 0.00, -13.82, -0.01, 493.24, 488.01, 585.31, 14.63, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.54, 0.00, 0.00, 16.00, 0.00, -15.96, -0.00, 298.25, 682.99, 780.54, 19.51, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.53, 0.00, 0.00, 18.00, 0.00, -17.34, -0.03, 159.12, 822.60, 920.81, 23.02, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.54, 0.00, 0.00, 20.00, 0.00, -19.99, -0.00, -144.14, 1125.55, 1223.47, 30.59, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.54, 0.00, 0.00, 22.00, 0.00, -22.01, -0.00, -404.07, 1385.56, 1483.69, 37.09, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.54, 0.00, 0.00, 24.00, 0.00, -24.00, -0.00, -683.49, 1665.07, 1763.42, 44.09, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.54, 0.00, 0.00, 26.00, 0.00, -26.00, -0.00, -990.14, 1971.81, 2070.40, 51.76, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.54, 0.00, 0.00, 28.00, 0.00, -28.00, -0.00, -1323.09, 2304.87, 2400.97, 60.02, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.54, 0.00, 0.00, 30.00, 0.00, -30.00, -0.00, -1675.27, 2657.15, 2756.27, 68.91, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.55, 0.00, 0.00, 32.00, 0.00, -32.00, -0.00, -2054.65, 3036.65, 3136.06, 78.40, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.55, 0.00, 0.00, 34.00, 0.00, -34.00, -0.00, -2458.40, 3440.53, 3540.24, 88.51, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.55, 0.00, -0.00, 36.00, 0.00, -36.00, -0.00, -2892.61, 3874.87, 3969.00, 99.22, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.55, 0.00, 0.00, 38.00, 0.00, -38.00, -0.00, -3339.49, 4321.89, 4422.26, 110.56, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.55, 0.00, -0.00, 40.00, 0.00, -40.00, -0.00, -3824.46, 4807.01, 4899.97, 122.50, 1
45565, 4.56, 100.00, 0.00, 0.79, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 981.00, -337.25, 354.85, 10.14, 0
55676, 5.57, 100.00, 0.00, 0.79, 0.00, 0.00, 0.00, 2.00, 0.00, -2.00, 0.00, 981.00, -355.08, 381.99, 10.91, 0
114012, 11.40, 100.00, 0.00, 0.79, 0.00, 0.00, 0.00, 4.00, 0.00, -4.00, 0.00, 981.00, -52.21, 113.45, 3.24, 0
1000000, 100.00, 100.00, 0.00, 0.79, 1.59, 0.00, -0.00, 6.00, 0.00, -6.84, -0.02, 828.14, 152.89, 251.00, 7.17, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, 0.00, 8.00, 0.00, -7.79, -0.01, 753.90, 227.20, 325.11, 9.29, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, -0.00, 10.00, 0.00, -10.02, -0.00, 540.17, 441.08, 538.24, 15.38, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, 0.00, 12.00, 0.00, -12.01, -0.00, 306.98, 674.37, 772.58, 22.07, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.53, 0.00, 0.00, 14.00, 0.00, -13.49, -0.02, 104.75, 877.05, 974.71, 27.85, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, 0.00, 16.00, 0.00, -16.00, -0.00, -293.17, 1274.76, 1372.02, 39.20, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, 0.00, 18.00, 0.00, -18.00, -0.00, -656.43, 1638.17, 1736.46, 49.61, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, 0.00, 20.00, 0.00, -20.00, -0.00, -1063.18, 2045.09, 2143.72, 61.25, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, -0.00, 22.00, 0.00, -22.00, -0.00, -1516.44, 2498.53, 2593.96, 74.11, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, 0.00, 24.00, 0.00, -24.00, -0.00, -2005.32, 2987.61, 3087.02, 88.20, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, -0.00, 26.00, 0.00, -26.00, -0.00, -2546.55, 3529.05, 3622.96, 103.51, 1
