Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vrelx,Vrely,F_vinc,Tension,Lift,Drag,Stability
20994, 2.10, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 980.99, 1605.71, -1594.00, 53.13, 0
18389, 1.84, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 2.00, 0.00, -2.00, 0.00, 980.90, 1966.92, -1953.71, 65.12, 0
15950, 1.59, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 4.00, 0.00, -4.00, 0.00, 980.87, 2343.99, -2336.76, 77.89, 0
13773, 1.38, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 6.00, 0.00, -6.00, 0.00, 980.89, 2717.40, -2724.85, 90.83, 0
11888, 1.19, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 8.00, 0.00, -8.00, 0.00, 980.81, 3073.97, -3105.77, 103.53, 0
10286, 1.03, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 10.00, 0.00, -10.00, 0.00, 980.88, 3408.11, -3474.53, 115.82, 0
8936, 0.89, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 12.00, 0.00, -12.00, 0.00, 980.88, 3717.21, -3828.95, 127.63, 0
7802, 0.78, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 14.00, 0.00, -14.00, 0.00, 980.91, 4002.79, -4170.83, 139.03, 0
6848, 0.68, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 16.00, 0.00, -16.00, 0.00, 980.72, 4265.48, -4501.06, 150.04, 0
6044, 0.60, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 18.00, 0.00, -18.00, 0.00, 980.77, 4511.73, -4826.19, 160.87, 0
5363, 0.54, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 20.00, 0.00, -20.00, 0.00, 980.86, 4743.27, -5148.11, 171.60, 0
4783, 0.48, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 22.00, 0.00, -22.00, 0.00, 980.91, 4962.01, -5468.99, 182.30, 0
4286, 0.43, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 24.00, 0.00, -24.00, 0.00, 980.75, 5168.55, -5789.73, 192.99, 0
3858, 0.39, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 26.00, 0.00, -26.00, 0.00, 980.54, 5366.16, -6113.81, 203.79, 0
3488, 0.35, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 28.00, 0.00, -28.00, 0.00, 980.55, 5560.40, -6446.75, 214.89, 0
3166, 0.32, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 30.00, 0.00, -30.00, 0.00, 980.51, 5749.24, -6786.96, 226.23, 0
2885, 0.29, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 32.00, 0.00, -32.00, 0.00, 980.76, 5939.24, -7140.95, 238.03, 0
2638, 0.26, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 34.00, 0.00, -34.00, 0.00, 980.91, 6125.52, -7504.30, 250.14, 0
2419, 0.24, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 36.00, 0.00, -36.00, 0.00, 980.43, 6299.45, -7869.45, 262.31, 0
2226, 0.22, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 38.00, 0.00, -38.00, 0.00, 980.61, 6483.86, -8257.76, 275.26, 0
2054, 0.21, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 40.00, 0.00, -40.00, 0.00, 980.60, 6664.27, -8656.11, 288.54, 0
88955, 8.90, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 981.01, -390.31, -528.33, 52.83, 0
