Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vrelx,Vrely,F_vinc,Tension,Lift,Drag,Stability
21003, 2.10, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 980.99, 1604.17, -1592.46, 53.08, 0
18397, 1.84, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 2.00, 0.00, -2.00, 0.00, 980.96, 1965.49, -1952.26, 65.08, 0
15957, 1.60, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 4.00, 0.00, -4.00, 0.00, 980.99, 2342.82, -2335.55, 77.85, 0
13778, 1.38, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 6.00, 0.00, -6.00, 0.00, 980.89, 2716.17, -2723.59, 90.79, 0
11892, 1.19, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 8.00, 0.00, -8.00, 0.00, 980.80, 3072.74, -3104.50, 103.48, 0
10289, 1.03, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 10.00, 0.00, -10.00, 0.00, 980.80, 3406.70, -3473.09, 115.77, 0
8939, 0.89, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 12.00, 0.00, -12.00, 0.00, 980.98, 3716.89, -3828.57, 127.62, 0
7804, 0.78, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 14.00, 0.00, -14.00, 0.00, 980.84, 4001.53, -4169.54, 138.98, 0
6850, 0.69, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 16.00, 0.00, -16.00, 0.00, 980.79, 4265.36, -4500.88, 150.03, 0
6046, 0.60, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 18.00, 0.00, -18.00, 0.00, 980.96, 4512.75, -4827.06, 160.90, 0
5364, 0.54, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 20.00, 0.00, -20.00, 0.00, 980.75, 4741.59, -5146.39, 171.55, 0
4784, 0.48, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 22.00, 0.00, -22.00, 0.00, 980.88, 4961.22, -5468.16, 182.27, 0
4287, 0.43, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 24.00, 0.00, -24.00, 0.00, 980.80, 5168.64, -5789.73, 192.99, 0
3859, 0.39, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 26.00, 0.00, -26.00, 0.00, 980.65, 5367.18, -6114.67, 203.82, 0
3489, 0.35, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 28.00, 0.00, -28.00, 0.00, 980.72, 5562.46, -6448.65, 214.95, 0
3167, 0.32, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 30.00, 0.00, -30.00, 0.00, 980.74, 5752.30, -6789.78, 226.33, 0
2885, 0.29, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 32.00, 0.00, -32.00, 0.00, 980.49, 5934.63, -7136.52, 237.88, 0
2638, 0.26, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 34.00, 0.00, -34.00, 0.00, 980.66, 6121.17, -7500.19, 250.01, 0
2420, 0.24, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 36.00, 0.00, -36.00, 0.00, 980.79, 6305.70, -7875.19, 262.51, 0
2226, 0.22, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 38.00, 0.00, -38.00, 0.00, 980.41, 6479.83, -8254.00, 275.13, 0
2054, 0.21, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 40.00, 0.00, -40.00, 0.00, 980.41, 6660.39, -8652.50, 288.42, 0
88884, 8.89, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 981.02, -390.59, -528.69, 52.87, 0
89425, 8.94, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 2.00, 0.00, -2.00, 0.00, 980.97, 718.79, -595.49, 59.55, 0
60944, 6.09, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 4.00, 0.00, -4.00, 0.00, 980.96, 820.48, -682.74, 68.27, 0
47825, 4.78, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 6.00, 0.00, -6.00, 0.00, 980.98, 900.83, -754.96, 75.50, 0
39096, 3.91, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 8.00, 0.00, -8.00, 0.00, 980.96, 972.75, -823.55, 82.35, 0
32619, 3.26, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 10.00, 0.00, -10.00, 0.00, 980.94, 1044.53, -895.53, 89.55, 0
27602, 2.76, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 12.00, 0.00, -12.00, 0.00, 980.97, 1119.36, -973.57, 97.36, 0
23630, 2.36, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 14.00, 0.00, -14.00, 0.00, 980.97, 1197.69, -1058.06, 105.81, 0
20439, 2.04, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 16.00, 0.00, -16.00, 0.00, 980.95, 1278.78, -1148.42, 114.84, 0
17844, 1.78, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 18.00, 0.00, -18.00, 0.00, 980.98, 1362.12, -1244.28, 124.43, 0
15708, 1.57, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 20.00, 0.00, -20.00, 0.00, 980.95, 1446.39, -1344.62, 134.46, 0
13931, 1.39, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 22.00, 0.00, -22.00, 0.00, 980.96, 1531.24, -1449.25, 144.93, 0
12437, 1.24, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 24.00, 0.00, -24.00, 0.00, 980.95, 1615.91, -1557.63, 155.76, 0
11169, 1.12, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 26.00, 0.00, -26.00, 0.00, 980.96, 1700.36, -1669.82, 166.98, 0
10083, 1.01, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 28.00, 0.00, -28.00, 0.00, 980.90, 1783.86, -1785.30, 178.53, 0
9146, 0.91, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 30.00, 0.00, -30.00, 0.00, 980.87, 1866.97, -1904.67, 190.47, 0
8332, 0.83, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 32.00, 0.00, -32.00, 0.00, 980.97, 1951.13, -2029.44, 202.94, 0
7619, 0.76, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 34.00, 0.00, -34.00, 0.00, 980.90, 2034.35, -2158.01, 215.80, 0
6992, 0.70, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 36.00, 0.00, -36.00, 0.00, 980.88, 2117.63, -2291.23, 229.12, 0
6438, 0.64, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 38.00, 0.00, -38.00, 0.00, 980.94, 2201.14, -2429.26, 242.93, 0
5945, 0.59, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 40.00, 0.00, -40.00, 0.00, 980.83, 2283.12, -2570.71, 257.07, 0
109678, 10.97, 100.00, -4.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 980.97, 731.19, 609.90, 12.20, 0
73948, 7.39, 100.00, -4.00, 0.00, 0.00, 0.00, 0.00, 2.00, 0.00, -2.00, 0.00, 980.99, 573.87, 475.66, 9.51, 0
54985, 5.50, 100.00, -4.00, 0.00, 0.00, 0.00, 0.00, 4.00, 0.00, -4.00, 0.00, 980.99, 522.27, 443.46, 8.87, 0
43118, 4.31, 100.00, -4.00, 0.00, 0.00, 0.00, 0.00, 6.00, 0.00, -6.00, 0.00, 980.97, 924.90, 806.04, 16.12, 0
36430, 3.64, 100.00, -4.00, 0.00, 0.00, 0.00, 0.00, 8.00, 0.00, -8.00, 0.00, 980.91, 1443.37, 1265.56, 25.31, 0
33648, 3.36, 100.00, -4.00, 0.00, 0.00, 0.00, 0.00, 10.00, 0.00, -10.00, 0.00, 980.92, 1262.93, 1127.74, 22.55, 0
32864, 3.29, 100.00, -4.00, 0.00, 0.00, 0.00, 0.00, 12.00, 0.00, -12.00, 0.00, 980.98, 778.97, 733.21, 14.66, 0
33162, 3.32, 100.00, -4.00, 0.00, 0.00, 0.00, 0.00, 14.00, 0.00, -14.00, 0.00, 981.00, 396.31, 428.83, 8.58, 0
37323, 3.73, 100.00, -4.00, 0.00, 0.00, 0.00, 0.00, 16.00, 0.00, -16.00, 0.00, 981.00, 99.85, 217.86, 4.36, 0
1000000, 100.00, 100.00, -4.00, 0.00, 1.93, 0.03, -0.00, 18.00, 0.00, -19.33, -0.50, 815.05, 177.16, 286.14, 5.72, 0
1000000, 100.00, 100.00, -4.00, 0.00, 1.28, 0.07, 0.00, 20.00, 0.00, -23.24, 0.95, 691.67, 301.64, 414.12, 8.28, 0
1000000, 100.00, 100.00, -4.00, 0.00, 1.65, -0.10, -0.00, 22.00, 0.00, -16.79, 0.41, 859.25, 122.12, 216.04, 4.32, 0
1000000, 100.00, 100.00, -4.00, 0.00, 1.44, 0.08, 0.00, 24.00, 0.00, -28.15, 0.54, 473.15, 512.16, 606.71, 12.13, 0
1000000, 100.00, 100.00, -4.00, 0.00, 1.64, -0.04, 0.00, 26.00, 0.00, -23.87, 0.14, 642.74, 339.00, 436.17, 8.72, 0
1000000, 100.00, 100.00, -4.00, 0.00, 1.47, -0.01, -0.00, 28.00, 0.00, -27.26, -0.07, 511.93, 471.35, 569.06, 11.38, 0
1000000, 100.00, 100.00, -4.00, 0.00, 1.59, 0.05, 0.00, 30.00, 0.00, -32.27, -0.03, 280.78, 700.30, 797.50, 15.95, 0
1000000, 100.00, 100.00, -4.00, 0.00, 1.55, -0.05, -0.00, 32.00, 0.00, -29.62, -0.05, 405.76, 575.39, 671.87, 13.44, 0
1000000, 100.00, 100.00, -4.00, 0.00, 1.53, 0.03, -0.00, 34.00, 0.00, -35.74, 0.07, 101.13, 880.53, 977.87, 19.56, 0
1000000, 100.00, 100.00, -4.00, 0.00, 1.56, -0.04, -0.00, 36.00, 0.00, -33.90, -0.03, 198.20, 782.88, 879.83, 17.60, 0
