Iter,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vrelx,Vrely,F_vinc,Tension,Lift,Drag,Stability
49785, -8.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 9809.98, 1040.23, -956.91, 31.90, 0
34100, -8.00, 0.00, 0.00, 0.00, 0.00, 2.00, 0.00, 0.00, 0.00, 9809.96, 995.00, -917.46, 30.58, 0
23738, -8.00, 0.00, 0.00, 0.00, 0.00, 4.00, 0.00, 0.00, 0.00, 9809.95, 1245.69, -1159.56, 38.65, 0
17858, -8.00, 0.00, 0.00, 0.00, 0.00, 6.00, 0.00, 0.00, 0.00, 9809.95, 1309.06, -1239.71, 41.32, 0
13713, -8.00, 0.00, 0.00, 0.00, 0.00, 8.00, 0.00, 0.00, 0.00, 9809.97, 1380.42, -1337.61, 44.59, 0
10748, -8.00, 0.00, 0.00, 0.00, 0.00, 10.00, 0.00, 0.00, 0.00, 9809.99, 1457.80, -1451.92, 48.40, 0
8591, -8.00, 0.00, 0.00, 0.00, 0.00, 12.00, 0.00, 0.00, 0.00, 9809.98, 1538.63, -1580.76, 52.69, 0
6991, -8.00, 0.00, 0.00, 0.00, 0.00, 14.00, 0.00, 0.00, 0.00, 9809.98, 1622.16, -1723.98, 57.47, 0
5780, -8.00, 0.00, 0.00, 0.00, 0.00, 16.00, 0.00, 0.00, 0.00, 9809.97, 1707.74, -1881.51, 62.72, 0
4846, -8.00, 0.00, 0.00, 0.00, 0.00, 18.00, 0.00, 0.00, 0.00, 9809.95, 1795.38, -2053.90, 68.46, 0
4113, -8.00, 0.00, 0.00, 0.00, 0.00, 20.00, 0.00, 0.00, 0.00, 9809.92, 1884.88, -2241.47, 74.72, 0
3530, -8.00, 0.00, 0.00, 0.00, 0.00, 22.00, 0.00, 0.00, 0.00, 9809.99, 1979.08, -2447.18, 81.57, 0
3058, -8.00, 0.00, 0.00, 0.00, 0.00, 24.00, 0.00, 0.00, 0.00, 9809.96, 2073.22, -2667.28, 88.91, 0
2672, -8.00, 0.00, 0.00, 0.00, 0.00, 26.00, 0.00, 0.00, 0.00, 9809.94, 2169.98, -2904.49, 96.82, 0
2353, -8.00, 0.00, 0.00, 0.00, 0.00, 28.00, 0.00, 0.00, 0.00, 9809.97, 2270.03, -3159.72, 105.32, 0
2086, -8.00, 0.00, 0.00, 0.00, 0.00, 30.00, 0.00, 0.00, 0.00, 9809.94, 2370.61, -3430.95, 114.36, 0
1861, -8.00, 0.00, 0.00, 0.00, 0.00, 32.00, 0.00, 0.00, 0.00, 9809.93, 2473.87, -3720.23, 124.01, 0
1670, -8.00, 0.00, 0.00, 0.00, 0.00, 34.00, 0.00, 0.00, 0.00, 9809.96, 2580.61, -4028.43, 134.28, 0
1506, -8.00, 0.00, 0.00, 0.00, 0.00, 36.00, 0.00, 0.00, 0.00, 9809.95, 2687.38, -4352.95, 145.10, 0
1365, -8.00, 0.00, 0.00, 0.00, 0.00, 38.00, 0.00, 0.00, 0.00, 9810.00, 2798.81, -4697.64, 156.59, 0
1242, -8.00, 0.00, 0.00, 0.00, 0.00, 40.00, 0.00, 0.00, 0.00, 9809.97, 2908.23, -5057.43, 168.58, 0
49789, -6.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 9809.99, 402.40, -319.06, 31.91, 0
43288, -6.00, 0.00, 0.00, 0.00, 0.00, 2.00, 0.00, 0.00, 0.00, 9810.00, 348.86, -276.15, 27.62, 0
35321, -6.00, 0.00, 0.00, 0.00, 0.00, 4.00, 0.00, 0.00, 0.00, 9809.99, 445.26, -355.24, 35.52, 0
30065, -6.00, 0.00, 0.00, 0.00, 0.00, 6.00, 0.00, 0.00, 0.00, 9810.00, 462.29, -375.32, 37.53, 0
25560, -6.00, 0.00, 0.00, 0.00, 0.00, 8.00, 0.00, 0.00, 0.00, 9809.99, 482.95, -402.00, 40.20, 0
21738, -6.00, 0.00, 0.00, 0.00, 0.00, 10.00, 0.00, 0.00, 0.00, 9809.99, 508.11, -436.06, 43.61, 0
18537, -6.00, 0.00, 0.00, 0.00, 0.00, 12.00, 0.00, 0.00, 0.00, 9810.00, 537.28, -477.23, 47.72, 0
15876, -6.00, 0.00, 0.00, 0.00, 0.00, 14.00, 0.00, 0.00, 0.00, 9809.98, 569.31, -524.72, 52.47, 0
13673, -6.00, 0.00, 0.00, 0.00, 0.00, 16.00, 0.00, 0.00, 0.00, 9809.99, 603.89, -578.42, 57.84, 0
11846, -6.00, 0.00, 0.00, 0.00, 0.00, 18.00, 0.00, 0.00, 0.00, 9809.98, 640.06, -637.73, 63.77, 0
10327, -6.00, 0.00, 0.00, 0.00, 0.00, 20.00, 0.00, 0.00, 0.00, 9809.98, 677.75, -702.69, 70.27, 0
9058, -6.00, 0.00, 0.00, 0.00, 0.00, 22.00, 0.00, 0.00, 0.00, 9809.99, 716.67, -773.21, 77.32, 0
