Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vrelx,Vrely,F_vinc,Tension,Lift,Drag,Stability
38235, 3.82, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 981.00, -545.73, -700.54, 23.35, 0
28857, 2.89, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 2.00, 0.00, -2.00, 0.00, 980.99, 848.43, -822.30, 27.41, 0
21989, 2.20, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 4.00, 0.00, -4.00, 0.00, 980.98, 962.93, -945.68, 31.52, 0
16816, 1.68, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 6.00, 0.00, -6.00, 0.00, 980.97, 1053.57, -1055.64, 35.19, 0
13017, 1.30, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 8.00, 0.00, -8.00, 0.00, 980.99, 1138.99, -1170.90, 39.03, 0
10254, 1.03, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 10.00, 0.00, -10.00, 0.00, 980.97, 1223.72, -1296.29, 43.21, 0
8230, 0.82, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 12.00, 0.00, -12.00, 0.00, 980.99, 1309.22, -1433.73, 47.79, 0
6722, 0.67, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 14.00, 0.00, -14.00, 0.00, 980.98, 1394.93, -1583.23, 52.77, 0
5577, 0.56, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 16.00, 0.00, -16.00, 0.00, 980.97, 1481.20, -1745.72, 58.19, 0
4691, 0.47, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 18.00, 0.00, -18.00, 0.00, 980.94, 1568.05, -1921.77, 64.06, 0
3994, 0.40, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 20.00, 0.00, -20.00, 0.00, 980.97, 1657.62, -2114.28, 70.48, 0
3436, 0.34, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 22.00, 0.00, -22.00, 0.00, 980.95, 1748.54, -2322.76, 77.43, 0
2984, 0.30, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 24.00, 0.00, -24.00, 0.00, 980.96, 1841.96, -2548.58, 84.95, 0
2613, 0.26, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 26.00, 0.00, -26.00, 0.00, 980.95, 1936.57, -2790.74, 93.02, 0
2305, 0.23, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 28.00, 0.00, -28.00, 0.00, 980.93, 2031.82, -3048.98, 101.63, 0
2047, 0.20, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 30.00, 0.00, -30.00, 0.00, 980.91, 2128.49, -3324.28, 110.81, 0
1829, 0.18, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 32.00, 0.00, -32.00, 0.00, 980.90, 2226.75, -3617.00, 120.57, 0
1644, 0.16, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 34.00, 0.00, -34.00, 0.00, 980.98, 2329.42, -3929.59, 130.99, 0
1484, 0.15, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 36.00, 0.00, -36.00, 0.00, 980.92, 2428.11, -4255.29, 141.84, 0
1346, 0.13, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 38.00, 0.00, -38.00, 0.00, 980.90, 2529.31, -4599.62, 153.32, 0
1226, 0.12, 100.00, -8.00, 0.00, 0.00, 0.00, 0.00, 40.00, 0.00, -40.00, 0.00, 980.88, 2631.76, -4961.75, 165.39, 0
49789, 4.98, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 980.99, 401.49, -319.06, 31.91, 0
43288, 4.33, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 2.00, 0.00, -2.00, 0.00, 981.00, 348.86, -276.15, 27.62, 0
35321, 3.53, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 4.00, 0.00, -4.00, 0.00, 980.99, 440.30, -355.05, 35.51, 0
30065, 3.01, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 6.00, 0.00, -6.00, 0.00, 981.00, 455.68, -374.97, 37.50, 0
25560, 2.56, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 8.00, 0.00, -8.00, 0.00, 980.99, 474.30, -401.38, 40.14, 0
21738, 2.17, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 10.00, 0.00, -10.00, 0.00, 980.99, 496.93, -435.03, 43.50, 0
18537, 1.85, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 12.00, 0.00, -12.00, 0.00, 981.00, 523.10, -475.60, 47.56, 0
15877, 1.59, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 14.00, 0.00, -14.00, 0.00, 981.00, 551.95, -522.47, 52.25, 0
13673, 1.37, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 16.00, 0.00, -16.00, 0.00, 980.98, 582.69, -575.08, 57.51, 0
11847, 1.18, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 18.00, 0.00, -18.00, 0.00, 981.00, 615.23, -633.48, 63.35, 0
10328, 1.03, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 20.00, 0.00, -20.00, 0.00, 981.00, 648.86, -697.18, 69.72, 0
9058, 0.91, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 22.00, 0.00, -22.00, 0.00, 980.97, 683.34, -766.15, 76.62, 0
7991, 0.80, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 24.00, 0.00, -24.00, 0.00, 980.98, 718.88, -840.64, 84.06, 0
7089, 0.71, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 26.00, 0.00, -26.00, 0.00, 980.97, 755.10, -920.46, 92.05, 0
6323, 0.63, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 28.00, 0.00, -28.00, 0.00, 980.98, 792.45, -1006.06, 100.61, 0
5668, 0.57, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 30.00, 0.00, -30.00, 0.00, 980.99, 830.62, -1097.29, 109.73, 0
5104, 0.51, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 32.00, 0.00, -32.00, 0.00, 980.98, 869.26, -1193.96, 119.40, 0
4617, 0.46, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 34.00, 0.00, -34.00, 0.00, 981.00, 909.05, -1296.62, 129.66, 0
4193, 0.42, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 36.00, 0.00, -36.00, 0.00, 980.99, 949.30, -1404.90, 140.49, 0
3823, 0.38, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 38.00, 0.00, -38.00, 0.00, 981.00, 990.59, -1519.20, 151.92, 0
3498, 0.35, 100.00, -6.00, 0.00, 0.00, 0.00, 0.00, 40.00, 0.00, -40.00, 0.00, 981.00, 1032.51, -1639.30, 163.93, 0
54644, 5.46, 100.00, -4.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 980.99, 517.44, 420.28, 8.41, 0
69792, 6.98, 100.00, -4.00, 0.00, 0.00, 0.00, 0.00, 2.00, 0.00, -2.00, 0.00, 981.01, -402.87, 653.64, 13.07, 0
126929, 12.69, 100.00, -4.00, 0.00, 0.00, 0.00, 0.00, 4.00, 0.00, -4.00, 0.00, 980.99, 406.86, 332.30, 6.65, 0
93683, 9.37, 100.00, -4.00, 0.00, 0.00, 0.00, 0.00, 6.00, 0.00, -6.00, 0.00, 981.00, 266.04, 229.18, 4.58, 0
78624, 7.86, 100.00, -4.00, 0.00, 0.00, 0.00, 0.00, 8.00, 0.00, -8.00, 0.00, 981.00, 165.59, 164.00, 3.28, 0
57550, 5.75, 100.00, -4.00, 0.00, 0.00, 0.00, 0.00, 10.00, 0.00, -10.00, 0.00, 981.00, 189.10, 201.71, 4.03, 0
49372, 4.94, 100.00, -4.00, 0.00, 0.00, 0.00, 0.00, 12.00, 0.00, -12.00, 0.00, 981.00, 219.74, 236.44, 4.73, 0
1000000, 100.00, 100.00, -4.00, 0.00, 2.13, 0.71, -0.00, 14.00, 0.00, -8.90, 3.16, 1010.38, -34.57, 68.32, 1.37, 0
1000000, 100.00, 100.00, -4.00, 0.00, 2.04, 0.51, 0.00, 16.00, 0.00, -11.51, 2.27, 981.60, -0.67, 105.44, 2.11, 0
1000000, 100.00, 100.00, -4.00, 0.00, 1.73, -1.75, -0.00, 18.00, 0.00, -29.38, -1.85, 398.48, 590.07, 663.71, 13.27, 1
1000000, 100.00, 100.00, -4.00, 0.00, 1.29, -0.15, -0.00, 20.00, 0.00, -17.59, -0.70, 852.47, 133.74, 237.30, 4.75, 1
1000000, 100.00, 100.00, -4.00, 0.00, 1.71, 0.42, -0.00, 22.00, 0.00, -19.47, 0.36, 793.05, 189.92, 290.48, 5.81, 0
72700, 7.27, 100.00, -4.00, 0.00, 0.00, 0.00, 0.00, 24.00, 0.00, -24.00, 0.00, 981.10, -2244.07, 3481.91, 69.64, 0
1000000, 100.00, 100.00, -4.00, 0.00, 1.65, -0.01, 0.00, 26.00, 0.00, -26.05, -0.01, 561.28, 420.90, 519.49, 10.39, 1
1000000, 100.00, 100.00, -4.00, 0.00, 1.49, -0.49, -0.00, 28.00, 0.00, -25.84, -0.19, 567.54, 414.85, 511.22, 10.22, 1
1000000, 100.00, 100.00, -4.00, 0.00, 1.56, 8.40, -0.00, 30.00, 0.00, -32.94, 0.01, 246.41, 734.61, 830.82, 16.62, 0
51919, 5.19, 100.00, -4.00, 0.00, 0.00, 0.00, 0.00, 32.00, 0.00, -32.00, 0.00, 981.13, -3024.35, 4743.52, 94.87, 0
48472, 4.85, 100.00, -4.00, 0.00, 0.00, 0.00, 0.00, 34.00, 0.00, -34.00, 0.00, 981.04, -3245.45, 5103.29, 102.07, 0
45419, 4.54, 100.00, -4.00, 0.00, 0.00, 0.00, 0.00, 36.00, 0.00, -36.00, 0.00, 981.24, -3487.24, 5495.59, 109.91, 0
42661, 4.27, 100.00, -4.00, 0.00, 0.00, 0.00, 0.00, 38.00, 0.00, -38.00, 0.00, 981.16, -3801.67, 6001.76, 120.04, 0
40164, 4.02, 100.00, -4.00, 0.00, 0.00, 0.00, 0.00, 40.00, 0.00, -40.00, 0.00, 981.08, -4201.24, 6655.78, 133.12, 0
35908, 3.59, 100.00, -2.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 980.99, 722.89, 715.75, 17.89, 0
35758, 3.58, 100.00, -2.00, 0.00, 0.00, 0.00, 0.00, 2.00, 0.00, -2.00, 0.00, 980.97, 1108.00, 1114.55, 27.86, 0
37647, 3.76, 100.00, -2.00, 0.00, 0.00, 0.00, 0.00, 4.00, 0.00, -4.00, 0.00, 980.98, 1001.21, 1020.17, 25.50, 0
42837, 4.28, 100.00, -2.00, 0.00, 0.00, 0.00, 0.00, 6.00, 0.00, -6.00, 0.00, 980.98, 660.90, 684.37, 17.11, 0
49780, 4.98, 100.00, -2.00, 0.00, 0.00, 0.00, 0.00, 8.00, 0.00, -8.00, 0.00, 980.99, 352.70, 372.08, 9.30, 0
59320, 5.93, 100.00, -2.00, 0.00, 0.00, 0.00, 0.00, 10.00, 0.00, -10.00, 0.00, 981.00, 204.32, 206.18, 5.15, 0
70136, 7.01, 100.00, -2.00, 0.00, 0.00, 0.00, 0.00, 12.00, 0.00, -12.00, 0.00, 981.00, 207.03, 191.94, 4.80, 0
80169, 8.02, 100.00, -2.00, 0.00, 0.00, 0.00, 0.00, 14.00, 0.00, -14.00, 0.00, 981.00, 275.84, 255.50, 6.39, 0
89653, 8.97, 100.00, -2.00, 0.00, 0.00, 0.00, 0.00, 16.00, 0.00, -16.00, 0.00, 981.00, 362.27, 342.40, 8.56, 0
99308, 9.93, 100.00, -2.00, 0.00, 0.00, 0.00, 0.00, 18.00, 0.00, -18.00, 0.00, 981.00, 446.65, 429.23, 10.73, 0
110029, 11.00, 100.00, -2.00, 0.00, 0.00, 0.00, 0.00, 20.00, 0.00, -20.00, 0.00, 981.00, 520.12, 505.08, 12.63, 0
128409, 12.84, 100.00, -2.00, 0.00, 0.00, 0.00, 0.00, 22.00, 0.00, -22.00, 0.00, 980.98, 745.18, 744.38, 18.61, 0
1000000, 100.00, 100.00, -2.00, 0.00, 1.54, -0.00, 0.00, 24.00, 0.00, -24.00, -0.00, -683.92, 1665.50, 1763.86, 44.10, 1
1000000, 100.00, 100.00, -2.00, 0.00, 1.54, -0.01, 0.00, 26.00, 0.00, -25.99, -0.00, -988.82, 1970.49, 2069.08, 51.73, 1
1000000, 100.00, 100.00, -2.00, 0.00, 1.54, 0.00, -0.00, 28.00, 0.00, -28.00, -0.00, -1323.59, 2305.36, 2401.46, 60.04, 0
1000000, 100.00, 100.00, -2.00, 0.00, 1.54, 0.00, -0.00, 30.00, 0.00, -30.00, -0.00, -1678.97, 2660.86, 2756.51, 68.91, 0
1000000, 100.00, 100.00, -2.00, 0.00, 1.55, -0.00, -0.00, 32.00, 0.00, -32.00, -0.00, -2058.70, 3040.71, 3135.88, 78.40, 1
1000000, 100.00, 100.00, -2.00, 0.00, 1.55, 0.00, -0.00, 34.00, 0.00, -34.00, -0.00, -2463.51, 3445.64, 3540.31, 88.51, 0
1000000, 100.00, 100.00, -2.00, 0.00, 1.55, 0.00, -0.00, 36.00, 0.00, -36.00, -0.00, -2892.60, 3874.86, 3968.99, 99.22, 0
1000000, 100.00, 100.00, -2.00, 0.00, 1.55, -0.00, 0.00, 38.00, 0.00, -38.00, -0.00, -3339.39, 4321.79, 4422.15, 110.55, 1
1000000, 100.00, 100.00, -2.00, 0.00, 1.55, 0.00, -0.00, 40.00, 0.00, -40.00, -0.00, -3824.53, 4807.08, 4900.05, 122.50, 0
35857, 3.59, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 981.00, 494.30, 507.95, 14.51, 0
