Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vkitex,Vkitez,Vrelx,Vrelz,F_vinc,Tension,Lift,Drag,Stability
42320, 4.23, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, -1.00, 0.00, 981.00, -83.79, -88.05, 2.93, 0
62473, 6.25, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 3.00, 0.00, 0.00, 0.00, -3.00, 0.00, 981.00, -18.76, -22.04, 0.73, 0
814665, 81.47, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 5.00, 0.00, 0.00, 0.00, -5.00, 0.00, 981.00, 0.38, -11.48, 0.38, 0
621501, 62.15, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 7.00, 0.00, 0.00, 0.00, -7.00, 0.00, 981.00, 0.75, -22.51, 0.75, 0
497495, 49.75, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 9.00, 0.00, 0.00, 0.00, -9.00, 0.00, 981.00, 1.22, -37.21, 1.24, 0
416030, 41.60, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 11.00, 0.00, 0.00, 0.00, -11.00, 0.00, 981.00, 1.85, -55.58, 1.85, 0
358669, 35.87, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 13.00, 0.00, 0.00, 0.00, -13.00, 0.00, 981.00, 2.58, -77.63, 2.59, 0
315624, 31.56, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 15.00, 0.00, 0.00, 0.00, -15.00, 0.00, 981.00, 3.44, -103.36, 3.45, 0
282140, 28.21, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 17.00, 0.00, 0.00, 0.00, -17.00, 0.00, 981.00, 4.42, -132.76, 4.43, 0
255423, 25.54, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 19.00, 0.00, 0.00, 0.00, -19.00, 0.00, 981.00, 5.38, -165.83, 5.53, 0
233443, 23.34, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 21.00, 0.00, 0.00, 0.00, -21.00, 0.00, 981.00, 6.73, -202.58, 6.75, 0
215073, 21.51, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 23.00, 0.00, 0.00, 0.00, -23.00, 0.00, 981.00, 8.08, -243.01, 8.10, 0
199415, 19.94, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 25.00, 0.00, 0.00, 0.00, -25.00, 0.00, 981.00, 9.54, -287.11, 9.57, 0
186141, 18.61, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 27.00, 0.00, 0.00, 0.00, -27.00, 0.00, 981.00, 11.14, -334.88, 11.16, 0
174383, 17.44, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 29.00, 0.00, 0.00, 0.00, -29.00, 0.00, 981.00, 12.87, -386.33, 12.88, 0
160693, 16.07, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 31.00, 0.00, 0.00, 0.00, -31.00, 0.00, 981.00, 14.71, -441.46, 14.72, 0
157128, 15.71, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 33.00, 0.00, 0.00, 0.00, -33.00, 0.00, 981.00, 16.66, -500.26, 16.68, 0
147066, 14.71, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 35.00, 0.00, 0.00, 0.00, -35.00, 0.00, 981.00, 18.73, -562.73, 18.76, 0
140124, 14.01, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 37.00, 0.00, 0.00, 0.00, -37.00, 0.00, 981.00, 20.95, -628.88, 20.96, 0
