Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vkitex,Vkitez,Vrelx,Vrely,F_vinc,Tension,Lift,Liftx,Liftz,Drag,Dragx,Dragz,Stability
41984, 4.20, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00,  -1.00, 0.00, 981.00, 136.21, -130.52, 130.29, -7.74, 4.35, 0.26, 4.34, 0
46089, 4.61, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 3.00, 0.00, 0.00, 0.00,  -3.00, 0.00, 981.00, 424.44, -407.88, 405.82, -40.97, 13.60, 1.37, 13.53, 0
32836, 3.28, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 5.00, 0.00, 0.00, 0.00,  -5.00, 0.00, 980.93, 948.33, -915.85, 911.40, -90.16, 30.53, 3.01, 30.38, 0
24168, 2.42, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 7.00, 0.00, 0.00, 0.00,  -7.00, 0.00, 980.93, 1638.56, -1584.63, 1577.70, -148.08, 52.82, 4.94, 52.59, 0
19165, 1.92, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 9.00, 0.00, 0.00, 0.00,  -9.00, 0.00, 980.95, 2500.54, -2419.82, 2409.81, -219.92, 80.66, 7.33, 80.33, 0
15882, 1.59, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 11.00, 0.00, 0.00, 0.00,  -11.00, 0.00, 980.62, 3534.49, -3421.67, 3407.95, -306.06, 114.06, 10.20, 113.60, 0
13558, 1.36, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 13.00, 0.00, 0.00, 0.00,  -13.00, 0.00, 980.64, 4742.08, -4591.76, 4573.69, -407.02, 153.06, 13.57, 152.46, 0
11825, 1.18, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 15.00, 0.00, 0.00, 0.00,  -15.00, 0.00, 979.65, 6118.88, -5925.84, 5902.85, -521.50, 197.53, 17.38, 196.76, 0
10484, 1.05, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 17.00, 0.00, 0.00, 0.00,  -17.00, 0.00, 980.17, 7677.32, -7435.85, 7407.25, -651.55, 247.86, 21.72, 246.91, 0
9416, 0.94, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 19.00, 0.00, 0.00, 0.00,  -19.00, 0.00, 979.17, 9394.46, -9099.73, 9064.93, -795.04, 303.32, 26.50, 302.16, 0
8545, 0.85, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 21.00, 0.00, 0.00, 0.00,  -21.00, 0.00, 980.87, 11305.00, -10950.85, 10909.16, -954.64, 365.03, 31.82, 363.64, 0
7822, 0.78, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 23.00, 0.00, 0.00, 0.00,  -23.00, 0.00, 980.51, 13374.13, -12955.87, 12906.55, -1129.38, 431.86, 37.65, 430.22, 0
7210, 0.72, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 25.00, 0.00, 0.00, 0.00,  -25.00, 0.00, 976.56, 15657.43, -15168.50, 15110.92, -1320.45, 505.62, 44.01, 503.70, 0
6687, 0.67, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 27.00, 0.00, 0.00, 0.00,  -27.00, 0.00, 979.91, 18177.99, -17610.89, 17543.82, -1535.53, 587.03, 51.18, 584.79, 0
6234, 0.62, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 29.00, 0.00, 0.00, 0.00,  -29.00, 0.00, 977.00, 20872.78, -20222.35, 20145.29, -1763.66, 674.08, 58.79, 671.51, 0
5839, 0.58, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 31.00, 0.00, 0.00, 0.00,  -31.00, 0.00, 980.16, 23775.96, -23035.74, 22947.43, -2015.10, 767.86, 67.17, 764.91, 0
5489, 0.55, 100.00, -8.00, 0.79, 0.00, 0.00, 0.00, 33.00, 0.00, 0.00, 0.00,  -33.00, 0.00, 972.52, 26896.26, -26059.44, 25960.06, -2273.69, 868.65, 75.79, 865.34, 0
