t         x_kite          z_kite         r_block          z_blocco          wind_x       wind_y       v_blocco_x
0       50.000000       0.000500      0.000000      0.000000      0.000250      0.000000     0.003142
1000       50.001209       0.476539      0.003480      0.000000      0.238269      0.000170     0.671174
2000       50.004679       0.903086      0.012835      0.000000      0.451542      0.001156     1.173839
3000       50.010162       1.283080      0.026628      0.000000      0.641538      0.003314     1.563046
4000       50.017448       1.625262      0.043870      0.000000      0.812625      0.006732     1.870194
5000       50.026366       1.936129      0.063866      0.000000      0.968054      0.011372     2.119517
6000       50.036770       2.220637      0.086107      0.000000      1.110303      0.017145     2.321531
7000       50.048539       2.481899      0.110175      0.000000      1.240926      0.023917     2.486198
8000       50.061562       2.723150      0.135772      0.000000      1.361542      0.031565     2.630424
9000       50.075748       2.947606      0.162708      0.000000      1.473760      0.039998     2.753662
10000       50.091019       3.157259      0.190802      0.000000      1.578574      0.049112     2.862524
11000       50.107305       3.353760      0.219909      0.000000      1.676811      0.058815     2.957504
12000       50.124543       3.538492      0.249910      0.000000      1.769161      0.069020     3.041813
13000       50.142678       3.712623      0.280705      0.000000      1.856210      0.079652     3.116731
14000       50.161660       3.877151      0.312209      0.000000      1.938456      0.090642     3.183362
15000       50.181441       4.032935      0.344352      0.000000      2.016327      0.101929     3.244337
16000       50.201981       4.180715      0.377071      0.000000      2.090197      0.113457     3.299212
17000       50.223241       4.321140      0.410314      0.000000      2.160387      0.125177     3.348536
18000       50.245186       4.454777      0.444032      0.000000      2.227181      0.137044     3.394039
19000       50.267783       4.582124      0.478184      0.000000      2.290830      0.149019     3.435822
20000       50.291001       4.703625      0.512734      0.000000      2.351554      0.161066     3.473507
21000       50.314813       4.819674      0.547648      0.000000      2.409551      0.173153     3.508772
22000       50.339193       4.930621      0.582897      0.000000      2.464996      0.185249     3.540671
23000       50.364114       5.036783      0.618453      0.000000      2.518048      0.197330     3.570156
24000       50.389555       5.138444      0.654292      0.000000      2.568847      0.209369     3.597199
25000       50.415493       5.235859      0.690391      0.000000      2.617523      0.221347     3.622137
26000       50.441908       5.329262      0.726729      0.000000      2.664192      0.233242     3.645216
27000       50.468779       5.418863      0.763288      0.000000      2.708959      0.245037     3.666081
28000       50.496090       5.504854      0.800048      0.000000      2.751920      0.256716     3.685496
29000       50.523821       5.587412      0.836994      0.000000      2.793164      0.268262     3.703313
30000       50.551957       5.666697      0.874109      0.000000      2.832770      0.279662     3.719434
31000       50.580480       5.742857      0.911379      0.000000      2.870813      0.290904     3.734369
32000       50.609377       5.816027      0.948791      0.000000      2.907360      0.301975     3.747767
33000       50.638632       5.886332      0.986330      0.000000      2.942475      0.312866     3.759868
34000       50.668231       5.953889      1.023984      0.000000      2.976214      0.323565     3.770836
35000       50.698161       6.018803      1.061743      0.000000      3.008631      0.334065     3.780641
36000       50.728408       6.081173      1.099593      0.000000      3.039776      0.344356     3.789252
37000       50.758961       6.141092      1.137525      0.000000      3.069694      0.354431     3.796867
38000       50.789807       6.198643      1.175527      0.000000      3.098428      0.364283     3.803504
39000       50.820935       6.253907      1.213591      0.000000      3.126018      0.373905     3.809064
40000       50.852333       6.306957      1.251705      0.000000      3.152500      0.383292     3.813725
41000       50.883991       6.357861      1.289862      0.000000      3.177909      0.392437     3.817349
42000       50.915826       6.406827      1.327999      0.000000      3.202348      0.401362     3.809667
43000       50.947803       6.453942      1.366087      0.000000      3.225862      0.410068     3.807355
