step        alpha       action      reward        Q[s+0]      Q[s+1]      Q[s+2]
0      12.000000     2     0.000000     246.944748     246.957722     246.989571
1000      14.000000     2     0.006712     247.050182     247.050022     247.054989
2000      16.000000     1     0.011738     247.063934     247.071654     247.068014
3000      16.000000     1     0.015630     247.063934     247.071655     247.068014
4000      16.000000     1     0.018702     247.063934     247.071655     247.068014
5000      16.000000     1     0.021195     247.063934     247.071655     247.068014
6000      16.000000     2     0.023215     247.063934     247.071655     247.068014
7000      18.000000     0     0.024862     247.103094     247.075534     247.102201
8000      16.000000     1     0.026304     247.063934     247.071655     247.068015
9000      16.000000     1     0.027537     247.063934     247.071655     247.068015
10000      16.000000     1     0.028625     247.063934     247.071656     247.068015
11000      16.000000     1     0.029575     247.063934     247.071656     247.068015
12000      16.000000     1     0.030418     247.063934     247.071656     247.068015
13000      16.000000     1     0.031167     247.063934     247.071656     247.068015
14000      16.000000     1     0.031834     247.063934     247.071657     247.068015
15000      16.000000     1     0.032443     247.063934     247.071657     247.068015
16000      16.000000     1     0.032992     247.063934     247.071657     247.068015
17000      16.000000     1     0.033485     247.063934     247.071658     247.068015
18000      16.000000     1     0.033940     247.063934     247.071658     247.068015
19000      16.000000     1     0.034358     247.063934     247.071658     247.068015
20000      16.000000     1     0.034735     247.063934     247.071659     247.068015
21000      16.000000     1     0.035088     247.063934     247.071659     247.068015
22000      16.000000     1     0.035407     247.063934     247.071659     247.068015
23000      16.000000     1     0.035702     247.063934     247.071660     247.068015
24000      16.000000     1     0.035972     247.063934     247.071660     247.068015
25000      16.000000     1     0.036221     247.063934     247.071661     247.068015
26000      16.000000     1     0.036452     247.063934     247.071661     247.068015
27000      16.000000     1     0.036661     247.063934     247.071661     247.068015
28000      16.000000     1     0.036855     247.063934     247.071662     247.068015
29000      16.000000     1     0.037033     247.063934     247.071662     247.068015
30000      16.000000     1     0.037194     247.063934     247.071662     247.068015
31000      16.000000     1     0.037344     247.063934     247.071663     247.068015
32000      16.000000     1     0.037478     247.063934     247.071663     247.068015
33000      16.000000     1     0.037599     247.063934     247.071664     247.068015
34000      16.000000     1     0.037708     247.063934     247.071664     247.068015
35000      16.000000     1     0.037806     247.063934     247.071664     247.068015
36000      16.000000     1     0.037893     247.063934     247.071665     247.068015
37000      16.000000     1     0.037969     247.063934     247.071665     247.068015
38000      16.000000     1     0.038035     247.063934     247.071665     247.068015
39000      16.000000     1     0.038091     247.063934     247.071666     247.068015
40000      16.000000     1     0.038137     247.063934     247.071666     247.068015
41000      16.000000     0     0.038173     247.063934     247.071666     247.068015
42000      14.000000     2     0.038097     247.050182     247.050022     247.054989
43000      16.000000     1     0.038074     247.063934     247.071666     247.068015
44000      16.000000     1     0.038020     247.063934     247.071667     247.068015
45000      16.000000     1     0.037938     247.063934     247.071667     247.068015
46000      16.000000     1     0.037830     247.063934     247.071668     247.068015
47000      16.000000     1     0.037700     247.063934     247.071668     247.068015
48000      16.000000     1     0.037548     247.063934     247.071668     247.068015
