t         x_kite          z_kite         r_block          z_blocco          wind_x       wind_y       v_blocco_x
0       50.000000       0.000500      0.000000      0.000000      0.000250      0.000000     0.003142
1000       50.001209       0.476539      0.003480      0.000000      0.238269      0.000170     0.671165
2000       50.004677       0.903086      0.012833      0.000000      0.451542      0.001156     1.173807
3000       50.010155       1.281495      0.026580      0.000000      0.640745      0.003302     1.555633
4000       50.017424       1.621002      0.043708      0.000000      0.810496      0.006679     1.857366
5000       50.026308       1.927560      0.063477      0.000000      0.963770      0.011222     2.085680
6000       50.036652       2.206575      0.085366      0.000000      1.103272      0.016822     2.284182
7000       50.048334       2.462433      0.109006      0.000000      1.231193      0.023360     2.438428
8000       50.061242       2.698368      0.134107      0.000000      1.349152      0.030714     2.579151
9000       50.075287       2.917116      0.160455      0.000000      1.458515      0.038774     2.687983
10000       50.090386       3.120759      0.187872      0.000000      1.560325      0.047436     2.793143
11000       50.106470       3.311112      0.216225      0.000000      1.655488      0.056610     2.875078
12000       50.123475       3.489593      0.245396      0.000000      1.744714      0.066213     2.957245
13000       50.141346       3.657468      0.275296      0.000000      1.828634      0.076175     3.021721
14000       50.160031       3.815742      0.305842      0.000000      1.907754      0.086430     3.086339
15000       50.179486       3.965332      0.336972      0.000000      1.982530      0.096923     3.138446
16000       50.199668       4.106977      0.368626      0.000000      2.053332      0.107602     3.191889
17000       50.220540       4.241361      0.400756      0.000000      2.120502      0.118424     3.233479
18000       50.242066       4.369044      0.433317      0.000000      2.184321      0.129348     3.277802
19000       50.264215       4.490548      0.466273      0.000000      2.245049      0.140340     3.312879
20000       50.286956       4.606307      0.499589      0.000000      2.302904      0.151366     3.349585
21000       50.310263       4.716730      0.533236      0.000000      2.358089      0.162399     3.379158
22000       50.334109       4.822159      0.567185      0.000000      2.410776      0.173414     3.410139
23000       50.358470       4.922919      0.601412      0.000000      2.461128      0.184387     3.434931
24000       50.383324       5.019285      0.635894      0.000000      2.509281      0.195297     3.461266
25000       50.408648       5.111519      0.670611      0.000000      2.555368      0.206127     3.481978
26000       50.434424       5.199845      0.705543      0.000000      2.599500      0.216858     3.504115
27000       50.460632       5.284479      0.740673      0.000000      2.641785      0.227476     3.521529
28000       50.487253       5.365605      0.775984      0.000000      2.682315      0.237966     3.540398
29000       50.514272       5.443400      0.811461      0.000000      2.721180      0.248315     3.554793
30000       50.541671       5.518019      0.847089      0.000000      2.758455      0.258513     3.570394
31000       50.569435       5.589611      0.882855      0.000000      2.794216      0.268548     3.582476
32000       50.597550       5.658304      0.918745      0.000000      2.828527      0.278410     3.595383
33000       50.626000       5.724225      0.954749      0.000000      2.861451      0.288091     3.605139
34000       50.654774       5.787483      0.990853      0.000000      2.893043      0.297583     3.615489
35000       50.683856       5.848185      1.027047      0.000000      2.923356      0.306877     3.623169
36000       50.713236       5.906423      1.063320      0.000000      2.952437      0.315968     3.631293
37000       50.742900       5.962291      1.099662      0.000000      2.980332      0.324848     3.637005
38000       50.772838       6.015868      1.136064      0.000000      3.007081      0.333512     3.643157
39000       50.803038       6.067279      1.172522      0.000000      3.032747      0.341962     3.648227
40000       50.833451       6.116587      1.208988      0.000000      3.057361      0.350193     3.644412
41000       50.864039       6.163888      1.245429      0.000000      3.080971      0.358205     3.643262
42000       50.894768       6.209272      1.281816      0.000000      3.103622      0.366000     3.633872
43000       50.925602       6.252828      1.318121      0.000000      3.125359      0.373580     3.626701
44000       50.956514       6.294633      1.354320      0.000000      3.146221      0.380947     3.612690
45000       50.987472       6.334765      1.390388      0.000000      3.166245      0.388103     3.600513
46000       51.018453       6.373292      1.426305      0.000000      3.185467      0.395050     3.582658
47000       51.049432       6.410279      1.462052      0.000000      3.203919      0.401791     3.566306
48000       51.080388       6.445787      1.497610      0.000000      3.221631      0.408327     3.545239
49000       51.111299       6.479872      1.532965      0.000000      3.238632      0.414662     3.525392
50000       51.142149       6.512584      1.568101      0.000000      3.254946      0.420797     3.501632
51000       51.172919       6.543973      1.603004      0.000000      3.270599      0.426734     3.478847
52000       51.203602       6.574094      1.637673      0.000000      3.285618      0.432478     3.454784
53000       51.234176       6.602974      1.672087      0.000000      3.300016      0.438027     3.427768
54000       51.264628       6.630653      1.706233      0.000000      3.313814      0.443383     3.401427
55000       51.294944       6.657163      1.740104      0.000000      3.327028      0.448549     3.372652
56000       51.325115       6.682537      1.773690      0.000000      3.339674      0.453524     3.344388
57000       51.355129       6.706803      1.806983      0.000000      3.351766      0.458311     3.314125
58000       51.384978       6.729987      1.839975      0.000000      3.363318      0.462909     3.284235
59000       51.414653       6.752111      1.872660      0.000000      3.374340      0.467320     3.252715
60000       51.444145       6.773199      1.905032      0.000000      3.384843      0.471543     3.221452
61000       51.473449       6.793267      1.937083      0.000000      3.394837      0.475580     3.188872
62000       51.502558       6.812333      1.968810      0.000000      3.404331      0.479431     3.156456
63000       51.531465       6.830411      2.000208      0.000000      3.413331      0.483095     3.122986
64000       51.560167       6.847515      2.031271      0.000000      3.421844      0.486571     3.089608
65000       51.588658       6.863655      2.061996      0.000000      3.429876      0.489861     3.055400
66000       51.616934       6.878842      2.092379      0.000000      3.437431      0.492963     3.021230
67000       51.644992       6.893084      2.122418      0.000000      3.444514      0.495876     2.986417
68000       51.672829       6.906388      2.152108      0.000000      3.451129      0.498601     2.951606
69000       51.700441       6.918761      2.181447      0.000000      3.457278      0.501136     2.916309
70000       51.727827       6.930209      2.210434      0.000000      3.462966      0.503481     2.880990
71000       51.754984       6.940738      2.239065      0.000000      3.468194      0.505635     2.845314
72000       51.781909       6.950354      2.267340      0.000000      3.472966      0.507598     2.809600
73000       51.808601       6.959077      2.295257      0.000000      3.477293      0.509374     2.773801
74000       51.835056       6.966917      2.322815      0.000000      3.481178      0.510962     2.737783
75000       51.861275       6.973864      2.350011      0.000000      3.484617      0.512361     2.701585
76000       51.887255       6.979930      2.376846      0.000000      3.487616      0.513571     2.665305
77000       51.912993       6.985124      2.403317      0.000000      3.490180      0.514594     2.628902
78000       51.938487       6.989460      2.429423      0.000000      3.492315      0.515431     2.592373
79000       51.963735       6.992952      2.455164      0.000000      3.494029      0.516086     2.555766
80000       51.988732       6.995616      2.480537      0.000000      3.495329      0.516562     2.518973
81000       52.013476       6.997471      2.505543      0.000000      3.496225      0.516863     2.482144
82000       52.037961       6.998535      2.530179      0.000000      3.496727      0.516992     2.445056
83000       52.062185       6.998830      2.554444      0.000000      3.496844      0.516954     2.407978
84000       52.086141       6.998377      2.578336      0.000000      3.496588      0.516754     2.370558
85000       52.109826       6.997200      2.601855      0.000000      3.495971      0.516397     2.333203
86000       52.133234       6.995325      2.624998      0.000000      3.495005      0.515889     2.295419
87000       52.156360       6.992774      2.647764      0.000000      3.493702      0.515236     2.257765
88000       52.179199       6.989576      2.670151      0.000000      3.492075      0.514443     2.219591
89000       52.201744       6.985757      2.692157      0.000000      3.490139      0.513518     2.181624
