step        alpha       action      reward        Q[s+0]      Q[s+1]      Q[s+2]
0      12.000000     2     0.000000     246.571096     246.549366     246.729465
1000      14.000000     2     0.006712     246.596333     246.596623     246.602279
2000      16.000000     2     0.011738     246.598848     246.599060     246.601898
3000      18.000000     2     0.015556     246.595965     246.596765     246.602028
4000      19.000000     2     0.018574     246.627446     246.627805     246.627861
5000      20.000000     0     0.020857     246.662201     246.622353     0.000000
6000      19.000000     2     0.022842     246.627446     246.627805     246.627861
7000      20.000000     0     0.024384     246.662201     246.622353     0.000000
8000      19.000000     2     0.025792     246.627446     246.627805     246.627862
9000      20.000000     0     0.026880     246.662200     246.622353     0.000000
10000      19.000000     2     0.027931     246.627446     246.627805     246.627863
11000      20.000000     0     0.028751     246.662200     246.622353     0.000000
12000      19.000000     2     0.029572     246.627446     246.627805     246.627863
13000      20.000000     0     0.030217     246.662200     246.622353     0.000000
14000      19.000000     2     0.030863     246.627446     246.627805     246.627864
15000      20.000000     0     0.031384     246.662200     246.622353     0.000000
16000      19.000000     2     0.031919     246.627446     246.627805     246.627864
17000      20.000000     0     0.032335     246.662200     246.622353     0.000000
18000      19.000000     2     0.032778     246.627446     246.627805     246.627865
19000      20.000000     0     0.033129     246.662200     246.622353     0.000000
20000      19.000000     2     0.033496     246.627446     246.627805     246.627866
21000      20.000000     0     0.033792     246.662200     246.622353     0.000000
22000      19.000000     2     0.034101     246.627446     246.627805     246.627866
23000      20.000000     0     0.034349     246.662200     246.622353     0.000000
24000      19.000000     2     0.034613     246.627446     246.627805     246.627867
25000      20.000000     0     0.034820     246.662200     246.622353     0.000000
26000      19.000000     2     0.035041     246.627446     246.627805     246.627868
27000      20.000000     0     0.035215     246.662200     246.622353     0.000000
28000      19.000000     2     0.035404     246.627446     246.627805     246.627869
29000      20.000000     0     0.035548     246.662200     246.622353     0.000000
30000      19.000000     2     0.035704     246.627446     246.627805     246.627869
31000      20.000000     0     0.035825     246.662200     246.622353     0.000000
32000      19.000000     2     0.035954     246.627446     246.627805     246.627870
33000      20.000000     0     0.036051     246.662200     246.622353     0.000000
34000      19.000000     2     0.036155     246.627446     246.627805     246.627871
35000      20.000000     0     0.036232     246.662200     246.622353     0.000000
36000      19.000000     2     0.036313     246.627446     246.627805     246.627871
37000      20.000000     0     0.036370     246.662200     246.622353     0.000000
38000      19.000000     1     0.036432     246.627446     246.627805     246.627872
39000      19.000000     2     0.036482     246.627446     246.627805     246.627872
40000      20.000000     0     0.036444     246.662200     246.622353     0.000000
41000      19.000000     2     0.036433     246.627446     246.627805     246.627873
42000      20.000000     0     0.036339     246.662200     246.622353     0.000000
43000      19.000000     2     0.036267     246.627446     246.627805     246.627873
44000      20.000000     0     0.036127     246.662200     246.622353     0.000000
45000      19.000000     2     0.036005     246.627446     246.627805     246.627874
46000      20.000000     0     0.035827     246.662200     246.622353     0.000000
47000      19.000000     2     0.035663     246.627446     246.627805     246.627875
48000      20.000000     0     0.035452     246.662200     246.622353     0.000000
49000      19.000000     2     0.035254     246.627446     246.627805     246.627876
50000      20.000000     0     0.035016     246.662200     246.622353     0.000000
51000      19.000000     1     0.034788     246.627446     246.627805     246.627876
52000      19.000000     2     0.034548     246.627446     246.627805     246.627876
53000      20.000000     0     0.034278     246.662200     246.622353     0.000000
54000      19.000000     2     0.034014     246.627446     246.627805     246.627877
55000      20.000000     0     0.033727     246.662200     246.622353     0.000000
56000      19.000000     2     0.033444     246.627446     246.627805     246.627878
57000      20.000000     0     0.033141     246.662200     246.622353     0.000000
58000      19.000000     2     0.032842     246.627446     246.627805     246.627878
59000      20.000000     0     0.032527     246.662200     246.622353     0.000000
60000      19.000000     2     0.032215     246.627446     246.627805     246.627879
61000      20.000000     0     0.031889     246.662200     246.622353     0.000000
62000      19.000000     2     0.031565     246.627446     246.627805     246.627880
63000      20.000000     0     0.031230     246.662200     246.622353     0.000000
64000      19.000000     2     0.030896     246.627446     246.627805     246.627880
65000      20.000000     0     0.030554     246.662200     246.622353     0.000000
66000      19.000000     2     0.030212     246.627446     246.627805     246.627881
67000      20.000000     0     0.029864     246.662200     246.622353     0.000000
68000      19.000000     2     0.029516     246.627446     246.627805     246.627882
69000      20.000000     0     0.029163     246.662200     246.622353     0.000000
70000      19.000000     2     0.028810     246.627446     246.627805     246.627882
71000      20.000000     0     0.028453     246.662200     246.622353     0.000000
72000      19.000000     0     0.028096     246.627446     246.627805     246.627883
73000      18.000000     2     0.027738     246.595965     246.596765     246.602028
74000      19.000000     2     0.027378     246.627446     246.627805     246.627883
75000      20.000000     0     0.027016     246.662200     246.622353     0.000000
76000      19.000000     2     0.026653     246.627446     246.627805     246.627883
77000      20.000000     0     0.026289     246.662200     246.622353     0.000000
78000      19.000000     2     0.025924     246.627446     246.627805     246.627884
79000      20.000000     0     0.025558     246.662200     246.622353     0.000000
80000      19.000000     2     0.025190     246.627446     246.627805     246.627885
81000      20.000000     0     0.024821     246.662200     246.622353     0.000000
82000      19.000000     2     0.024451     246.627446     246.627805     246.627885
83000      20.000000     0     0.024080     246.662200     246.622353     0.000000
84000      19.000000     2     0.023706     246.627446     246.627805     246.627886
85000      20.000000     0     0.023332     246.662200     246.622353     0.000000
86000      19.000000     2     0.022954     246.627446     246.627805     246.627886
87000      20.000000     0     0.022578     246.662200     246.622353     0.000000
88000      19.000000     2     0.022196     246.627446     246.627805     246.627887
89000      20.000000     0     0.021816     246.662199     246.622353     0.000000
90000      19.000000     2     0.021430     246.627446     246.627805     246.627888
91000      20.000000     0     0.021048     246.662199     246.622353     0.000000
92000      19.000000     2     0.020658     246.627446     246.627805     246.627888
93000      20.000000     0     0.020272     246.662199     246.622353     0.000000
94000      19.000000     2     0.019878     246.627446     246.627805     246.627889
95000      20.000000     0     0.019489     246.662199     246.622353     0.000000
96000      19.000000     2     0.019092     246.627446     246.627805     246.627889
97000      20.000000     1     0.018700     246.662199     246.622353     0.000000
98000      20.000000     0     0.018307     246.662199     246.622354     0.000000
99000      19.000000     2     0.017904     246.627446     246.627805     246.627889
100000      20.000000     0     0.017509     246.662199     246.622354     0.000000
101000      19.000000     2     0.017104     246.627446     246.627805     246.627890
102000      20.000000     0     0.016706     246.662199     246.622354     0.000000
103000      19.000000     2     0.016299     246.627446     246.627805     246.627890
104000      20.000000     0     0.015900     246.662198     246.622354     0.000000
105000      19.000000     2     0.015491     246.627446     246.627805     246.627891
106000      20.000000     0     0.015091     246.662198     246.622354     0.000000
107000      19.000000     2     0.014680     246.627446     246.627805     246.627891
108000      20.000000     0     0.014280     246.662198     246.622354     0.000000
109000      19.000000     2     0.013869     246.627446     246.627805     246.627892
110000      20.000000     0     0.013469     246.662198     246.622354     0.000000
111000      19.000000     2     0.013058     246.627446     246.627805     246.627892
112000      20.000000     1     0.012658     246.662198     246.622354     0.000000
113000      20.000000     0     0.012259     246.662198     246.622354     0.000000
114000      19.000000     2     0.011848     246.627446     246.627805     246.627892
115000      20.000000     0     0.011450     246.662197     246.622354     0.000000
116000      19.000000     2     0.011041     246.627446     246.627805     246.627893
117000      20.000000     0     0.010645     246.662197     246.622354     0.000000
118000      19.000000     2     0.010238     246.627446     246.627805     246.627893
119000      20.000000     0     0.009844     246.662197     246.622354     0.000000
120000      19.000000     2     0.009440     246.627446     246.627805     246.627894
121000      20.000000     0     0.009048     246.662197     246.622354     0.000000
122000      19.000000     2     0.008648     246.627446     246.627805     246.627894
123000      20.000000     0     0.008260     246.662196     246.622354     0.000000
124000      19.000000     2     0.007863     246.627446     246.627805     246.627895
125000      20.000000     0     0.007478     246.662196     246.622354     0.000000
126000      19.000000     2     0.007086     246.627446     246.627805     246.627895
127000      20.000000     0     0.006706     246.662196     246.622354     0.000000
128000      19.000000     2     0.006319     246.627446     246.627805     246.627896
129000      20.000000     0     0.005944     246.662196     246.622354     0.000000
130000      19.000000     2     0.005562     246.627446     246.627805     246.627896
131000      20.000000     0     0.005192     246.662195     246.622354     0.000000
132000      19.000000     2     0.004817     246.627446     246.627805     246.627896
133000      20.000000     0     0.004454     246.662195     246.622354     0.000000
134000      19.000000     2     0.004086     246.627446     246.627805     246.627897
135000      20.000000     0     0.003729     246.662195     246.622354     0.000000
136000      19.000000     2     0.003369     246.627446     246.627805     246.627897
137000      20.000000     0     0.003019     246.662194     246.622354     0.000000
138000      19.000000     2     0.002669     246.627446     246.627805     246.627897
139000      20.000000     0     0.002328     246.662194     246.622354     0.000000
140000      19.000000     2     0.001987     246.627446     246.627805     246.627898
141000      20.000000     0     0.001655     246.662194     246.622354     0.000000
142000      19.000000     2     0.001326     246.627446     246.627805     246.627898
143000      20.000000     0     0.001005     246.662193     246.622354     0.000000
144000      19.000000     2     0.000689     246.627446     246.627805     246.627899
145000      20.000000     0     0.000379     246.662193     246.622354     0.000000
146000      19.000000     2     0.000078     246.627446     246.627805     246.627899
147000      20.000000     0     0.000000     246.662193     246.622354     0.000000
148000      19.000000     1     0.000000     246.627446     246.627805     246.627899
149000      19.000000     2     0.000000     246.627446     246.627805     246.627899
150000      20.000000     0     0.000000     246.662192     246.622354     0.000000
151000      19.000000     0     0.000000     246.627446     246.627805     246.627900
152000      18.000000     2     0.000000     246.595965     246.596765     246.602028
153000      19.000000     2     0.000000     246.627446     246.627805     246.627900
154000      20.000000     0     0.000000     246.662192     246.622354     0.000000
155000      19.000000     2     0.000000     246.627446     246.627805     246.627900
156000      20.000000     0     0.000000     246.662192     246.622354     0.000000
157000      19.000000     2     0.000000     246.627446     246.627805     246.627900
158000      20.000000     0     0.000000     246.662191     246.622354     0.000000
159000      19.000000     2     0.000000     246.627446     246.627805     246.627901
160000      20.000000     0     0.000000     246.662191     246.622354     0.000000
161000      19.000000     2     0.000000     246.627446     246.627805     246.627901
162000      20.000000     0     0.000000     246.662191     246.622354     0.000000
163000      19.000000     2     0.000000     246.627446     246.627805     246.627901
164000      20.000000     0     0.000000     246.662190     246.622354     0.000000
165000      19.000000     2     0.000000     246.627446     246.627805     246.627902
166000      20.000000     0     0.000000     246.662190     246.622354     0.000000
167000      19.000000     2     0.000001     246.627446     246.627805     246.627902
168000      20.000000     0     0.000000     246.662190     246.622354     0.000000
169000      19.000000     2     0.000038     246.627446     246.627805     246.627902
170000      20.000000     0     0.000054     246.662189     246.622354     0.000000
171000      19.000000     2     0.000155     246.627446     246.627805     246.627903
172000      20.000000     0     0.000230     246.662189     246.622354     0.000000
173000      19.000000     2     0.000402     246.627446     246.627805     246.627903
174000      20.000000     0     0.000544     246.662189     246.622354     0.000000
175000      19.000000     2     0.000799     246.627446     246.627805     246.627903
176000      20.000000     0     0.001016     246.662188     246.622354     0.000000
177000      19.000000     2     0.001363     246.627446     246.627805     246.627904
178000      20.000000     0     0.001665     246.662188     246.622354     0.000000
179000      19.000000     2     0.002116     246.627446     246.627805     246.627904
180000      20.000000     0     0.002511     246.662188     246.622354     0.000000
181000      19.000000     2     0.003077     246.627446     246.627805     246.627904
182000      20.000000     0     0.003573     246.662187     246.622354     0.000000
183000      19.000000     2     0.004262     246.627446     246.627805     246.627905
184000      20.000000     0     0.004868     246.662187     246.622354     0.000000
185000      19.000000     2     0.005688     246.627446     246.627805     246.627905
186000      20.000000     0     0.006407     246.662187     246.622354     0.000000
187000      19.000000     2     0.007362     246.627446     246.627805     246.627906
188000      20.000000     0     0.008196     246.662186     246.622354     0.000000
189000      19.000000     2     0.009286     246.627446     246.627805     246.627906
190000      20.000000     0     0.010234     246.662186     246.622354     0.000000
191000      19.000000     2     0.011454     246.627446     246.627805     246.627906
192000      20.000000     0     0.012509     246.662186     246.622354     0.000000
193000      19.000000     2     0.013850     246.627446     246.627805     246.627907
194000      20.000000     0     0.015001     246.662186     246.622354     0.000000
195000      19.000000     2     0.016446     246.627446     246.627805     246.627907
196000      20.000000     0     0.017678     246.662186     246.622354     0.000000
197000      19.000000     2     0.019208     246.627446     246.627805     246.627908
198000      20.000000     0     0.020501     246.662185     246.622354     0.000000
199000      19.000000     2     0.022092     246.627446     246.627805     246.627908
200000      20.000000     0     0.023425     246.662185     246.622354     0.000000
201000      19.000000     2     0.025051     246.627446     246.627805     246.627909
