episode,alpha_idx,action_0,action_1,action_2
0,0,0.000000,393.083895,400.003130
0,1,400.007351,400.000000,400.000598
0,2,400.003241,400.000000,400.000000
0,3,400.002602,400.000000,400.000000
0,4,400.002483,400.000000,400.000000
0,5,400.002272,400.000000,400.000000
0,6,400.002002,400.001625,400.000000
0,7,400.001243,400.000000,400.000000
0,8,400.000820,400.000000,400.000000
0,9,400.000377,400.000000,400.000000
0,10,400.000001,400.000000,400.000000
0,11,400.000000,400.000000,400.000000
0,12,400.000000,400.000000,400.000000
0,13,400.000000,400.000000,400.000000
0,14,400.000000,400.000000,400.000000
0,15,400.000000,400.000000,0.000000

40,0,0.000000,386.938025,392.916217
40,1,393.191744,388.733339,394.840922
40,2,397.086842,395.225882,397.820932
40,3,395.030769,390.928321,396.629718
40,4,392.506986,389.995818,395.315127
40,5,391.304549,387.554368,394.512252
40,6,395.693637,393.727082,397.481074
40,7,398.963569,394.777642,400.551769
40,8,396.558436,393.361642,399.157261
40,9,399.004639,397.087374,400.987556
40,10,400.612322,400.060343,400.953680
40,11,397.380375,397.151938,400.023704
40,12,399.897660,398.048863,400.349557
40,13,400.783723,400.022170,400.009700
40,14,400.030554,400.000000,400.001878
40,15,400.001949,400.000000,0.000000

80,0,0.000000,386.938025,392.916217
80,1,393.191744,388.733339,394.840922
80,2,397.086842,395.225882,397.820932
80,3,395.030769,390.928321,396.629718
80,4,392.506986,389.995818,395.315127
80,5,391.304549,387.554368,394.512252
80,6,395.693637,393.727082,397.481074
80,7,398.963569,394.777642,400.534766
80,8,396.641672,393.425107,399.761194
80,9,399.127809,398.550448,400.637581
80,10,399.443118,397.927013,400.046530
80,11,398.690687,400.370769,394.495840
80,12,400.389142,398.322652,399.486656
80,13,398.437823,400.828033,399.514047
80,14,399.778226,398.076059,398.415040
80,15,397.592100,394.858607,0.000000

120,0,0.000000,386.938025,392.916217
120,1,393.191744,388.733339,394.840922
120,2,397.086842,395.225882,397.820932
120,3,395.030769,390.928321,396.321624
120,4,392.946787,390.257624,393.315631
120,5,386.567557,388.283160,391.229721
120,6,392.783476,388.084834,393.557269
120,7,391.220012,389.077380,395.831553
120,8,396.167637,390.241001,398.510007
120,9,398.194949,397.259473,399.756431
120,10,398.446484,397.120074,399.695252
120,11,398.021544,396.223334,400.015657
120,12,396.021943,398.900700,399.306830
120,13,399.228309,395.949483,398.077033
120,14,399.537046,396.448947,397.097539
120,15,398.964995,396.545152,0.000000

160,0,0.000000,386.938025,392.916217
160,1,393.191744,388.733339,394.840922
160,2,397.086842,395.225882,397.820932
160,3,395.030769,390.928321,396.321624
160,4,392.946787,390.257624,393.315631
160,5,386.567557,388.283160,391.229721
160,6,392.783476,388.084834,393.587717
160,7,391.244930,389.148531,396.626763
160,8,396.167903,393.319427,398.677972
160,9,397.084225,398.207903,399.150329
160,10,396.709599,397.345011,398.587361
160,11,396.362851,394.650506,398.200239
160,12,396.791287,398.072177,399.160236
160,13,396.549316,397.391244,398.845747
160,14,394.837613,397.337899,396.154943
160,15,396.110581,392.956119,0.000000

200,0,0.000000,386.938025,392.916217
200,1,393.191744,388.733339,394.840922
200,2,397.086842,395.225882,397.820932
200,3,395.030769,390.928321,396.321624
200,4,392.946787,390.257624,393.315631
200,5,386.567557,388.283160,391.229721
200,6,392.783476,388.084834,393.938473
200,7,391.575320,389.960351,396.148216
200,8,392.614341,390.864432,395.821350
200,9,393.934819,393.191155,396.557823
200,10,392.884563,394.450059,397.419171
200,11,395.453908,395.129951,397.843242
200,12,396.014558,394.110636,397.329035
200,13,397.784966,396.998370,395.063846
200,14,397.673674,396.581893,394.853595
200,15,397.513437,395.077094,0.000000

240,0,0.000000,386.938025,392.916217
240,1,393.191744,388.733339,394.840922
240,2,397.086842,395.225882,397.820932
240,3,395.030769,390.928321,396.321624
240,4,392.946787,390.257624,393.315631
240,5,386.567557,388.283160,391.608213
240,6,392.514373,388.686808,392.511249
240,7,387.622779,384.943198,390.393558
240,8,386.741587,387.792595,386.394838
240,9,390.823191,390.072629,393.804366
240,10,394.315369,394.346602,395.852920
240,11,393.928399,392.264606,395.544424
240,12,395.719624,395.254155,397.029135
240,13,393.107117,394.911902,396.122701
240,14,397.009052,396.571373,395.952661
240,15,398.121770,396.578791,0.000000

280,0,0.000000,386.938025,392.916217
280,1,393.191744,388.733339,394.840922
280,2,397.086842,395.225882,397.820932
280,3,395.030769,390.928321,396.321624
280,4,392.946787,390.257624,393.315631
280,5,386.567557,388.283160,391.608213
280,6,392.514373,388.686808,392.511249
280,7,387.622779,384.943198,390.393558
280,8,386.741587,387.792595,386.394838
280,9,390.823191,390.110324,393.868749
280,10,394.264253,394.379229,396.000175
280,11,394.510995,393.722364,396.320787
280,12,395.205179,394.682080,395.972946
280,13,394.888127,392.257137,393.457795
280,14,395.803544,393.967181,392.958203
280,15,395.643738,393.729362,0.000000

320,0,0.000000,386.938025,392.916217
320,1,393.191744,388.733339,394.840922
320,2,397.086842,395.225882,397.820932
320,3,395.030769,390.928321,396.321624
320,4,392.946787,390.257624,393.302253
320,5,386.637559,388.357063,391.968787
320,6,385.296148,388.762122,391.950540
320,7,388.838067,385.490447,390.007758
320,8,383.999442,382.092447,390.178749
320,9,389.828255,388.290541,392.131216
320,10,391.945532,392.647949,394.459086
320,11,391.834887,393.235844,394.852913
320,12,394.807089,390.865734,394.046433
320,13,395.124667,394.778191,395.379928
320,14,393.854756,392.665485,395.555417
320,15,391.575381,394.465027,0.000000

360,0,0.000000,386.938025,392.916217
360,1,393.191744,388.733339,394.840922
360,2,397.086842,395.225882,397.820932
360,3,395.030769,390.928321,396.321624
360,4,392.946787,390.257624,393.302253
360,5,386.637559,388.357063,391.968787
360,6,385.296148,388.762122,391.916258
360,7,388.903021,385.573657,390.083325
360,8,385.483566,384.231820,386.749174
360,9,389.973980,389.995277,391.988508
360,10,391.608755,390.869210,393.569187
360,11,393.633744,392.315790,391.075371
360,12,392.994897,392.475536,394.222700
360,13,392.141881,393.229116,390.316891
360,14,394.324774,392.482437,392.130511
360,15,394.700943,394.126292,0.000000

400,0,0.000000,386.938025,392.916217
400,1,393.191744,388.733339,394.840922
400,2,397.086842,395.225882,397.820932
400,3,395.030769,390.928321,396.321624
400,4,392.946787,390.257624,393.302253
400,5,386.637559,388.357063,391.657381
400,6,386.580934,389.119568,389.215060
400,7,384.842731,381.789987,387.679179
400,8,380.878310,385.384562,390.047599
400,9,389.084823,387.007450,391.194158
400,10,390.747784,391.533453,392.321327
400,11,388.695008,390.315921,392.584519
400,12,392.051691,391.340561,392.515511
400,13,391.289829,392.873436,391.829731
400,14,391.215330,390.067113,394.612960
400,15,394.064486,392.138663,0.000000

440,0,0.000000,386.938025,392.916217
440,1,393.191744,388.733339,394.840922
440,2,397.086842,395.225882,397.820932
440,3,395.030769,390.928321,396.321624
440,4,392.946787,390.257624,393.302253
440,5,386.637559,388.357063,391.657381
440,6,386.580934,389.119568,389.215060
440,7,384.842731,381.789987,387.741707
440,8,381.155083,385.540368,390.530114
440,9,389.108657,388.284115,391.514436
440,10,389.622426,388.036009,391.799871
440,11,391.601545,391.283961,392.532838
440,12,388.664115,390.891855,388.890553
440,13,391.974363,389.901142,389.323742
440,14,392.371305,391.538055,391.639713
440,15,392.598657,391.281674,0.000000

480,0,0.000000,386.938025,392.916217
480,1,393.191744,388.733339,394.840922
480,2,397.086842,395.225882,397.820932
480,3,395.030769,390.928321,396.321624
480,4,392.946787,390.257624,393.302253
