t,x_kite,z_kite,x_block,z_block,theta,vtheta,windx,windy,v_block,Tension
0,50.000000,0.001000,0.000000,0.000000,0.000010,1.000202,20.000000,0.000000,0.007067,35736.203209
1000,50.015013,0.546734,0.018002,0.000000,0.010923,1.162109,20.000000,0.000000,3.766878,42979.693665
2000,50.067215,1.167599,0.080850,0.000000,0.023341,1.264636,20.000000,0.000000,8.937422,55368.685490
3000,50.167965,1.817070,0.200993,0.000000,0.036337,1.242156,20.000000,0.000000,15.041598,59391.806060
4000,50.327888,2.423029,0.386633,0.000000,0.048468,1.073145,20.000000,0.000000,21.744822,57268.471694
5000,50.526714,2.950151,0.613824,0.000000,0.059027,0.946758,20.000000,0.000000,22.944567,-34284.311430
6000,50.726716,3.416498,0.843577,0.000000,0.068374,0.823439,20.000000,0.000000,22.993995,34533.183131
7000,50.926718,3.834299,1.073953,0.000000,0.076753,0.749415,20.000000,0.000000,23.076197,22306.258542
8000,51.126721,4.213023,1.304533,0.000000,0.084353,0.669245,20.000000,0.000000,23.034491,-23199.913742
9000,51.326724,4.558995,1.535002,0.000000,0.091300,0.618910,20.000000,0.000000,23.055039,15465.506196
10000,51.526729,4.877608,1.765208,0.000000,0.097701,0.562851,20.000000,0.000000,22.986286,16683.967472
11000,51.726733,5.172643,1.995015,0.000000,0.103633,0.526372,20.000000,0.000000,22.973800,-11263.256013
12000,51.926737,5.447450,2.224370,0.000000,0.109160,0.485039,20.000000,0.000000,22.897692,12523.670397
13000,52.126741,5.704463,2.453216,0.000000,0.114333,0.457433,20.000000,0.000000,22.871799,8631.077468
14000,52.326746,5.945900,2.681542,0.000000,0.119195,0.425684,20.000000,0.000000,22.794378,9726.011178
15000,52.526751,6.171670,2.909108,0.000000,0.123745,0.397905,20.000000,0.000000,22.718707,-8590.748003
16000,52.726755,6.385132,3.136130,0.000000,0.128048,0.378654,20.000000,0.000000,22.685248,5987.019526
17000,52.926760,6.587562,3.362620,0.000000,0.132131,0.356325,20.000000,0.000000,22.613454,-6944.686224
18000,53.126765,6.779921,3.588571,0.000000,0.136014,0.340511,20.000000,0.000000,22.576618,4873.487885
19000,53.326770,6.963133,3.813996,0.000000,0.139713,0.322103,20.000000,0.000000,22.509150,5654.748123
20000,53.526774,7.137916,4.038895,0.000000,0.143244,0.308786,20.000000,0.000000,22.470949,-4027.916207
21000,53.726779,7.304970,4.263283,0.000000,0.146621,0.293314,20.000000,0.000000,22.407029,-4763.671134
22000,53.926784,7.464846,4.487163,0.000000,0.149854,0.281963,20.000000,0.000000,22.368685,-3374.761316
23000,54.126789,7.618087,4.710549,0.000000,0.152954,0.268767,20.000000,0.000000,22.308595,3974.197213
24000,54.326793,7.765124,4.933445,0.000000,0.155931,0.258913,20.000000,0.000000,22.270774,2860.172411
25000,54.526798,7.906387,5.155865,0.000000,0.158791,0.247482,20.000000,0.000000,22.213771,3382.674403
26000,54.726803,8.042219,5.377814,0.000000,0.161543,0.238831,20.000000,0.000000,22.176349,2443.308047
27000,54.926808,8.172968,5.599305,0.000000,0.164194,0.228816,20.000000,0.000000,22.121925,-2933.368691
