step,alpha,action,reward,Q[s+0],Q[s+1],Q[s+2]
0,12.000000,0,0.000000,352.912308,352.931333,353.842796
1000,10.000000,2,0.037626,352.023364,352.077592,353.424211
2000,12.000000,2,0.089319,352.912359,352.931333,353.842796
3000,14.000000,2,0.150357,353.740578,353.847618,354.112890
4000,16.000000,0,0.217392,354.145972,353.954676,353.949877
5000,14.000000,2,0.229481,353.740578,353.847618,354.112908
6000,16.000000,0,0.229906,354.145991,353.954676,353.949877
7000,14.000000,2,0.230740,353.740578,353.847618,354.112934
8000,16.000000,0,0.230369,354.146010,353.954676,353.949877
9000,14.000000,2,0.230535,353.740578,353.847618,354.112961
10000,16.000000,0,0.229847,354.146030,353.954676,353.949877
11000,14.000000,2,0.229750,353.740578,353.847618,354.112987
12000,16.000000,0,0.228965,354.146050,353.954676,353.949877
13000,14.000000,2,0.228709,353.740578,353.847618,354.113013
14000,16.000000,1,0.227934,354.146069,353.954676,353.949877
15000,16.000000,0,0.227196,354.146069,353.954718,353.949877
16000,14.000000,2,0.226847,353.740578,353.847618,354.113020
17000,16.000000,0,0.226142,354.146089,353.954718,353.949877
18000,14.000000,2,0.225761,353.740578,353.847618,354.113046
19000,16.000000,0,0.225086,354.146108,353.954718,353.949877
20000,14.000000,2,0.224714,353.740578,353.847618,354.113072
21000,16.000000,0,0.224076,354.146127,353.954718,353.949877
22000,14.000000,2,0.223691,353.740578,353.847618,354.113098
23000,16.000000,0,0.223082,354.146146,353.954718,353.949877
24000,14.000000,2,0.222705,353.740578,353.847618,354.113124
25000,16.000000,0,0.222135,354.146165,353.954718,353.949877
26000,14.000000,2,0.221761,353.740578,353.847618,354.113149
27000,16.000000,0,0.221223,354.146184,353.954718,353.949877
28000,14.000000,2,0.220855,353.740578,353.847618,354.113175
29000,16.000000,0,0.220339,354.146203,353.954718,353.949877
30000,14.000000,2,0.219978,353.740578,353.847618,354.113200
31000,16.000000,0,0.219488,354.146222,353.954718,353.949877
32000,14.000000,2,0.219135,353.740578,353.847618,354.113225
33000,16.000000,0,0.218667,354.146241,353.954718,353.949877
34000,14.000000,2,0.218318,353.740578,353.847618,354.113251
35000,16.000000,0,0.217868,354.146259,353.954718,353.949877
36000,14.000000,2,0.217526,353.740578,353.847618,354.113276
37000,16.000000,0,0.217094,354.146278,353.954718,353.949877
38000,14.000000,2,0.216757,353.740578,353.847618,354.113301
39000,16.000000,0,0.216341,354.146296,353.954718,353.949877
40000,14.000000,2,0.216009,353.740578,353.847618,354.113326
41000,16.000000,0,0.215608,354.146314,353.954718,353.949877
42000,14.000000,2,0.215280,353.740578,353.847618,354.113351
43000,16.000000,0,0.214892,354.146333,353.954718,353.949877
44000,14.000000,2,0.214568,353.740578,353.847618,354.113376
45000,16.000000,0,0.214191,354.146351,353.954718,353.949877
46000,14.000000,2,0.213873,353.740578,353.847618,354.113400
47000,16.000000,0,0.213506,354.146369,353.954718,353.949877
48000,14.000000,2,0.213191,353.740578,353.847618,354.113425
49000,16.000000,0,0.212834,354.146387,353.954718,353.949877
