episode,epsilon,Alpha,steps,return
0,0.900000,0.010000,152125,11.045246
1,0.900000,0.010000,300052,13.321087
2,0.900000,0.010000,2000001,56.778682
3,0.900000,0.010000,490130,145.523581
4,0.900000,0.010000,379111,85.340527
5,0.900000,0.010000,387616,74.483517
6,0.900000,0.010000,384023,69.568289
7,0.900000,0.010000,196811,11.024273
8,0.900000,0.010000,150258,11.063165
9,0.900000,0.010000,527894,139.783422
10,0.900000,0.010000,1104040,260.515343
11,0.900000,0.010000,1013813,237.037011
12,0.900000,0.010000,1025605,243.994190
13,0.900000,0.010000,861718,209.005405
14,0.900000,0.010000,1016609,245.947433
15,0.900000,0.010000,1002909,231.398791
16,0.900000,0.010000,823803,184.263504
17,0.900000,0.010000,850056,193.972698
18,0.900000,0.010000,1011735,240.474728
19,0.900000,0.010000,855453,196.788994
20,0.900000,0.010000,764719,169.679905
21,0.900000,0.010000,756511,168.743272
22,0.900000,0.010000,870128,197.428173
23,0.900000,0.010000,800848,178.031887
24,0.900000,0.010000,872899,198.169366
25,0.900000,0.010000,904437,199.832368
26,0.900000,0.010000,546157,116.199148
27,0.900000,0.010000,2000001,356.033459
28,0.900000,0.010000,2000001,357.103069
29,0.900000,0.010000,2000001,358.283626
30,0.900000,0.010000,2000001,355.944043
31,0.900000,0.010000,525221,111.101051
32,0.900000,0.010000,2000001,356.848909
33,0.900000,0.010000,2000001,357.185782
34,0.900000,0.010000,2000001,358.690557
35,0.900000,0.010000,2000001,357.226737
36,0.900000,0.010000,2000001,360.365155
37,0.900000,0.010000,2000001,358.637868
38,0.900000,0.010000,2000001,358.657233
39,0.900000,0.010000,2000001,358.711774
40,0.900000,0.010000,2000001,362.869070
41,0.900000,0.010000,2000001,363.201103
42,0.900000,0.010000,2000001,363.692237
43,0.900000,0.010000,2000001,363.189781
44,0.900000,0.010000,2000001,362.697432
45,0.900000,0.010000,2000001,356.510006
46,0.900000,0.010000,2000001,363.017371
47,0.900000,0.010000,2000001,362.669834
48,0.900000,0.010000,2000001,362.574946
49,0.900000,0.010000,2000001,363.207445
50,0.900000,0.010000,2000001,357.520363
51,0.900000,0.010000,2000001,357.980529
52,0.900000,0.010000,2000001,360.285513
53,0.900000,0.010000,2000001,363.565706
54,0.900000,0.010000,2000001,362.595772
55,0.900000,0.010000,2000001,360.354561
56,0.900000,0.010000,2000001,363.196666
57,0.900000,0.010000,2000001,363.672765
58,0.900000,0.010000,2000001,363.655134
59,0.900000,0.010000,2000001,363.230071
60,0.900000,0.010000,2000001,363.051944
61,0.900000,0.010000,2000001,349.901838
62,0.900000,0.010000,2000001,356.928686
63,0.900000,0.010000,2000001,362.743989
64,0.900000,0.010000,2000001,363.177900
65,0.900000,0.010000,2000001,356.766880
66,0.900000,0.010000,2000001,350.083452
67,0.900000,0.010000,2000001,356.837395
68,0.900000,0.010000,2000001,350.108151
69,0.900000,0.010000,2000001,356.840137
70,0.900000,0.010000,2000001,362.509812
71,0.900000,0.010000,2000001,363.170597
72,0.900000,0.010000,2000001,356.705131
73,0.900000,0.010000,2000001,350.029941
74,0.900000,0.010000,2000001,356.649291
75,0.900000,0.010000,2000001,349.980560
76,0.900000,0.010000,2000001,363.135255
77,0.900000,0.010000,2000001,362.736119
78,0.900000,0.010000,2000001,363.170099
79,0.900000,0.010000,2000001,361.565261
80,0.900000,0.010000,2000001,357.248171
81,0.900000,0.010000,2000001,357.216616
82,0.900000,0.010000,2000001,358.713263
83,0.900000,0.010000,2000001,363.878465
