episode,alpha_idx,action_0,action_1,action_2
0,0,0.000000,393.083889,400.003130
0,1,400.007351,400.000000,400.000598
0,2,400.003241,400.000000,400.000000
0,3,400.002602,400.000000,400.000000
0,4,400.002483,400.000000,400.000000
0,5,400.002272,400.000000,400.000000
0,6,400.002002,400.001625,400.000000
0,7,400.001243,400.000000,400.000000
0,8,400.000820,400.000000,400.000000
0,9,400.000377,400.000000,400.000000
0,10,400.000001,400.000000,400.000000
0,11,400.000000,400.000000,400.000000
0,12,400.000000,400.000000,400.000000
0,13,400.000000,400.000000,400.000000
0,14,400.000000,400.000000,400.000000
0,15,400.000000,400.000000,0.000000

40,0,0.000000,386.938015,392.916216
40,1,393.191742,388.733337,394.840926
40,2,397.086854,395.225905,397.820888
40,3,395.030721,390.928282,396.629664
40,4,392.506932,389.995754,395.315073
40,5,391.304491,387.554303,394.512224
40,6,395.693606,393.727036,397.481059
40,7,398.963552,394.777612,400.551732
40,8,396.558411,393.361594,399.157191
40,9,399.004577,397.087293,400.987457
40,10,400.612246,400.060242,400.953537
40,11,397.380230,397.151836,400.023622
40,12,399.897563,398.048755,400.349540
40,13,400.783681,400.022169,400.009700
40,14,400.030552,400.000000,400.001878
40,15,400.001949,400.000000,0.000000

80,0,0.000000,386.938015,392.916216
80,1,393.191742,388.733337,394.840926
80,2,397.086854,395.225905,397.820888
80,3,395.030721,390.928282,396.629664
80,4,392.506932,389.995754,395.315073
80,5,391.304491,387.554303,394.512224
80,6,395.693606,393.727036,397.481059
80,7,398.963552,394.777612,400.534692
80,8,396.641646,393.425037,399.758250
80,9,399.127222,398.572308,400.632270
80,10,399.435914,397.923080,400.044370
80,11,398.689941,400.367649,394.494290
80,12,400.386426,398.322252,399.487157
80,13,398.437773,400.828536,399.514621
80,14,399.778830,398.076587,398.415462
80,15,397.592546,394.858974,0.000000

120,0,0.000000,386.938015,392.916216
120,1,393.191742,388.733337,394.840926
120,2,397.086854,395.225905,397.820888
120,3,395.030721,390.928282,396.321569
120,4,392.946732,390.257560,393.315565
120,5,386.567491,388.283096,391.229674
120,6,392.783433,388.084756,393.557220
120,7,391.219975,389.077279,395.831246
120,8,396.167488,390.240414,398.512106
120,9,398.199620,397.265727,399.754449
120,10,398.446321,397.117149,399.691345
120,11,398.017985,396.219210,400.011177
120,12,396.017409,398.898605,399.306727
120,13,399.234342,395.949555,398.077385
120,14,399.537272,396.449397,397.097994
120,15,398.965464,396.545594,0.000000

160,0,0.000000,386.938015,392.916216
160,1,393.191742,388.733337,394.840926
160,2,397.086854,395.225905,397.820888
160,3,395.030721,390.928282,396.321569
160,4,392.946732,390.257560,393.315565
