t,x_kite,z_kite,x_block,z_block,theta,vtheta,windx,windy,v_block,Tension
0,50.000000,0.001000,0.000000,0.000000,0.000020,1.000425,20.000000,0.000000,0.007067,35736.203275
1000,50.019242,0.550958,0.022278,0.000000,0.011019,1.186142,20.000000,0.000000,4.670624,53197.848651
2000,50.091717,1.171424,0.105441,0.000000,0.023431,1.263553,20.000000,0.000000,12.052873,75258.121985
3000,50.232639,1.781589,0.264389,0.000000,0.035639,1.151514,20.000000,0.000000,19.460465,65412.691499
4000,50.426458,2.313072,0.479989,0.000000,0.046278,0.985387,20.000000,0.000000,22.281806,44007.375061
5000,50.626458,2.773655,0.703449,0.000000,0.055502,0.864619,20.000000,0.000000,22.400621,33794.038861
6000,50.826458,3.180678,0.927728,0.000000,0.063657,0.770042,20.000000,0.000000,22.450146,26736.823849
7000,51.026459,3.545184,1.152301,0.000000,0.070963,0.693960,20.000000,0.000000,22.461170,21659.468702
8000,51.226460,3.875127,1.376852,0.000000,0.077580,0.631450,20.000000,0.000000,22.447354,17888.155393
9000,51.426460,4.176416,1.601190,0.000000,0.083626,0.579186,20.000000,0.000000,22.417414,-14977.066909
10000,51.626461,4.453558,1.825198,0.000000,0.089189,0.534753,20.000000,0.000000,22.382279,12765.371463
11000,51.826463,4.710071,2.048805,0.000000,0.094341,0.496584,20.000000,0.000000,22.339072,10981.058836
12000,52.026463,4.948749,2.271967,0.000000,0.099137,0.463402,20.000000,0.000000,22.292420,-9555.175600
13000,52.226464,5.171836,2.494662,0.000000,0.103622,0.434210,20.000000,0.000000,22.245066,-8379.326474
14000,52.426464,5.381155,2.716876,0.000000,0.107832,0.408314,20.000000,0.000000,22.196822,-7400.785415
15000,52.626465,5.578218,2.938604,0.000000,0.111797,0.385175,20.000000,0.000000,22.148012,-6577.736664
16000,52.826465,5.764290,3.159847,0.000000,0.115543,0.364336,20.000000,0.000000,22.100129,-5878.012273
17000,53.026466,5.940444,3.380609,0.000000,0.119090,0.345485,20.000000,0.000000,22.051922,-5278.896934
18000,53.226466,6.107593,3.600895,0.000000,0.122458,0.328294,20.000000,0.000000,22.005602,4745.876920
19000,53.426466,6.266525,3.820714,0.000000,0.125661,0.312587,20.000000,0.000000,21.958992,4297.392732
20000,53.626467,6.417923,4.040075,0.000000,0.128714,0.298150,20.000000,0.000000,21.913119,-3916.501542
21000,53.826467,6.562379,4.258986,0.000000,0.131627,0.284810,20.000000,0.000000,21.868673,-3569.234929
22000,54.026467,6.700418,4.477457,0.000000,0.134413,0.272438,20.000000,0.000000,21.825427,-3261.597191
23000,54.226467,6.832498,4.695498,0.000000,0.137079,0.260942,20.000000,0.000000,21.782576,-2988.179783
24000,54.426468,6.959028,4.913117,0.000000,0.139634,0.250195,20.000000,0.000000,21.741278,2739.475277
25000,54.626468,7.080371,5.130323,0.000000,0.142085,0.240149,20.000000,0.000000,21.700214,-2524.092186
26000,54.826468,7.196852,5.347126,0.000000,0.144439,0.230705,20.000000,0.000000,21.660392,2325.867245
27000,55.026468,7.308763,5.563532,0.000000,0.146701,0.221819,20.000000,0.000000,21.621162,-2147.473490
28000,55.226468,7.416366,5.779552,0.000000,0.148877,0.213424,20.000000,0.000000,21.582889,1988.122940
29000,55.426468,7.519899,5.995191,0.000000,0.150971,0.205490,20.000000,0.000000,21.545043,-1837.631696
30000,55.626468,7.619578,6.210458,0.000000,0.152988,0.197952,20.000000,0.000000,21.508307,1708.812659
31000,55.826468,7.715598,6.425359,0.000000,0.154931,0.190790,20.000000,0.000000,21.472170,1586.872038
32000,56.026468,7.808139,6.639901,0.000000,0.156805,0.183971,20.000000,0.000000,21.436551,1475.118677
33000,56.226468,7.897363,6.854091,0.000000,0.158611,0.177469,20.000000,0.000000,21.401383,-1362.227945
34000,56.426468,7.983421,7.067933,0.000000,0.160355,0.171242,20.000000,0.000000,21.367145,1277.761971
35000,56.626468,8.066450,7.281434,0.000000,0.162037,0.165287,20.000000,0.000000,21.333182,-1177.691984
36000,56.826468,8.146578,7.494599,0.000000,0.163661,0.159567,20.000000,0.000000,21.299927,1109.628691
37000,57.026468,8.223920,7.707434,0.000000,0.165229,0.154076,20.000000,0.000000,21.267043,-1019.723128
38000,57.226468,8.298586,7.919942,0.000000,0.166743,0.148790,20.000000,0.000000,21.234674,-949.171220
39000,57.426468,8.370675,8.132130,0.000000,0.168206,0.143696,20.000000,0.000000,21.202730,-883.569076
40000,57.626468,8.440279,8.344000,0.000000,0.169618,0.138777,20.000000,0.000000,21.171310,840.593394
