step,alpha,action,reward,Q[s+0],Q[s+1],Q[s+2]
0,12.000000,2,0.000000,350.995254,351.484672,352.450432
1000,14.000000,2,0.046653,352.288078,352.306098,352.520635
2000,16.000000,2,0.120454,352.388109,352.382457,352.755652
3000,18.000000,2,0.194540,352.682935,352.676497,352.702931
4000,19.000000,1,0.222775,352.693859,352.867730,352.682996
5000,19.000000,1,0.223973,352.693859,352.867752,352.682996
6000,19.000000,1,0.224475,352.693859,352.867775,352.682996
7000,19.000000,1,0.224590,352.693859,352.867797,352.682996
8000,19.000000,1,0.224456,352.693859,352.867820,352.682996
9000,19.000000,1,0.224190,352.693859,352.867842,352.682996
10000,19.000000,1,0.223810,352.693859,352.867864,352.682996
11000,19.000000,1,0.223380,352.693859,352.867887,352.682996
12000,19.000000,1,0.222934,352.693859,352.867909,352.682996
13000,19.000000,1,0.222460,352.693859,352.867931,352.682996
14000,19.000000,1,0.221976,352.693859,352.867954,352.682996
15000,19.000000,1,0.221487,352.693859,352.867976,352.682996
16000,19.000000,1,0.221008,352.693859,352.867998,352.682996
17000,19.000000,1,0.220525,352.693859,352.868020,352.682996
18000,19.000000,1,0.220051,352.693859,352.868042,352.682996
19000,19.000000,1,0.219586,352.693859,352.868064,352.682996
20000,19.000000,1,0.219136,352.693859,352.868086,352.682996
21000,19.000000,1,0.218691,352.693859,352.868108,352.682996
22000,19.000000,1,0.218258,352.693859,352.868130,352.682996
23000,19.000000,1,0.217829,352.693859,352.868152,352.682996
24000,19.000000,1,0.217410,352.693859,352.868174,352.682996
25000,19.000000,1,0.217005,352.693859,352.868195,352.682996
26000,19.000000,1,0.216602,352.693859,352.868217,352.682996
27000,19.000000,1,0.216214,352.693859,352.868239,352.682996
28000,19.000000,1,0.215827,352.693859,352.868260,352.682996
29000,19.000000,1,0.215453,352.693859,352.868282,352.682996
30000,19.000000,1,0.215082,352.693859,352.868303,352.682996
31000,19.000000,1,0.214720,352.693859,352.868325,352.682996
32000,19.000000,1,0.214364,352.693859,352.868346,352.682996
33000,19.000000,1,0.214016,352.693859,352.868368,352.682996
34000,19.000000,1,0.213671,352.693859,352.868389,352.682996
35000,19.000000,1,0.213333,352.693859,352.868411,352.682996
36000,19.000000,1,0.212998,352.693859,352.868432,352.682996
37000,19.000000,1,0.212672,352.693859,352.868453,352.682996
38000,19.000000,1,0.212348,352.693859,352.868475,352.682996
