episode,epsilon,Alpha,steps,return
0,0.900000,0.010000,152127,11.044659
1,0.900000,0.010000,300061,13.320379
2,0.900000,0.010000,2000001,56.782744
3,0.900000,0.010000,490147,145.527127
4,0.900000,0.010000,379107,85.341905
5,0.900000,0.010000,387612,74.484492
6,0.900000,0.010000,384019,69.569218
7,0.900000,0.010000,196815,11.023568
8,0.900000,0.010000,150260,11.062629
9,0.900000,0.010000,527875,139.783629
10,0.900000,0.010000,1104048,260.510604
11,0.900000,0.010000,1013820,237.032837
12,0.900000,0.010000,1025626,243.989976
13,0.900000,0.010000,861761,208.990831
14,0.900000,0.010000,1016643,245.943790
15,0.900000,0.010000,1002923,231.394486
16,0.900000,0.010000,823807,184.260017
17,0.900000,0.010000,850060,193.969081
18,0.900000,0.010000,1011747,240.470437
19,0.900000,0.010000,855461,196.785442
20,0.900000,0.010000,764721,169.676630
21,0.900000,0.010000,756514,168.740032
22,0.900000,0.010000,870132,197.424351
23,0.900000,0.010000,800852,178.028468
24,0.900000,0.010000,872904,198.165751
25,0.900000,0.010000,904439,199.828495
26,0.900000,0.010000,546157,116.196593
27,0.900000,0.010000,2000001,356.025991
28,0.900000,0.010000,2000001,357.094640
29,0.900000,0.010000,2000001,358.275131
30,0.900000,0.010000,2000001,355.937086
31,0.900000,0.010000,525221,111.098652
32,0.900000,0.010000,2000001,356.840577
33,0.900000,0.010000,2000001,357.173687
34,0.900000,0.010000,2000001,358.679789
35,0.900000,0.010000,2000001,357.214984
36,0.900000,0.010000,2000001,360.353279
37,0.900000,0.010000,2000001,358.627162
38,0.900000,0.010000,2000001,358.646616
39,0.900000,0.010000,2000001,358.701013
40,0.900000,0.010000,2000001,362.857943
41,0.900000,0.010000,2000001,363.189244
42,0.900000,0.010000,2000001,363.680590
43,0.900000,0.010000,2000001,363.177915
44,0.900000,0.010000,2000001,362.685980
45,0.900000,0.010000,2000001,356.498924
46,0.900000,0.010000,2000001,363.005570
47,0.900000,0.010000,2000001,362.658408
48,0.900000,0.010000,2000001,362.563496
49,0.900000,0.010000,2000001,363.195594
50,0.900000,0.010000,2000001,357.510081
51,0.900000,0.010000,2000001,357.971466
52,0.900000,0.010000,2000001,360.275462
53,0.900000,0.010000,2000001,363.604882
54,0.900000,0.010000,2000001,362.584486
55,0.900000,0.010000,2000001,360.342725
56,0.900000,0.010000,2000001,363.184803
57,0.900000,0.010000,2000001,363.661143
58,0.900000,0.010000,2000001,363.643507
59,0.900000,0.010000,2000001,363.218242
60,0.900000,0.010000,2000001,363.040068
61,0.900000,0.010000,2000001,349.891147
62,0.900000,0.010000,2000001,356.917613
63,0.900000,0.010000,2000001,362.732549
64,0.900000,0.010000,2000001,363.166075
65,0.900000,0.010000,2000001,356.755796
66,0.900000,0.010000,2000001,350.072784
67,0.900000,0.010000,2000001,356.826274
68,0.900000,0.010000,2000001,350.097451
69,0.900000,0.010000,2000001,356.829057
70,0.900000,0.010000,2000001,362.498351
71,0.900000,0.010000,2000001,363.158730
72,0.900000,0.010000,2000001,356.694033
73,0.900000,0.010000,2000001,350.019283
74,0.900000,0.010000,2000001,356.638198
75,0.900000,0.010000,2000001,349.969910
76,0.900000,0.010000,2000001,363.123444
77,0.900000,0.010000,2000001,362.724752
78,0.900000,0.010000,2000001,363.158155
79,0.900000,0.010000,2000001,361.554068
80,0.900000,0.010000,2000001,357.236238
81,0.900000,0.010000,2000001,357.204735
82,0.900000,0.010000,2000001,358.702005
83,0.900000,0.010000,2000001,363.862460
84,0.900000,0.010000,2000001,363.183545
85,0.900000,0.010000,2000001,363.163317
86,0.900000,0.010000,2000001,363.650835
87,0.900000,0.010000,2000001,363.050536
88,0.900000,0.010000,2000001,363.194057
89,0.900000,0.010000,2000001,363.635645
90,0.900000,0.010000,2000001,362.515509
91,0.900000,0.010000,2000001,363.033451
92,0.900000,0.010000,2000001,356.793873
93,0.900000,0.010000,2000001,349.923612
94,0.900000,0.010000,2000001,356.800025
95,0.900000,0.010000,2000001,362.580758
96,0.900000,0.010000,2000001,363.165823
97,0.900000,0.010000,2000001,360.127365
98,0.900000,0.010000,2000001,357.578522
99,0.900000,0.010000,2000001,356.010075
100,0.900000,0.010000,571216,121.824300
101,0.900000,0.010000,530401,113.758693
102,0.900000,0.010000,597197,131.563274
103,0.900000,0.010000,554729,118.499289
104,0.900000,0.010000,790323,174.982094
105,0.900000,0.010000,631134,136.693118
106,0.900000,0.010000,619960,133.341097
107,0.900000,0.010000,584347,124.274995
108,0.900000,0.010000,2000001,357.773663
109,0.900000,0.010000,2000001,357.882499
110,0.900000,0.010000,2000001,358.755691
111,0.900000,0.010000,2000001,357.311997
112,0.900000,0.010000,2000001,357.119871
113,0.900000,0.010000,2000001,358.591265
114,0.900000,0.010000,2000001,362.211861
115,0.900000,0.010000,2000001,362.764143
116,0.900000,0.010000,2000001,360.336616
117,0.900000,0.010000,2000001,362.804287
118,0.900000,0.010000,2000001,363.213752
119,0.900000,0.010000,2000001,363.653065
120,0.900000,0.010000,2000001,360.026029
121,0.900000,0.010000,2000001,363.169027
122,0.900000,0.010000,2000001,362.769297
123,0.900000,0.010000,2000001,360.343248
124,0.900000,0.010000,2000001,363.210407
125,0.900000,0.010000,2000001,362.779091
126,0.900000,0.010000,2000001,356.688922
127,0.900000,0.010000,2000001,356.404273
128,0.900000,0.010000,2000001,350.109622
129,0.900000,0.010000,2000001,358.414569
130,0.900000,0.010000,2000001,357.453778
131,0.900000,0.010000,2000001,357.290831
132,0.900000,0.010000,2000001,357.222008
133,0.900000,0.010000,2000001,358.632357
134,0.900000,0.010000,2000001,357.289722
135,0.900000,0.010000,2000001,357.336784
136,0.900000,0.010000,2000001,356.211742
137,0.900000,0.010000,2000001,357.633663
138,0.900000,0.010000,2000001,357.129433
139,0.900000,0.010000,2000001,357.235317
140,0.900000,0.010000,2000001,358.580588
141,0.900000,0.010000,2000001,357.129067
142,0.900000,0.010000,2000001,357.314146
143,0.900000,0.010000,2000001,359.542134
144,0.900000,0.010000,2000001,359.231458
145,0.900000,0.010000,2000001,357.263449
146,0.900000,0.010000,2000001,360.284611
147,0.900000,0.010000,2000001,358.697232
148,0.900000,0.010000,2000001,357.211243
149,0.900000,0.010000,2000001,360.318556
150,0.900000,0.010000,2000001,357.649878
151,0.900000,0.010000,2000001,357.358061
152,0.900000,0.010000,2000001,358.578293
153,0.900000,0.010000,2000001,361.775798
154,0.900000,0.010000,2000001,362.436581
155,0.900000,0.010000,2000001,362.844303
156,0.900000,0.010000,2000001,363.021517
157,0.900000,0.010000,2000001,364.335662
158,0.900000,0.010000,2000001,361.788746
159,0.900000,0.010000,2000001,363.203909
160,0.900000,0.010000,2000001,363.126063
161,0.900000,0.010000,2000001,362.464281
162,0.900000,0.010000,2000001,363.142089
163,0.900000,0.010000,2000001,356.614266
164,0.900000,0.010000,2000001,350.109234
165,0.900000,0.010000,2000001,358.059376
166,0.900000,0.010000,2000001,356.509866
167,0.900000,0.010000,2000001,363.223521
168,0.900000,0.010000,2000001,363.115606
169,0.900000,0.010000,2000001,362.820524
170,0.900000,0.010000,2000001,362.767800
171,0.900000,0.010000,2000001,363.210449
172,0.900000,0.010000,2000001,360.262779
173,0.900000,0.010000,2000001,358.629392
174,0.900000,0.010000,2000001,357.309213
175,0.900000,0.010000,2000001,360.308051
176,0.900000,0.010000,2000001,357.495660
177,0.900000,0.010000,2000001,357.376005
178,0.900000,0.010000,2000001,357.119568
179,0.900000,0.010000,2000001,357.163310
180,0.900000,0.010000,2000001,357.088934
181,0.900000,0.010000,484327,101.691587
182,0.900000,0.010000,2000001,358.394646
183,0.900000,0.010000,2000001,357.064207
184,0.900000,0.010000,2000001,357.091430
185,0.900000,0.010000,2000001,357.382850
186,0.900000,0.010000,2000001,357.412438
187,0.900000,0.010000,2000001,356.463834
188,0.900000,0.010000,2000001,356.261254
189,0.900000,0.010000,587262,125.427299
190,0.900000,0.010000,528735,111.751258
191,0.900000,0.010000,2000001,358.515406
192,0.900000,0.010000,2000001,356.526477
193,0.900000,0.010000,2000001,357.306259
194,0.900000,0.010000,2000001,357.126450
195,0.900000,0.010000,2000001,357.252549
196,0.900000,0.010000,2000001,357.094391
197,0.900000,0.010000,2000001,357.695587
198,0.900000,0.010000,2000001,357.152971
199,0.900000,0.010000,2000001,360.358772
200,0.900000,0.010000,2000001,362.709179
201,0.900000,0.010000,2000001,363.200783
202,0.900000,0.010000,2000001,363.590766
203,0.900000,0.010000,2000001,363.080327
204,0.900000,0.010000,2000001,362.443674
205,0.900000,0.010000,2000001,363.006831
206,0.900000,0.010000,2000001,360.273166
