t         x_kite          z_kite         x_block          z_block          wind_x       wind_y       v_block_x
0       50.000000       0.001000      0.000000      0.000000      0.000500      0.000000     0.000020
1000       50.001212       0.476992      0.003487      0.000000      0.238496      0.000170     0.668300
2000       50.004683       0.903488      0.012847      0.000000      0.451743      0.001158     1.176762
3000       50.010166       1.281852      0.026600      0.000000      0.640924      0.003305     1.558181
4000       50.017439       1.621325      0.043733      0.000000      0.810657      0.006683     1.859351
5000       50.026331       1.929938      0.063591      0.000000      0.964959      0.011264     2.104447
6000       50.036699       2.212542      0.085677      0.000000      1.106255      0.016959     2.306173
7000       50.048424       2.472921      0.109615      0.000000      1.236437      0.023659     2.476176
8000       50.061402       2.714087      0.135119      0.000000      1.357011      0.031252     2.620480
9000       50.075543       2.938470      0.161964      0.000000      1.469192      0.039629     2.745479
10000       50.090768       3.148058      0.189969      0.000000      1.573974      0.048686     2.854193
11000       50.107008       3.344502      0.218990      0.000000      1.672182      0.058332     2.949084
12000       50.124200       3.529182      0.248907      0.000000      1.764507      0.068480     3.033344
13000       50.142287       3.702622      0.279570      0.000000      1.851210      0.079014     3.097951
14000       50.161215       3.865924      0.310893      0.000000      1.932843      0.089862     3.165063
15000       50.180938       4.020588      0.342851      0.000000      2.010155      0.101002     3.225541
16000       50.201413       4.167341      0.375383      0.000000      2.083510      0.112380     3.279984
17000       50.222604       4.306819      0.408436      0.000000      2.153227      0.123946     3.329606
18000       50.244475       4.439579      0.441964      0.000000      2.219584      0.135659     3.375314
19000       50.266994       4.566113      0.475924      0.000000      2.282826      0.147477     3.416675
20000       50.290131       4.686856      0.510282      0.000000      2.343171      0.159367     3.454491
21000       50.313857       4.802195      0.545002      0.000000      2.400813      0.171295     3.489367
22000       50.338147       4.912477      0.580057      0.000000      2.455926      0.183234     3.521340
23000       50.362976       5.018013      0.615418      0.000000      2.508665      0.195156     3.550473
24000       50.388322       5.119083      0.651062      0.000000      2.559169      0.207039     3.577897
25000       50.414162       5.215940      0.686966      0.000000      2.607566      0.218861     3.602805
26000       50.440475       5.308729      0.723100      0.000000      2.653928      0.230591     3.623918
27000       50.467243       5.397665      0.759444      0.000000      2.698363      0.242211     3.644784
28000       50.494445       5.482883      0.795975      0.000000      2.740938      0.253695     3.661015
29000       50.522065       5.564569      0.832674      0.000000      2.781746      0.265031     3.678626
30000       50.550084       5.643021      0.869541      0.000000      2.820936      0.276222     3.694719
31000       50.578487       5.718384      0.906563      0.000000      2.858581      0.287255     3.709376
32000       50.607260       5.790789      0.943724      0.000000      2.894746      0.298121     3.722655
33000       50.636387       5.860361      0.981012      0.000000      2.929494      0.308807     3.734752
34000       50.665854       5.927211      1.018415      0.000000      2.962880      0.319304     3.745654
35000       50.695649       5.991444      1.055921      0.000000      2.994957      0.329604     3.755340
36000       50.725758       6.053158      1.093518      0.000000      3.025774      0.339698     3.763912
37000       50.756169       6.112443      1.131195      0.000000      3.055376      0.349578     3.771428
38000       50.786871       6.169381      1.168943      0.000000      3.083804      0.359238     3.777918
39000       50.817851       6.224050      1.206751      0.000000      3.111097      0.368671     3.783477
40000       50.849098       6.276523      1.244610      0.000000      3.137291      0.377870     3.788068
41000       50.880601       6.326869      1.282509      0.000000      3.162421      0.386832     3.791253
42000       50.912330       6.375170      1.320424      0.000000      3.186529      0.395553     3.791088
43000       50.944246       6.421519      1.358320      0.000000      3.209659      0.404036     3.787646
44000       50.976312       6.466000      1.396166      0.000000      3.231856      0.412283     3.781220
45000       51.008494       6.508698      1.433935      0.000000      3.253161      0.420297     3.772074
46000       51.040759       6.549687      1.471600      0.000000      3.273611      0.428079     3.760449
47000       51.073080       6.589040      1.509136      0.000000      3.293243      0.435633     3.746560
48000       51.105430       6.626823      1.546524      0.000000      3.312090      0.442961     3.730603
49000       51.137784       6.663099      1.583742      0.000000      3.330184      0.450066     3.712757
50000       51.170120       6.697926      1.620773      0.000000      3.347552      0.456951     3.693183
51000       51.202417       6.731356      1.657600      0.000000      3.364223      0.463619     3.672025
52000       51.234655       6.763442      1.694208      0.000000      3.380221      0.470071     3.649418
53000       51.266818       6.794227      1.730584      0.000000      3.395569      0.476311     3.625481
54000       51.298889       6.823756      1.766714      0.000000      3.410288      0.482341     3.600326
55000       51.330853       6.852067      1.802586      0.000000      3.424400      0.488162     3.574051
56000       51.362697       6.879196      1.838191      0.000000      3.437920      0.493777     3.546749
57000       51.394408       6.905177      1.873518      0.000000      3.450866      0.499187     3.518504
58000       51.425975       6.930039      1.908558      0.000000      3.463253      0.504394     3.489392
59000       51.457387       6.953809      1.943303      0.000000      3.475094      0.509399     3.459485
60000       51.488635       6.976513      1.977745      0.000000      3.486403      0.514202     3.428849
61000       51.519711       6.998172      2.011877      0.000000      3.497189      0.518806     3.397543
62000       51.550606       7.018806      2.045693      0.000000      3.507463      0.523209     3.365623
63000       51.581313       7.038433      2.079188      0.000000      3.517234      0.527413     3.333144
64000       51.611827       7.057068      2.112354      0.000000      3.526509      0.531418     3.300152
65000       51.642141       7.074725      2.145189      0.000000      3.535296      0.535223     3.266695
66000       51.672250       7.091416      2.177686      0.000000      3.543600      0.538829     3.232815
67000       51.702150       7.107151      2.209843      0.000000      3.551426      0.542234     3.198554
68000       51.731837       7.121938      2.241656      0.000000      3.558779      0.545439     3.163949
69000       51.761307       7.135786      2.273121      0.000000      3.565662      0.548443     3.129039
70000       51.790558       7.148700      2.304235      0.000000      3.572079      0.551244     3.093856
71000       51.819586       7.160686      2.334997      0.000000      3.578032      0.553843     3.058433
72000       51.848390       7.171750      2.365403      0.000000      3.583525      0.556239     3.022800
73000       51.876967       7.181897      2.395452      0.000000      3.588560      0.558431     2.986982
74000       51.905316       7.191134      2.425142      0.000000      3.593140      0.560420     2.951003
75000       51.933433       7.199466      2.454471      0.000000      3.597268      0.562205     2.914880
76000       51.961318       7.206902      2.483439      0.000000      3.600949      0.563787     2.878627
77000       51.988968       7.213451      2.512043      0.000000      3.604186      0.565167     2.842253
78000       52.016381       7.219124      2.540283      0.000000      3.606986      0.566347     2.805760
79000       52.043552       7.223940      2.568158      0.000000      3.609358      0.567331     2.769172
80000       52.070480       7.227913      2.595665      0.000000      3.611309      0.568121     2.732438
81000       52.097161       7.231055      2.622805      0.000000      3.612845      0.568719     2.695574
82000       52.123594       7.233368      2.649577      0.000000      3.613968      0.569126     2.658671
83000       52.149775       7.234872      2.675977      0.000000      3.614686      0.569347     2.621513
84000       52.175696       7.235605      2.702006      0.000000      3.615019      0.569389     2.584196
85000       52.201353       7.235589      2.727660      0.000000      3.614979      0.569258     2.546711
86000       52.226740       7.234849      2.752939      0.000000      3.614577      0.568960     2.509050
87000       52.251852       7.233410      2.777840      0.000000      3.613826      0.568502     2.471204
88000       52.276682       7.231298      2.802362      0.000000      3.612739      0.567889     2.433169
89000       52.301226       7.228542      2.826503      0.000000      3.611330      0.567128     2.394938
90000       52.325476       7.225168      2.850260      0.000000      3.609614      0.566226     2.356511
91000       52.349426       7.221205      2.873632      0.000000      3.607604      0.565191     2.317884
92000       52.373070       7.216684      2.896617      0.000000      3.605314      0.564029     2.279059
93000       52.396402       7.211632      2.919212      0.000000      3.602761      0.562749     2.240037
94000       52.419415       7.206081      2.941416      0.000000      3.599958      0.561356     2.200821
95000       52.442103       7.200061      2.963228      0.000000      3.596921      0.559860     2.161417
96000       52.464459       7.193601      2.984644      0.000000      3.593665      0.558267     2.121830
97000       52.486476       7.186733      3.005663      0.000000      3.590206      0.556586     2.082069
98000       52.508149       7.179487      3.026284      0.000000      3.586558      0.554823     2.042142
99000       52.529471       7.171894      3.046505      0.000000      3.582737      0.552986     2.002058
100000       52.550436       7.163984      3.066324      0.000000      3.578758      0.551083     1.961830
101000       52.571039       7.155787      3.085741      0.000000      3.574637      0.549122     1.921467
102000       52.591272       7.147334      3.104753      0.000000      3.570388      0.547108     1.880983
103000       52.611132       7.138655      3.123360      0.000000      3.566027      0.545051     1.840391
104000       52.630612       7.129780      3.141560      0.000000      3.561568      0.542956     1.799704
105000       52.649707       7.120739      3.159353      0.000000      3.557027      0.540830     1.758938
106000       52.668411       7.111560      3.176738      0.000000      3.552418      0.538682     1.718105
107000       52.686721       7.102272      3.193715      0.000000      3.547755      0.536517     1.677222
108000       52.704632       7.092906      3.210282      0.000000      3.543053      0.534341     1.636303
109000       52.722139       7.083488      3.226440      0.000000      3.538326      0.532162     1.595363
110000       52.739238       7.074048      3.242189      0.000000      3.533588      0.529986     1.554419
111000       52.755925       7.064613      3.257528      0.000000      3.528853      0.527819     1.513485
112000       52.772196       7.055210      3.272458      0.000000      3.524135      0.525666     1.472577
113000       52.788048       7.045868      3.286979      0.000000      3.519448      0.523535     1.431710
114000       52.803477       7.036612      3.301092      0.000000      3.514805      0.521430     1.390901
115000       52.818481       7.027471      3.314797      0.000000      3.510219      0.519357     1.350165
116000       52.833056       7.018469      3.328095      0.000000      3.505704      0.517323     1.309516
117000       52.847200       7.009634      3.340988      0.000000      3.501273      0.515331     1.268971
118000       52.860910       7.000992      3.353475      0.000000      3.496938      0.513389     1.228545
119000       52.874184       6.992569      3.365559      0.000000      3.492714      0.511501     1.188253
120000       52.887020       6.984391      3.377240      0.000000      3.488612      0.509672     1.148111
121000       52.899416       6.976483      3.388521      0.000000      3.484646      0.507907     1.108133
122000       52.911369       6.968871      3.399403      0.000000      3.480829      0.506212     1.068335
123000       52.922872       6.961633      3.409887      0.000000      3.477199      0.504603     1.028562
124000       52.933922       6.954793      3.419976      0.000000      3.473768      0.503084     0.989227
125000       52.944526       6.948325      3.429672      0.000000      3.470524      0.501649     0.950117
126000       52.954684       6.942255      3.438978      0.000000      3.467479      0.500304     0.911251
127000       52.964394       6.936610      3.447897      0.000000      3.464647      0.499053     0.872643
128000       52.973656       6.931416      3.456432      0.000000      3.462041      0.497902     0.834313
129000       52.982468       6.926701      3.464584      0.000000      3.459674      0.496856     0.796277
130000       52.990830       6.922491      3.472358      0.000000      3.457561      0.495921     0.758555
131000       52.998742       6.918816      3.479756      0.000000      3.455715      0.495101     0.721165
132000       53.006203       6.915703      3.486782      0.000000      3.454151      0.494403     0.684129
133000       53.013212       6.913182      3.493439      0.000000      3.452883      0.493833     0.647467
134000       53.019770       6.911284      3.499732      0.000000      3.451927      0.493395     0.611203
135000       53.025876       6.910038      3.505665      0.000000      3.451297      0.493098     0.575360
136000       53.031531       6.909476      3.511241      0.000000      3.451010      0.492947     0.539966
137000       53.036734       6.909632      3.516465      0.000000      3.451081      0.492948     0.505047
138000       53.041485       6.910538      3.521343      0.000000      3.451528      0.493110     0.470634
139000       53.045785       6.912231      3.525879      0.000000      3.452369      0.493438     0.436759
140000       53.049634       6.914746      3.530080      0.000000      3.453620      0.493943     0.403459
141000       53.053033       6.918122      3.533950      0.000000      3.455303      0.494631     0.370770
142000       53.055982       6.922398      3.537497      0.000000      3.457435      0.495511     0.338736
143000       53.058483       6.927615      3.540727      0.000000      3.460038      0.496593     0.307402
144000       53.060535       6.933815      3.543647      0.000000      3.463133      0.497887     0.276818
145000       53.062141       6.941045      3.546266      0.000000      3.466743      0.499402     0.247039
146000       53.063301       6.949351      3.548591      0.000000      3.470891      0.501152     0.218127
147000       53.064016       6.958783      3.550631      0.000000      3.475602      0.503147     0.190147
148000       53.064290       6.969392      3.552397      0.000000      3.480902      0.505400     0.163174
149000       53.064123       6.981232      3.553898      0.000000      3.486817      0.507925     0.137288
150000       53.063518       6.994361      3.555146      0.000000      3.493376      0.510738     0.112579
151000       53.062478       7.008838      3.556153      0.000000      3.500610      0.513853     0.089145
152000       53.061006       7.024726      3.556933      0.000000      3.508549      0.517287     0.067096
153000       53.059106       7.042091      3.557500      0.000000      3.517226      0.521060     0.046551
154000       53.056781       7.061002      3.557870      0.000000      3.526677      0.525191     0.027643
155000       53.054062       7.081290      3.558049      0.000000      3.536815      0.529647     0.008506
156000       53.050970       7.103026      3.558071      0.000000      3.547678      0.534450     0.000000
157000       53.047591       7.126531      3.558071      0.000000      3.559425      0.539675     0.000000
158000       53.043935       7.151871      3.558071      0.000000      3.572088      0.545345     0.000000
159000       53.039991       7.179108      3.558071      0.000000      3.585701      0.551482     0.000000
160000       53.035745       7.208314      3.558071      0.000000      3.600296      0.558112     0.000000
161000       53.031182       7.239564      3.558071      0.000000      3.615914      0.565263     0.000000
162000       53.026287       7.272939      3.558072      0.000000      3.632594      0.572966     0.000186
163000       53.021054       7.308529      3.558084      0.000000      3.650381      0.581254     0.002897
164000       53.015497       7.346429      3.558142      0.000000      3.669322      0.590165     0.009293
165000       53.009635       7.386733      3.558283      0.000000      3.689466      0.599736     0.019699
166000       53.003489       7.429541      3.558551      0.000000      3.710860      0.610010     0.034461
167000       52.997083       7.474947      3.558989      0.000000      3.733553      0.621030     0.053947
168000       52.990445       7.523047      3.559647      0.000000      3.757593      0.632841     0.078542
169000       52.983604       7.573933      3.560578      0.000000      3.783025      0.645491     0.108649
170000       52.976603       7.627844      3.561869      0.000000      3.809968      0.659067     0.150615
171000       52.969484       7.684864      3.563584      0.000000      3.838465      0.673622     0.193617
172000       52.962285       7.744919      3.565764      0.000000      3.868479      0.689169     0.243419
173000       52.955054       7.808076      3.568477      0.000000      3.900044      0.705764     0.300437
174000       52.947845       7.874392      3.571799      0.000000      3.933187      0.723458     0.365073
175000       52.940716       7.943910      3.575806      0.000000      3.967929      0.742304     0.437700
176000       52.933729       8.016659      3.580581      0.000000      4.004287      0.762355     0.518654
177000       52.926953       8.092651      3.586209      0.000000      4.042264      0.783661     0.608219
178000       52.920460       8.171879      3.592776      0.000000      4.081859      0.806268     0.706613
179000       52.914328       8.254315      3.600372      0.000000      4.123056      0.830221     0.813976
180000       52.908640       8.339910      3.609087      0.000000      4.165832      0.855559     0.930354
181000       52.903479       8.428591      3.619010      0.000000      4.210150      0.882316     1.055688
182000       52.898934       8.520263      3.630231      0.000000      4.255961      0.910517     1.189804
183000       52.895096       8.614804      3.642836      0.000000      4.303206      0.940183     1.332403
184000       52.892056       8.712070      3.656908      0.000000      4.351812      0.971325     1.483059
185000       52.889904       8.811895      3.672524      0.000000      4.401695      1.003942     1.641219
186000       52.888730       8.914089      3.689756      0.000000      4.452762      1.038028     1.806204
187000       52.888621       9.018446      3.708670      0.000000      4.504908      1.073562     1.977222
188000       52.889660       9.124741      3.729320      0.000000      4.558022      1.110517     2.153380
189000       52.891925       9.232739      3.751753      0.000000      4.611986      1.148853     2.333702
190000       52.895487       9.342193      3.776006      0.000000      4.666675      1.188521     2.517148
191000       52.900410       9.452851      3.802104      0.000000      4.721965      1.229463     2.702641
192000       52.906750       9.564460      3.830064      0.000000      4.777729      1.271613     2.889090
193000       52.914553       9.676767      3.859888      0.000000      4.833839      1.314897     3.075413
194000       52.923857       9.789526      3.891570      0.000000      4.890174      1.359238     3.260562
195000       52.934690       9.902499      3.925094      0.000000      4.946615      1.404551     3.443545
196000       52.947068       10.015462      3.960432      0.000000      5.003048      1.450749     3.623440
197000       52.961002       10.128203      3.997551      0.000000      5.059368      1.497746     3.799412
198000       52.976489       10.240527      4.036407      0.000000      5.115478      1.545453     3.970725
199000       52.993520       10.352255      4.076950      0.000000      5.171288      1.593783     4.136746
200000       53.012077       10.463230      4.119124      0.000000      5.226720      1.642650     4.296945
201000       53.032135       10.573310      4.162869      0.000000      5.281702      1.691974     4.450900
202000       53.053663       10.682374      4.208122      0.000000      5.336175      1.741676     4.598289
203000       53.076623       10.790318      4.254814      0.000000      5.390087      1.791683     4.738885
204000       53.100973       10.897058      4.302877      0.000000      5.443395      1.841929     4.872551
205000       53.126667       11.002525      4.352243      0.000000      5.496065      1.892349     4.999226
206000       53.153655       11.106666      4.402840      0.000000      5.548070      1.942889     5.118920
207000       53.181886       11.209441      4.454599      0.000000      5.599391      1.993496     5.231704
208000       53.211305       11.310825      4.507452      0.000000      5.650015      2.044126     5.337698
209000       53.241857       11.410806      4.561332      0.000000      5.699937      2.094740     5.437064
210000       53.273487       11.509378      4.616173      0.000000      5.749153      2.145302     5.529998
211000       53.306140       11.606548      4.671912      0.000000      5.797666      2.195784     5.616722
212000       53.339758       11.702330      4.728489      0.000000      5.845485      2.246162     5.697478
213000       53.374287       11.796744      4.785844      0.000000      5.892619      2.296415     5.772518
214000       53.409674       11.889817      4.843922      0.000000      5.939082      2.346529     5.842106
215000       53.445864       11.981579      4.902669      0.000000      5.984889      2.396492     5.906509
216000       53.482807       12.072068      4.962036      0.000000      6.030058      2.446294     5.965994
217000       53.520452       12.161320      5.021974      0.000000      6.074608      2.495932     6.020826
