step        alpha       action      reward        Q[s+0]      Q[s+1]      Q[s+2]
0      12.000000     2     0.000000     244.625812     244.647975     244.672909
1000      14.000000     2     0.006712     244.689369     244.706457     244.732227
2000      16.000000     2     0.011738     244.658738     244.657341     244.678173
3000      18.000000     2     0.015557     244.550002     244.580227     244.623169
4000      19.000000     2     0.018575     244.621944     244.620850     244.635435
5000      20.000000     0     0.020858     244.675784     244.627643     0.000000
6000      19.000000     2     0.022844     244.621944     244.620850     244.635441
7000      20.000000     0     0.024386     244.675782     244.627643     0.000000
8000      19.000000     2     0.025794     244.621944     244.620850     244.635447
9000      20.000000     0     0.026882     244.675780     244.627643     0.000000
10000      19.000000     2     0.027934     244.621944     244.620850     244.635454
11000      20.000000     0     0.028754     244.675779     244.627643     0.000000
12000      19.000000     2     0.029575     244.621944     244.620850     244.635461
13000      20.000000     0     0.030220     244.675778     244.627643     0.000000
14000      19.000000     2     0.030875     244.621944     244.620850     244.635468
15000      20.000000     0     0.031388     244.675777     244.627643     0.000000
16000      19.000000     2     0.031922     244.621944     244.620850     244.635475
17000      20.000000     0     0.032344     244.675776     244.627643     0.000000
18000      19.000000     2     0.032782     244.621944     244.620850     244.635482
19000      20.000000     0     0.033133     244.675775     244.627643     0.000000
20000      19.000000     2     0.033504     244.621944     244.620850     244.635489
21000      20.000000     0     0.033796     244.675774     244.627643     0.000000
22000      19.000000     2     0.034109     244.621944     244.620850     244.635497
23000      20.000000     0     0.034353     244.675774     244.627643     0.000000
24000      19.000000     2     0.034616     244.621944     244.620850     244.635504
25000      20.000000     0     0.034824     244.675773     244.627643     0.000000
26000      19.000000     2     0.035047     244.621944     244.620850     244.635512
27000      20.000000     0     0.035221     244.675773     244.627643     0.000000
28000      19.000000     2     0.035407     244.621944     244.620850     244.635519
29000      20.000000     0     0.035553     244.675772     244.627643     0.000000
30000      19.000000     2     0.035709     244.621944     244.620850     244.635527
31000      20.000000     0     0.035830     244.675772     244.627643     0.000000
32000      19.000000     2     0.035959     244.621944     244.620850     244.635534
33000      20.000000     0     0.036056     244.675771     244.627643     0.000000
34000      19.000000     2     0.036160     244.621944     244.620850     244.635542
35000      20.000000     0     0.036237     244.675771     244.627643     0.000000
36000      19.000000     2     0.036318     244.621944     244.620850     244.635550
37000      20.000000     0     0.036375     244.675770     244.627643     0.000000
38000      19.000000     2     0.036436     244.621944     244.620850     244.635557
39000      20.000000     0     0.036429     244.675770     244.627643     0.000000
40000      19.000000     2     0.036452     244.621944     244.620850     244.635565
41000      20.000000     0     0.036385     244.675770     244.627643     0.000000
42000      19.000000     0     0.036341     244.621944     244.620850     244.635573
43000      18.000000     2     0.036292     244.550002     244.580227     244.623171
44000      19.000000     2     0.036193     244.621947     244.620850     244.635573
45000      20.000000     0     0.036032     244.675768     244.627643     0.000000
46000      19.000000     2     0.035888     244.621947     244.620850     244.635580
47000      20.000000     0     0.035692     244.675767     244.627643     0.000000
48000      19.000000     2     0.035509     244.621947     244.620850     244.635588
49000      20.000000     0     0.035284     244.675767     244.627643     0.000000
50000      19.000000     2     0.035069     244.621947     244.620850     244.635595
51000      20.000000     0     0.034819     244.675767     244.627643     0.000000
52000      19.000000     2     0.034578     244.621947     244.620850     244.635603
53000      20.000000     0     0.034307     244.675766     244.627643     0.000000
54000      19.000000     2     0.034043     244.621947     244.620850     244.635610
55000      20.000000     0     0.033754     244.675765     244.627643     0.000000
56000      19.000000     2     0.033471     244.621947     244.620850     244.635618
57000      20.000000     0     0.033168     244.675765     244.627643     0.000000
58000      19.000000     2     0.032869     244.621947     244.620850     244.635625
59000      20.000000     0     0.032553     244.675764     244.627643     0.000000
60000      19.000000     2     0.032240     244.621947     244.620850     244.635632
61000      20.000000     0     0.031914     244.675763     244.627643     0.000000
62000      19.000000     2     0.031589     244.621947     244.620850     244.635640
63000      20.000000     0     0.031254     244.675762     244.627643     0.000000
64000      19.000000     2     0.030920     244.621947     244.620850     244.635647
65000      20.000000     0     0.030577     244.675762     244.627643     0.000000
66000      19.000000     2     0.030235     244.621947     244.620850     244.635654
67000      20.000000     1     0.029887     244.675761     244.627643     0.000000
68000      20.000000     0     0.029536     244.675761     244.627651     0.000000
69000      19.000000     2     0.029185     244.621947     244.620850     244.635656
70000      20.000000     0     0.028829     244.675760     244.627651     0.000000
71000      19.000000     2     0.028474     244.621947     244.620850     244.635663
72000      20.000000     0     0.028115     244.675758     244.627651     0.000000
73000      19.000000     2     0.027756     244.621947     244.620850     244.635670
74000      20.000000     0     0.027395     244.675757     244.627651     0.000000
75000      19.000000     2     0.027033     244.621947     244.620850     244.635677
76000      20.000000     0     0.026670     244.675756     244.627651     0.000000
77000      19.000000     2     0.026306     244.621947     244.620850     244.635684
78000      20.000000     0     0.025940     244.675755     244.627651     0.000000
79000      19.000000     2     0.025574     244.621947     244.620850     244.635690
80000      20.000000     0     0.025206     244.675753     244.627651     0.000000
81000      19.000000     2     0.024837     244.621947     244.620850     244.635697
82000      20.000000     0     0.024467     244.675752     244.627651     0.000000
