t         x_kite          z_kite         x_block          z_block          wind_x       wind_y       v_block_x
0       50.000000       0.001000      0.000000      0.000000      0.000500      0.000000     0.000020
1000       50.001211       0.476992      0.003486      0.000000      0.238496      0.000170     0.668290
2000       50.004682       0.903488      0.012845      0.000000      0.451743      0.001158     1.176731
3000       50.010162       1.281852      0.026596      0.000000      0.640924      0.003305     1.558115
4000       50.017433       1.621325      0.043726      0.000000      0.810657      0.006683     1.859250
5000       50.026320       1.928891      0.063540      0.000000      0.964436      0.011245     2.096320
6000       50.036675       2.209679      0.085526      0.000000      1.104823      0.016893     2.294968
7000       50.048377       2.467767      0.109313      0.000000      1.233860      0.023512     2.457483
8000       50.061318       2.706283      0.134612      0.000000      1.353109      0.030984     2.599826
9000       50.075410       2.927805      0.161204      0.000000      1.463860      0.039200     2.716505
10000       50.090570       3.134374      0.188909      0.000000      1.567132      0.048057     2.822697
11000       50.106729       3.327720      0.217589      0.000000      1.663791      0.057462     2.910975
12000       50.123825       3.509246      0.247125      0.000000      1.754539      0.067332     2.993693
13000       50.141801       3.680167      0.277422      0.000000      1.839983      0.077594     3.063274
14000       50.160608       3.841488      0.308396      0.000000      1.920626      0.088180     3.129840
15000       50.180198       3.994093      0.339982      0.000000      1.996909      0.099033     3.185540
16000       50.200532       4.138725      0.372117      0.000000      2.069204      0.110098     3.240467
17000       50.221570       4.276048      0.404751      0.000000      2.137844      0.121330     3.286159
18000       50.243277       4.406628      0.437839      0.000000      2.203110      0.132686     3.331071
19000       50.265621       4.530974      0.471341      0.000000      2.265259      0.144129     3.368714
20000       50.288571       4.649525      0.505222      0.000000      2.324509      0.155625     3.406465
21000       50.312101       4.762683      0.539450      0.000000      2.381061      0.167144     3.438330
22000       50.336184       4.870794      0.573996      0.000000      2.435089      0.178658     3.470209
23000       50.360795       4.974178      0.608834      0.000000      2.486752      0.190142     3.497262
24000       50.385911       5.073116      0.643941      0.000000      2.536191      0.201575     3.523797
25000       50.411511       5.167867      0.679296      0.000000      2.583535      0.212936     3.546707
26000       50.437574       5.258658      0.714878      0.000000      2.628899      0.224207     3.569190
27000       50.464082       5.345703      0.750668      0.000000      2.672389      0.235371     3.588628
28000       50.491015       5.429190      0.786650      0.000000      2.714099      0.246412     3.607566
