step        alpha       action      reward        Q[s+0]      Q[s+1]      Q[s+2]
0      12.000000     2     0.000000     244.529229     244.527079     244.541905
1000      14.000000     2     0.006712     244.631247     244.635975     244.684931
2000      16.000000     2     0.011738     244.688943     244.684947     244.691429
3000      18.000000     2     0.015556     244.697012     244.702548     244.751532
4000      19.000000     0     0.018574     244.701842     244.701324     244.593894
5000      18.000000     2     0.020947     244.697012     244.702548     244.751529
6000      19.000000     0     0.022963     244.701849     244.701324     244.593894
7000      18.000000     2     0.024563     244.697012     244.702548     244.751526
8000      19.000000     0     0.025989     244.701856     244.701324     244.593894
9000      18.000000     2     0.027156     244.697012     244.702548     244.751523
10000      19.000000     0     0.028220     244.701864     244.701324     244.593894
11000      18.000000     2     0.029117     244.697012     244.702548     244.751521
12000      19.000000     0     0.029943     244.701872     244.701324     244.593894
13000      18.000000     0     0.030639     244.697012     244.702548     244.751519
14000      16.000000     2     0.031303     244.688943     244.684947     244.691436
15000      18.000000     2     0.031860     244.697014     244.702548     244.751519
16000      19.000000     0     0.032401     244.701874     244.701324     244.593894
17000      18.000000     2     0.032858     244.697014     244.702548     244.751517
18000      19.000000     0     0.033308     244.701882     244.701324     244.593894
19000      18.000000     2     0.033690     244.697014     244.702548     244.751515
20000      19.000000     0     0.034067     244.701891     244.701324     244.593894
21000      18.000000     2     0.034386     244.697014     244.702548     244.751514
22000      19.000000     0     0.034700     244.701899     244.701324     244.593894
23000      18.000000     2     0.034971     244.697014     244.702548     244.751512
24000      19.000000     0     0.035240     244.701907     244.701324     244.593894
25000      18.000000     2     0.035466     244.697014     244.702548     244.751511
26000      19.000000     0     0.035694     244.701916     244.701324     244.593894
27000      18.000000     2     0.035885     244.697014     244.702548     244.751509
28000      19.000000     0     0.036075     244.701924     244.701324     244.593894
29000      18.000000     2     0.036236     244.697014     244.702548     244.751508
30000      19.000000     0     0.036395     244.701933     244.701324     244.593894
31000      18.000000     2     0.036530     244.697014     244.702548     244.751507
32000      19.000000     0     0.036661     244.701942     244.701324     244.593894
33000      18.000000     2     0.036770     244.697014     244.702548     244.751505
34000      19.000000     0     0.036877     244.701950     244.701324     244.593894
35000      18.000000     2     0.036964     244.697014     244.702548     244.751504
36000      19.000000     0     0.037048     244.701959     244.701324     244.593894
37000      18.000000     2     0.037115     244.697014     244.702548     244.751503
38000      19.000000     0     0.037178     244.701968     244.701324     244.593894
39000      18.000000     2     0.037226     244.697014     244.702548     244.751502
40000      19.000000     0     0.037270     244.701976     244.701324     244.593894
41000      18.000000     2     0.037300     244.697014     244.702548     244.751500
42000      19.000000     0     0.037279     244.701985     244.701324     244.593894
43000      18.000000     2     0.037250     244.697014     244.702548     244.751499
44000      19.000000     0     0.037168     244.701994     244.701324     244.593894
45000      18.000000     2     0.037081     244.697014     244.702548     244.751498
46000      19.000000     0     0.036950     244.702002     244.701324     244.593894
47000      18.000000     2     0.036813     244.697014     244.702548     244.751497
48000      19.000000     0     0.036641     244.702011     244.701324     244.593894
49000      18.000000     2     0.036464     244.697014     244.702548     244.751495
50000      19.000000     0     0.036257     244.702020     244.701324     244.593894
51000      18.000000     2     0.036046     244.697014     244.702548     244.751494
52000      19.000000     0     0.035810     244.702028     244.701324     244.593894
53000      18.000000     2     0.035571     244.697014     244.702548     244.751493
54000      19.000000     0     0.035311     244.702037     244.701324     244.593894
55000      18.000000     1     0.035048     244.697014     244.702548     244.751491
56000      18.000000     2     0.034774     244.697014     244.702557     244.751491
57000      19.000000     0     0.034485     244.702040     244.701324     244.593894
58000      18.000000     2     0.034193     244.697014     244.702557     244.751490
