episode,epsilon,Alpha,steps,return
0,0.900000,0.001000,198025,1.825521
1,0.900000,0.001000,817503,0.986501
2,0.900000,0.001000,226867,1.308352
3,0.900000,0.001000,267817,1.111410
4,0.900000,0.001000,1000001,267.381066
5,0.900000,0.001000,1000001,246.006887
6,0.900000,0.001000,831312,25.676590
7,0.900000,0.001000,273804,1.844949
8,0.900000,0.001000,1000001,4.438526
9,0.900000,0.001000,1000001,4.309670
10,0.900000,0.001000,1000001,227.034140
11,0.900000,0.001000,1000001,211.210632
12,0.900000,0.001000,1000001,26.762083
13,0.900000,0.001000,1000001,28.460108
14,0.900000,0.001000,1000001,31.600685
15,0.900000,0.001000,1000001,38.548527
16,0.900000,0.001000,1000001,50.249765
17,0.900000,0.001000,1000001,40.445233
18,0.900000,0.001000,1000001,26.053888
19,0.900000,0.001000,1000001,53.847260
20,0.900000,0.001000,1000001,57.898988
21,0.900000,0.001000,1000001,26.393643
22,0.900000,0.001000,1000001,26.761035
23,0.900000,0.001000,1000001,26.901261
24,0.900000,0.001000,1000001,238.217523
25,0.900000,0.001000,1000001,234.913706
26,0.900000,0.001000,1000001,232.415092
27,0.900000,0.001000,1000001,26.520524
28,0.900000,0.001000,1000001,232.404431
29,0.900000,0.001000,559274,24.794207
30,0.900000,0.001000,1000001,234.801323
31,0.900000,0.001000,1000001,274.944186
32,0.900000,0.001000,1000001,286.762372
33,0.900000,0.001000,1000001,256.024177
34,0.900000,0.001000,1000001,230.854168
35,0.900000,0.001000,1000001,243.888220
36,0.900000,0.001000,1000001,221.195941
37,0.900000,0.001000,1000001,27.084066
38,0.900000,0.001000,1000001,29.242796
39,0.900000,0.001000,1000001,31.994299
40,0.900000,0.001000,1000001,50.319762
41,0.900000,0.001000,1000001,55.776943
42,0.900000,0.001000,1000001,79.585888
43,0.900000,0.001000,1000001,54.538534
44,0.900000,0.001000,1000001,67.051449
45,0.900000,0.001000,1000001,75.496652
46,0.900000,0.001000,1000001,82.868212
47,0.900000,0.001000,1000001,85.491798
48,0.900000,0.001000,1000001,86.915739
49,0.900000,0.001000,1000001,87.687746
50,0.900000,0.001000,1000001,86.619295
51,0.900000,0.001000,1000001,86.830296
52,0.900000,0.001000,1000001,87.172982
53,0.900000,0.001000,1000001,86.564735
54,0.900000,0.001000,1000001,85.325171
55,0.900000,0.001000,1000001,83.792517
56,0.900000,0.001000,1000001,74.487240
57,0.900000,0.001000,1000001,83.186592
58,0.900000,0.001000,1000001,86.378794
59,0.900000,0.001000,1000001,87.276214
60,0.900000,0.001000,1000001,181.911906
61,0.900000,0.001000,1000001,179.897559
62,0.900000,0.001000,1000001,187.186585
63,0.900000,0.001000,1000001,157.797389
64,0.900000,0.001000,1000001,165.063985
65,0.900000,0.001000,1000001,139.095920
66,0.900000,0.001000,1000001,164.328353
67,0.900000,0.001000,1000001,160.488695
68,0.900000,0.001000,1000001,214.477697
69,0.900000,0.001000,1000001,217.987284
70,0.900000,0.001000,1000001,241.683815
71,0.900000,0.001000,1000001,181.443070
72,0.900000,0.001000,1000001,106.990595
73,0.900000,0.001000,1000001,107.606435
74,0.900000,0.001000,1000001,178.326149
75,0.900000,0.001000,1000001,136.137263
76,0.900000,0.001000,1000001,177.117897
77,0.900000,0.001000,1000001,238.549704
78,0.900000,0.001000,1000001,237.442929
79,0.900000,0.001000,1000001,238.103817
80,0.900000,0.001000,1000001,243.470464
81,0.900000,0.001000,1000001,236.136144
82,0.900000,0.001000,1000001,238.074299
83,0.900000,0.001000,1000001,236.055065
84,0.900000,0.001000,1000001,178.429491
85,0.900000,0.001000,1000001,236.717792
86,0.900000,0.001000,1000001,232.637929
87,0.900000,0.001000,1000001,132.401097
88,0.900000,0.001000,1000001,165.239748
89,0.900000,0.001000,1000001,132.306566
90,0.900000,0.001000,1000001,221.441315
91,0.900000,0.001000,1000001,237.835935
92,0.900000,0.001000,1000001,238.047235
93,0.900000,0.001000,1000001,133.666379
94,0.900000,0.001000,1000001,218.273552
95,0.900000,0.001000,1000001,195.996653
96,0.900000,0.001000,1000001,197.239351
97,0.900000,0.001000,1000001,219.980803
98,0.900000,0.001000,1000001,191.356490
99,0.900000,0.001000,1000001,197.204794
100,0.900000,0.001000,1000001,215.392086
101,0.900000,0.001000,1000001,222.435390
102,0.900000,0.001000,1000001,214.576676
103,0.900000,0.001000,1000001,219.990189
104,0.900000,0.001000,1000001,214.602433
105,0.900000,0.001000,1000001,236.535475
106,0.900000,0.001000,1000001,238.112642
107,0.900000,0.001000,1000001,216.538110
108,0.900000,0.001000,1000001,214.101835
109,0.900000,0.001000,1000001,213.784539
110,0.900000,0.001000,1000001,215.653328
111,0.900000,0.001000,1000001,197.764465
112,0.900000,0.001000,1000001,214.297748
113,0.900000,0.001000,1000001,214.413569
114,0.900000,0.001000,1000001,131.934502
115,0.900000,0.001000,1000001,231.071364
116,0.900000,0.001000,1000001,188.501888
117,0.900000,0.001000,1000001,241.878532
118,0.900000,0.001000,1000001,238.534024
119,0.900000,0.001000,1000001,200.814090
120,0.900000,0.001000,1000001,146.068665
121,0.900000,0.001000,1000001,233.896103
122,0.900000,0.001000,1000001,227.421501
123,0.900000,0.001000,1000001,193.324121
124,0.900000,0.001000,1000001,191.296785
125,0.900000,0.001000,1000001,240.469155
126,0.900000,0.001000,1000001,243.322820
127,0.900000,0.001000,1000001,134.447078
128,0.900000,0.001000,1000001,107.025789
129,0.900000,0.001000,1000001,210.340252
130,0.900000,0.001000,1000001,139.376403
131,0.900000,0.001000,1000001,226.333914
132,0.900000,0.001000,1000001,107.072559
133,0.900000,0.001000,1000001,182.053660
134,0.900000,0.001000,1000001,140.455946
135,0.900000,0.001000,1000001,108.243281
136,0.900000,0.001000,1000001,187.895422
137,0.900000,0.001000,1000001,165.556489
138,0.900000,0.001000,1000001,163.399711
139,0.900000,0.001000,1000001,162.914526
140,0.900000,0.001000,1000001,131.335015
141,0.900000,0.001000,1000001,163.900836
142,0.900000,0.001000,1000001,163.623922
143,0.900000,0.001000,1000001,131.135837
144,0.900000,0.001000,1000001,235.354125
145,0.900000,0.001000,1000001,134.219507
146,0.900000,0.001000,1000001,163.749534
147,0.900000,0.001000,1000001,167.981127
148,0.900000,0.001000,1000001,162.126305
149,0.900000,0.001000,1000001,161.768413
150,0.900000,0.001000,1000001,131.618426
151,0.900000,0.001000,1000001,174.953739
152,0.900000,0.001000,1000001,182.402028
153,0.900000,0.001000,1000001,107.533755
154,0.900000,0.001000,1000001,132.048104
155,0.900000,0.001000,1000001,178.373889
156,0.900000,0.001000,1000001,106.148274
157,0.900000,0.001000,1000001,85.656711
158,0.900000,0.001000,1000001,106.611574
159,0.900000,0.001000,1000001,177.545716
160,0.900000,0.001000,1000001,131.859708
161,0.900000,0.001000,1000001,162.199443
162,0.900000,0.001000,1000001,131.636004
163,0.900000,0.001000,1000001,161.034681
164,0.900000,0.001000,1000001,220.785165
165,0.900000,0.001000,1000001,231.273229
166,0.900000,0.001000,1000001,239.607567
167,0.900000,0.001000,1000001,237.334602
168,0.900000,0.001000,1000001,238.465304
169,0.900000,0.001000,1000001,229.179634
170,0.900000,0.001000,1000001,236.923215
171,0.900000,0.001000,1000001,236.618535
172,0.900000,0.001000,1000001,185.500522
173,0.900000,0.001000,1000001,237.508773
174,0.900000,0.001000,1000001,239.643609
175,0.900000,0.001000,1000001,227.615473
176,0.900000,0.001000,1000001,181.601338
177,0.900000,0.001000,1000001,183.884777
178,0.900000,0.001000,1000001,219.562571
179,0.900000,0.001000,1000001,237.333355
180,0.900000,0.001000,1000001,238.003490
181,0.900000,0.001000,1000001,237.152771
182,0.900000,0.001000,1000001,232.971996
183,0.900000,0.001000,1000001,178.629668
184,0.900000,0.001000,1000001,108.064296
185,0.900000,0.001000,1000001,86.390071
186,0.900000,0.001000,1000001,82.183336
187,0.900000,0.001000,1000001,79.939301
188,0.900000,0.001000,1000001,77.189896
189,0.900000,0.001000,1000001,86.796013
190,0.900000,0.001000,1000001,73.251023
191,0.900000,0.001000,1000001,74.728031
192,0.900000,0.001000,1000001,71.854769
193,0.900000,0.001000,1000001,67.552174
194,0.900000,0.001000,1000001,76.399368
195,0.900000,0.001000,1000001,71.951198
196,0.900000,0.001000,1000001,63.251136
197,0.900000,0.001000,1000001,75.796365
198,0.900000,0.001000,1000001,66.684407
199,0.900000,0.001000,1000001,73.347269
200,0.900000,0.001000,1000001,76.227787
201,0.900000,0.001000,1000001,80.342979
202,0.900000,0.001000,1000001,82.629113
203,0.900000,0.001000,1000001,79.528254
204,0.900000,0.001000,1000001,77.018399
205,0.900000,0.001000,1000001,50.149142
206,0.900000,0.001000,1000001,42.973307
207,0.900000,0.001000,1000001,39.509161
208,0.900000,0.001000,1000001,26.451836
209,0.900000,0.001000,1000001,229.001289
210,0.900000,0.001000,420246,9.638286
211,0.900000,0.001000,1000001,211.357922
212,0.900000,0.001000,1000001,203.921666
213,0.900000,0.001000,1000001,220.694268
214,0.900000,0.001000,331242,9.690039
215,0.900000,0.001000,390830,9.555402
216,0.900000,0.001000,281853,10.128040
217,0.900000,0.001000,231036,2.310001
218,0.900000,0.001000,241071,6.147392
219,0.900000,0.001000,253425,5.753110
220,0.900000,0.001000,210711,2.220987
221,0.900000,0.001000,230514,1.680896
222,0.900000,0.001000,255168,5.994061
223,0.900000,0.001000,280698,10.344733
224,0.900000,0.001000,274696,2.763897
225,0.900000,0.001000,230846,2.387566
