step,x_kite,y_kite,z_kite,x_block,y_block,z_block,windx,windy,windz,v_blockx,v_blocky,alpha,alpha_action,mu,mu_action,reward,Q_value
0,35.355338,0.0,35.355340000000005,0.0,0.0,0.0,10.0,0.0,0.0,0.000261,0.0,20.0,1,0.0,1,0.0,895.863608
1000,34.728099,0.0,36.023911,0.054221000000000005,0.0,0.0,10.0,0.0,0.0,1.4392790000000002,0.0,20.0,1,0.0,1,0.143928,895.863609
2000,33.564754,0.0,37.348836,0.322245,0.0,0.0,10.0,0.0,0.0,3.854721,0.0,20.0,1,0.0,1,0.385472,895.865051
3000,32.767781,0.0,38.443393,0.797397,0.0,0.0,10.0,0.0,0.0,5.513244,0.0,20.0,1,0.0,1,0.5513239999999999,895.868907
4000,32.380016,0.0,39.250062,1.4053069999999999,0.0,0.0,10.0,0.0,0.0,6.57505,0.0,20.0,1,0.0,1,0.657505,895.8744220000001
5000,32.293345,0.0,39.855685,2.1018830000000004,0.0,0.0,10.0,0.0,0.0,7.292171000000001,0.0,20.0,1,0.0,1,0.729217,895.8809980000001
6000,32.41751,0.0,40.320902000000004,2.850216,0.0,0.0,10.0,0.0,0.0,7.622706,0.0,20.0,1,0.0,1,0.762271,895.888291
7000,32.676905,0.0,40.689483,3.618928,0.0,0.0,10.0,0.0,0.0,7.724383,0.0,20.0,1,0.0,1,0.772438,895.8959130000001
8000,33.019419,0.0,40.992912,4.391091,0.0,0.0,10.0,0.0,0.0,7.704308999999999,0.0,20.0,1,0.0,1,0.7704310000000001,895.9036380000001
9000,33.410583,0.0,41.252514,5.157617,0.0,0.0,10.0,0.0,0.0,7.618467,0.0,20.0,1,0.0,1,0.761847,895.911342
10000,33.826809999999995,0.0,41.483196,5.913651,0.0,0.0,10.0,0.0,0.0,7.4985289999999996,0.0,20.0,1,0.0,1,0.749853,895.91896
11000,34.251289,0.0,41.695877,6.656836,0.0,0.0,10.0,0.0,0.0,7.36415,0.0,20.0,1,0.0,1,0.7364149999999999,895.926459
12000,34.671809,0.0,41.898784,7.386430000000001,0.0,0.0,10.0,0.0,0.0,7.228536,0.0,20.0,1,0.0,1,0.722854,895.9338230000001
13000,35.079722,0.0,42.098048,8.102799000000001,0.0,0.0,10.0,0.0,0.0,7.100892,0.0,20.0,1,0.0,1,0.7100890000000001,895.941051
14000,35.469506,0.0,42.297926000000004,8.80707,0.0,0.0,10.0,0.0,0.0,6.987367999999999,0.0,20.0,1,0.0,1,0.6987369999999999,895.9481519999999
15000,35.838527,0.0,42.500901,9.500847,0.0,0.0,10.0,0.0,0.0,6.891313,0.0,20.0,1,0.0,1,0.689131,895.955139
16000,36.186724,0.0,42.707831,10.185932000000001,0.0,0.0,10.0,0.0,0.0,6.81341,0.0,20.0,1,0.0,1,0.681341,895.962031
17000,36.516073999999996,0.0,42.918234999999996,10.864074,0.0,0.0,10.0,0.0,0.0,6.7519979999999995,0.0,20.0,1,0.0,1,0.6752,895.968844
18000,36.829865000000005,0.0,43.130721,11.536766,0.0,0.0,10.0,0.0,0.0,6.703742999999999,0.0,20.0,1,0.0,1,0.670374,895.9755960000001
19000,37.131914,0.0,43.343452,12.205117999999999,0.0,0.0,10.0,0.0,0.0,6.664498,0.0,20.0,1,0.0,1,0.66645,895.9823
20000,37.425896,0.0,43.554555,12.869823,0.0,0.0,10.0,0.0,0.0,6.630136,0.0,20.0,1,0.0,1,0.663014,895.988964
21000,37.714902,0.0,43.762403000000006,13.531187,0.0,0.0,10.0,0.0,0.0,6.597150999999999,0.0,20.0,1,0.0,1,0.6597149999999999,895.995594
22000,38.001234000000004,0.0,43.965753,14.189207999999999,0.0,0.0,10.0,0.0,0.0,6.562942,0.0,20.0,1,0.0,1,0.6562939999999999,896.002191
23000,38.286402,0.0,44.16377,14.843675,0.0,0.0,10.0,0.0,0.0,6.525844,0.0,20.0,1,0.0,1,0.652584,896.008754
24000,38.571232,0.0,44.355978,15.494248,0.0,0.0,10.0,0.0,0.0,6.484994,0.0,20.0,1,0.0,1,0.6484989999999999,896.0152800000001
25000,38.856027000000005,0.0,44.542187,16.140535,0.0,0.0,10.0,0.0,0.0,6.440129,0.0,20.0,1,0.0,1,0.6440130000000001,896.0217650000001
